Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0.01111111,0.6065567,1.388133,0.1287491,0.1466936,-0.5817666,-0.5733864,-0.5579038
2,0.02222222,0.6117029,1.382224,0.1329813,0.1120069,-0.5954216,-0.5656595,-0.5594257
2,0.03333334,0.6151433,1.379238,0.1346848,0.1028997,-0.6039526,-0.5548707,-0.5628245
2,0.04444445,0.6165032,1.378062,0.1381276,0.1055886,-0.6107483,-0.5383893,-0.5709419
2,0.05555556,0.6164155,1.377707,0.1417902,0.1159159,-0.6154337,-0.5207564,-0.5801876
2,0.06666667,0.6156518,1.377632,0.1464357,0.1284302,-0.6169408,-0.5068059,-0.5882497
2,0.07777778,0.6147008,1.377785,0.1511557,0.1376598,-0.6173698,-0.4965434,-0.5944317
2,0.08888889,0.6123803,1.37882,0.1578205,0.1456594,-0.6142676,-0.4954967,-0.5966086
2,0.1,0.6097722,1.380156,0.1652942,0.1479777,-0.609964,-0.5036407,-0.5936267
2,0.1111111,0.606842,1.381203,0.1725445,0.1493324,-0.6061528,-0.5101979,-0.5915882
2,0.1222222,0.6036508,1.382868,0.1811233,0.1506297,-0.5999913,-0.5194214,-0.5895104
2,0.1333333,0.5990508,1.385498,0.1908898,0.1559895,-0.5919957,-0.5243972,-0.5917906
2,0.1444445,0.5960107,1.387271,0.1990964,0.1613071,-0.5866486,-0.524836,-0.5952904
2,0.1555556,0.5920475,1.389754,0.2079902,0.1684475,-0.5804387,-0.5228378,-0.6011299
2,0.1666667,0.5885227,1.39192,0.2165034,0.174541,-0.5747102,-0.5213521,-0.6061648
2,0.1777778,0.5843055,1.394568,0.2255623,0.1808363,-0.56814,-0.519757,-0.6118562
2,0.1888889,0.5803316,1.397262,0.2346532,0.1857129,-0.56124,-0.5201061,-0.6164496
2,0.2,0.5764701,1.39983,0.2435315,0.1898323,-0.5549486,-0.5215555,-0.6196578
2,0.2111111,0.5717049,1.403018,0.2523575,0.1938351,-0.5484733,-0.5250816,-0.621204
2,0.2222222,0.5667167,1.406413,0.2613542,0.1988354,-0.5427322,-0.5280134,-0.62218
2,0.2333333,0.5618677,1.409932,0.2699201,0.2059547,-0.5374469,-0.5289154,-0.6236843
2,0.2444444,0.5562906,1.413627,0.2787542,0.2134097,-0.5324085,-0.5295141,-0.6249899
2,0.2555556,0.5509267,1.417083,0.2874408,0.2200577,-0.5269213,-0.5299141,-0.6269924
2,0.2666667,0.5455871,1.420473,0.2962613,0.2266861,-0.520971,-0.5299354,-0.6295801
2,0.2777778,0.5400026,1.423827,0.3048897,0.2337503,-0.5142778,-0.52941,-0.6329331
2,0.2888889,0.5342102,1.427347,0.3134844,0.2401547,-0.5072135,-0.5292019,-0.6364006
2,0.3,0.5287604,1.430651,0.3219604,0.2466355,-0.5003537,-0.5285529,-0.639882
2,0.3111111,0.5230308,1.434064,0.3309488,0.2525495,-0.4941174,-0.5278425,-0.6430001
2,0.3222222,0.5180159,1.437831,0.3391423,0.2574372,-0.4891984,-0.5278004,-0.6448549
2,0.3333333,0.5124269,1.441149,0.3470945,0.2629568,-0.4847347,-0.527202,-0.6464859
2,0.3444445,0.5069404,1.444779,0.3551164,0.2689577,-0.4798427,-0.5269083,-0.6479048
2,0.3555556,0.501436,1.448364,0.3629904,0.2751431,-0.4743434,-0.5271102,-0.6491913
2,0.3666667,0.4953923,1.45198,0.3715613,0.2813354,-0.4683761,-0.5272351,-0.6507668
2,0.3777778,0.4895172,1.455705,0.3791656,0.2874393,-0.4627971,-0.5270699,-0.6522231
2,0.3888889,0.483798,1.459527,0.3864286,0.2932659,-0.458133,-0.5260514,-0.6537425
