Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0.01111111,0.6112392,1.316646,0.2268209,0.0186214,-0.5087655,-0.5943348,-0.6225568
1,0.02222222,0.6122549,1.316127,0.2264013,0.01449745,-0.5109021,-0.5943063,-0.6209421
1,0.03333334,0.6110065,1.315747,0.2276838,0.01536298,-0.5064803,-0.5973086,-0.6216625
1,0.04444445,0.6099815,1.315369,0.2281148,0.01869917,-0.5056835,-0.5967917,-0.6227152
1,0.05555556,0.6092336,1.315097,0.2285707,0.02111524,-0.5061727,-0.5961326,-0.6228718
1,0.06666667,0.6083879,1.314809,0.2292752,0.02297756,-0.5057368,-0.5948443,-0.6243898
1,0.07777778,0.6075492,1.314151,0.230031,0.02610401,-0.5056625,-0.5908702,-0.6280895
1,0.08888889,0.6069627,1.313362,0.2310739,0.02766772,-0.5053017,-0.5878938,-0.6310987
1,0.1,0.6062117,1.312477,0.2320282,0.02887163,-0.5045009,-0.5855667,-0.6338431
1,0.1111111,0.6054189,1.311659,0.2334957,0.03054633,-0.5044774,-0.5828614,-0.6362721
1,0.1222222,0.6045449,1.310919,0.2345107,0.03239295,-0.5044194,-0.5810394,-0.6378912
1,0.1333333,0.603127,1.310483,0.2366149,0.03523954,-0.5039581,-0.580789,-0.6383327
1,0.1444445,0.6015251,1.309666,0.2390468,0.03777092,-0.5021679,-0.5817103,-0.6387597
1,0.1555556,0.5997069,1.309178,0.2419431,0.04200345,-0.500241,-0.5810694,-0.6405881
1,0.1666667,0.5979209,1.308885,0.244745,0.04676538,-0.49861,-0.5792216,-0.6431979
1,0.1777778,0.5961165,1.308625,0.2478657,0.05146275,-0.4974473,-0.5768802,-0.6458384
1,0.1888889,0.5939732,1.30892,0.2518256,0.05767443,-0.4962964,-0.5723865,-0.6501825
1,0.2,0.5914605,1.309034,0.2547593,0.06587818,-0.4963918,-0.5654696,-0.6553621
1,0.2111111,0.5887241,1.309885,0.259105,0.07355967,-0.4961823,-0.5591553,-0.6601042
1,0.2222222,0.5857527,1.310067,0.2639863,0.07699998,-0.4929607,-0.555986,-0.664786
1,0.2333333,0.5815001,1.310763,0.2712743,0.07900333,-0.4840798,-0.5572792,-0.669974
1,0.2444444,0.5776238,1.311411,0.2773445,0.08252371,-0.4778342,-0.5587497,-0.6728025
1,0.2555556,0.5728059,1.313575,0.2841482,0.0904774,-0.4711378,-0.5588382,-0.6764193
1,0.2666667,0.5674024,1.316435,0.2904451,0.1013818,-0.4659226,-0.5573411,-0.6797122
1,0.2777778,0.5620649,1.319758,0.2967677,0.1127321,-0.4613242,-0.5552729,-0.682747
1,0.2888889,0.5570948,1.323035,0.3029814,0.1228736,-0.456724,-0.5534886,-0.6855332
1,0.3,0.551584,1.327152,0.3092451,0.1344827,-0.4521077,-0.5514845,-0.6880247
1,0.3111111,0.5459933,1.331717,0.3153465,0.1457222,-0.4473606,-0.5498645,-0.6901323
1,0.3222222,0.5405557,1.335903,0.3216996,0.1521926,-0.4418589,-0.5543523,-0.6886884
1,0.3333333,0.5351851,1.340593,0.3279226,0.1576864,-0.4365618,-0.5613828,-0.6851264
1,0.3444445,0.5293946,1.345143,0.3339059,0.1653138,-0.4313943,-0.5651626,-0.6834922
1,0.3555556,0.523489,1.350687,0.339617,0.1757617,-0.4272466,-0.5657643,-0.6829927
1,0.3666667,0.5175343,1.355933,0.3453431,0.1867667,-0.4229928,-0.564418,-0.6838331
