Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.5185874,1.416402,0.1231661,0.214537,-0.5613871,-0.5132695,-0.6126768
2,0.01111111,0.5209861,1.415051,0.1224761,0.2140445,-0.5684789,-0.503229,-0.614636
2,0.02222222,0.5246592,1.414004,0.1211891,0.2132017,-0.5797302,-0.4910254,-0.61429
2,0.03333334,0.5283551,1.413334,0.1206458,0.208467,-0.5908254,-0.4836301,-0.6112028
2,0.04444445,0.5317121,1.411777,0.1206679,0.2017874,-0.6016798,-0.4766159,-0.608359
2,0.05555556,0.5344276,1.410267,0.1219172,0.1933785,-0.610273,-0.4738406,-0.6046872
2,0.06666667,0.5362985,1.408978,0.123457,0.1880593,-0.6160847,-0.4704417,-0.6031236
2,0.07777778,0.5375504,1.408053,0.1266632,0.1861084,-0.6175168,-0.4694398,-0.6030449
2,0.08888889,0.5375693,1.407783,0.1306498,0.188403,-0.6158395,-0.4685436,-0.6047421
2,0.1,0.5365546,1.40848,0.1356218,0.1934745,-0.612089,-0.4680437,-0.60733
2,0.1111111,0.5357068,1.408786,0.1401439,0.1968124,-0.6101909,-0.4676537,-0.608467
2,0.1222222,0.5339904,1.409905,0.145968,0.2004558,-0.6071823,-0.4694661,-0.6088915
2,0.1333333,0.5322952,1.411259,0.1516521,0.2033539,-0.604157,-0.4719122,-0.6090488
2,0.1444445,0.5296676,1.412909,0.1584425,0.2061794,-0.6004115,-0.4755494,-0.6089737
2,0.1555556,0.5270209,1.414613,0.1652956,0.2092061,-0.5964795,-0.4790522,-0.6090599
2,0.1666667,0.5270209,1.414613,0.1652956,0.2092061,-0.5964795,-0.4790522,-0.6090599
2,0.1777778,0.5209601,1.418455,0.1796205,0.2180328,-0.5860597,-0.4833618,-0.612664
2,0.1888889,0.517498,1.420863,0.1879299,0.2227194,-0.5788621,-0.4853107,-0.6162698
2,0.2,0.5140331,1.423096,0.1964009,0.227628,-0.5708514,-0.4876559,-0.6200855
2,0.2111111,0.5107107,1.425418,0.2047031,0.2317148,-0.5639045,-0.4902022,-0.622914
2,0.2222222,0.5065033,1.427979,0.213588,0.2361974,-0.5553727,-0.4939512,-0.6259267
2,0.2333333,0.5025711,1.430275,0.2220755,0.2401573,-0.5485092,-0.496831,-0.6281887
2,0.2444444,0.4986014,1.432865,0.2305515,0.2436925,-0.5417336,-0.49977,-0.6303719
2,0.2555556,0.4941978,1.435664,0.2387452,0.2475367,-0.5350827,-0.5025222,-0.6323636
2,0.2666667,0.4900746,1.438311,0.2467091,0.2517149,-0.5291405,-0.5048311,-0.6338736
