Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5975606,1.319198,0.2126827,-0.009259976,-0.4830319,-0.6189885,-0.6192316
1,0.01111111,0.5973775,1.318721,0.2124455,-0.007184499,-0.4834284,-0.6177264,-0.6202093
1,0.02222222,0.5963633,1.31819,0.2122831,-0.004663721,-0.4849964,-0.6183607,-0.6183743
1,0.03333334,0.5958285,1.317514,0.2129982,-0.004021816,-0.4839292,-0.6181851,-0.6193897
1,0.04444445,0.5955353,1.316783,0.2139745,-0.003326225,-0.4826671,-0.6174707,-0.6210889
1,0.05555556,0.595607,1.315641,0.2149315,-0.004704596,-0.4816473,-0.6167721,-0.622564
1,0.06666667,0.5956993,1.314431,0.2161071,-0.005504205,-0.4808016,-0.6147997,-0.6251567
1,0.07777778,0.5956693,1.313212,0.2173641,-0.005879745,-0.4799532,-0.6109087,-0.6296037
1,0.08888889,0.5954633,1.311828,0.2190175,-0.005294685,-0.4794686,-0.6064104,-0.6343092
1,0.1,0.5950198,1.310728,0.2205148,-0.003779212,-0.4793837,-0.6020525,-0.6385216
1,0.1111111,0.5946388,1.309916,0.2222087,-0.0007764659,-0.4797438,-0.5968712,-0.6431097
1,0.1222222,0.5936553,1.309131,0.2241976,0.002135274,-0.4796483,-0.5939608,-0.6458666
1,0.1333333,0.5928493,1.308177,0.22632,0.003337643,-0.4786519,-0.592807,-0.6476581
1,0.1444445,0.5915337,1.307413,0.2288682,0.00425848,-0.4760233,-0.5953021,-0.6473014
1,0.1555556,0.5901546,1.306588,0.2316034,0.00555256,-0.4734749,-0.5974377,-0.6471931
1,0.1666667,0.5881913,1.306103,0.2345941,0.008538395,-0.4704213,-0.6000943,-0.6469296
1,0.1777778,0.5860252,1.305975,0.2377584,0.0130504,-0.4689693,-0.5993784,-0.64857
1,0.1888889,0.5838339,1.305929,0.241209,0.01753704,-0.4680632,-0.5967961,-0.6514935
1,0.2,0.5817037,1.305834,0.2446067,0.02180275,-0.4667589,-0.5938213,-0.6550092
1,0.2111111,0.5789509,1.306403,0.2488911,0.02736545,-0.4649177,-0.5884014,-0.6609739
1,0.2222222,0.576396,1.306732,0.2528081,0.03223551,-0.4624645,-0.5848901,-0.6655757
1,0.2333333,0.573276,1.307799,0.2576382,0.03793281,-0.4589808,-0.5823781,-0.6698758
1,0.2444444,0.5700369,1.308851,0.2621908,0.04338742,-0.4554541,-0.5818127,-0.6724381
1,0.2555556,0.5662518,1.310938,0.267494,0.04995194,-0.45101,-0.5834077,-0.673595
1,0.2666667,0.5622621,1.313519,0.2725911,0.05704099,-0.4470072,-0.5853289,-0.6740334
1,0.2777778,0.5583839,1.3165,0.277709,0.06505337,-0.4436974,-0.5860719,-0.6748486
1,0.2888889,0.5544319,1.320185,0.2828197,0.07431067,-0.4410138,-0.5854558,-0.6761851
1,0.3,0.5506213,1.32367,0.2877548,0.08269849,-0.4385358,-0.5850416,-0.6771808
1,0.3111111,0.5462468,1.327851,0.2926455,0.09059583,-0.4364366,-0.5854883,-0.6771404
1,0.3222222,0.542125,1.331777,0.2977784,0.09830112,-0.434003,-0.585327,-0.6777688
1,0.3333333,0.5378172,1.33643,0.3026807,0.1069014,-0.4314383,-0.5855006,-0.6779544
1,0.3444445,0.5335522,1.341134,0.3077736,0.115342,-0.4284081,-0.5863063,-0.6777962
1,0.3555556,0.5288649,1.345978,0.3125269,0.124386,-0.4247423,-0.58799,-0.6770449
1,0.3666667,0.5235202,1.351244,0.3178577,0.1344516,-0.4206377,-0.5894976,-0.6763722
1,0.3777778,0.5181937,1.356727,0.3227808,0.1455991,-0.4167897,-0.5895749,-0.6763791
1,0.3888889,0.5128865,1.362461,0.3274887,0.1574531,-0.4131388,-0.5891142,-0.6763648
1,0.4,0.5128865,1.362461,0.3274887,0.1574531,-0.4131388,-0.5891142,-0.6763648
1,0.4111111,0.5019822,1.373792,0.3366034,0.1798521,-0.4057445,-0.587097,-0.6770094
1,0.4222222,0.4963028,1.379789,0.3413789,0.1916732,-0.4016171,-0.5855075,-0.6776033
1,0.4333333,0.4903793,1.385782,0.3459561,0.203021,-0.3975973,-0.5841953,-0.6778014
1,0.4444444,0.4847572,1.391611,0.3502471,0.2141696,-0.3937646,-0.5829751,-0.6776584
1,0.4555556,0.4788256,1.397551,0.3540664,0.224904,-0.3910726,-0.5820755,-0.6765121
1,0.4666667,0.4731693,1.403704,0.3579977,0.2352328,-0.3890394,-0.5811248,-0.6749874
1,0.4777778,0.4673104,1.409873,0.3617895,0.24627,-0.3863811,-0.5795065,-0.6739681
1,0.4888889,0.4615028,1.41592,0.3654258,0.2576947,-0.3831731,-0.5775999,-0.6731643
1,0.5,0.4554069,1.421785,0.3688545,0.2689312,-0.3795759,-0.5757934,-0.6723542
1,0.5111111,0.4490991,1.427722,0.3722932,0.2798471,-0.3753355,-0.5746982,-0.671216
1,0.5222223,0.4490991,1.427722,0.3722932,0.2798471,-0.3753355,-0.5746982,-0.671216
1,0.5333334,0.4368341,1.439181,0.3796029,0.2995079,-0.3660737,-0.5757918,-0.6668949
1,0.5444446,0.430733,1.444894,0.3831372,0.3097126,-0.3617494,-0.5754743,-0.6648645
1,0.5555557,0.4243433,1.450764,0.3864381,0.3199994,-0.3583551,-0.5741806,-0.6629471
1,0.5666668,0.4183569,1.456509,0.3894873,0.3301527,-0.355849,-0.5717419,-0.6614242
1,0.577778,0.4125414,1.462361,0.3926957,0.3400626,-0.3534873,-0.5685216,-0.6604449
1,0.5888891,0.4066181,1.467937,0.3954725,0.3499942,-0.3505779,-0.5658519,-0.6590986
1,0.6000003,0.4007013,1.473573,0.3986733,0.3590742,-0.3475446,-0.5636107,-0.6577398
1,0.6111114,0.3945251,1.478959,0.4015753,0.3686042,-0.3435056,-0.5620167,-0.6559513
1,0.6222225,0.3880172,1.484473,0.4044366,0.3778141,-0.3387592,-0.5606859,-0.6543165
1,0.6333337,0.3880172,1.484473,0.4044366,0.3778141,-0.3387592,-0.5606859,-0.6543165
1,0.6444448,0.375649,1.49446,0.4104252,0.3960925,-0.3282395,-0.5590943,-0.6502179
1,0.655556,0.369704,1.499416,0.4133537,0.4040457,-0.3244777,-0.5593076,-0.6470211
1,0.6666671,0.3639166,1.504233,0.4164896,0.410164,-0.322052,-0.5604502,-0.6433845
1,0.6777782,0.3579938,1.509155,0.4194586,0.4169054,-0.3194619,-0.5601116,-0.6406318
