Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.5762637,1.350222,0.1909597,0.07385661,-0.5376794,-0.6143962,-0.5726809
3,0.01111111,0.5762582,1.35053,0.187865,0.07579177,-0.5526891,-0.6052151,-0.5678953
3,0.02222222,0.5756187,1.35168,0.1876836,0.07965808,-0.5543866,-0.6066975,-0.5641173
3,0.03333334,0.5756187,1.35168,0.1876836,0.07965808,-0.5543866,-0.6066975,-0.5641173
3,0.04444445,0.5775127,1.351207,0.1871667,0.0765909,-0.5515345,-0.6049532,-0.5691882
3,0.05555556,0.5766106,1.350279,0.188566,0.07391652,-0.5458956,-0.6100683,-0.5695182
3,0.06666667,0.5768576,1.349815,0.1892667,0.07180995,-0.5428285,-0.6131392,-0.5694216
3,0.07777778,0.5765061,1.348974,0.1903667,0.07051939,-0.5393932,-0.6164121,-0.5693137
3,0.08888889,0.5766113,1.348759,0.1908855,0.07007587,-0.5387178,-0.6166549,-0.5697449
3,0.1,0.5766633,1.348253,0.191375,0.07015125,-0.5387058,-0.6160344,-0.5704178
3,0.1111111,0.5767078,1.348019,0.1917109,0.07016812,-0.5387793,-0.6154865,-0.5709376
3,0.1222222,0.5767171,1.347647,0.1922331,0.07059118,-0.5384593,-0.6149428,-0.5717725
3,0.1333333,0.576771,1.347539,0.1927602,0.0721125,-0.5379938,-0.6140665,-0.5729615
3,0.1444445,0.576673,1.347186,0.1933255,0.07282231,-0.5372912,-0.61396,-0.5736447
3,0.1555556,0.5763023,1.346947,0.1939847,0.07363746,-0.5362775,-0.6140447,-0.5743982
3,0.1666667,0.5759215,1.34641,0.1946836,0.07458414,-0.5352475,-0.6135451,-0.5757688
3,0.1777778,0.5756969,1.346071,0.1955168,0.07584552,-0.5342004,-0.612376,-0.5778176
3,0.1888889,0.5756822,1.345595,0.1961806,0.0771249,-0.5331495,-0.6111813,-0.57988
3,0.2,0.575485,1.34506,0.1972346,0.07812992,-0.532218,-0.6104417,-0.5813783
3,0.2111111,0.5752966,1.344331,0.198333,0.07764883,-0.5316485,-0.6102432,-0.5821717
3,0.2222222,0.5751219,1.343766,0.1993368,0.07694872,-0.5312422,-0.6100408,-0.5828472
3,0.2333333,0.5750411,1.342866,0.2003522,0.07625102,-0.5308811,-0.60923,-0.5841146
3,0.2444444,0.574636,1.342172,0.2014694,0.07747115,-0.5306255,-0.6072999,-0.5861925
3,0.2555556,0.5742185,1.34146,0.2025735,0.07855535,-0.5300595,-0.60593,-0.5879753
3,0.2666667,0.5736749,1.340506,0.2038894,0.07966404,-0.5293469,-0.6048397,-0.5895885
3,0.2777778,0.5731521,1.33948,0.2052672,0.08026855,-0.5283533,-0.6039192,-0.5913386
3,0.2888889,0.5731521,1.33948,0.2052672,0.08026855,-0.5283533,-0.6039192,-0.5913386
3,0.3,0.5721197,1.336802,0.2082398,0.08100604,-0.5252619,-0.6021259,-0.595804
3,0.3111111,0.5714397,1.335038,0.2099991,0.08083962,-0.5232676,-0.6021015,-0.5976034
3,0.3222222,0.5707266,1.333025,0.2119663,0.08109459,-0.5215337,-0.6013469,-0.5998401
3,0.3333333,0.5699444,1.331252,0.2137904,0.08154969,-0.5200288,-0.5998377,-0.6025898
3,0.3444445,0.5692182,1.328602,0.215626,0.08156927,-0.5187191,-0.5973128,-0.6062132
3,0.3555556,0.5683293,1.325817,0.2175775,0.08181748,-0.5178127,-0.5932726,-0.6109039
