Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.5361004,1.44661,0.05967808,0.2090133,-0.6097329,-0.5354935,-0.5456977
2,0.01111111,0.5380359,1.445725,0.05872488,0.2043961,-0.6203834,-0.5303389,-0.540451
2,0.02222222,0.5395823,1.445166,0.05738258,0.2019366,-0.6279625,-0.5251253,-0.5377064
2,0.03333334,0.5408041,1.444545,0.0567174,0.2036615,-0.6367403,-0.5160773,-0.5354887
2,0.04444445,0.5408041,1.444545,0.0567174,0.2036615,-0.6367403,-0.5160773,-0.5354887
2,0.05555556,0.5420723,1.443349,0.05847025,0.2087937,-0.6484513,-0.5018617,-0.5329644
2,0.06666667,0.5426028,1.442555,0.0615046,0.2106736,-0.6480704,-0.4968965,-0.5373224
2,0.07777778,0.5430567,1.441753,0.06465268,0.2120157,-0.6467099,-0.4935498,-0.5415019
2,0.08888889,0.5430567,1.441753,0.06465268,0.2120157,-0.6467099,-0.4935498,-0.5415019
2,0.1,0.5421689,1.440597,0.07610202,0.2116955,-0.6360711,-0.496535,-0.5514089
2,0.1111111,0.5410726,1.440568,0.08212638,0.2142372,-0.6320862,-0.4971974,-0.5544044
2,0.1222222,0.5404637,1.440401,0.08711886,0.2162409,-0.6307518,-0.4963656,-0.5558895
2,0.1333333,0.5391216,1.440698,0.09308505,0.2193912,-0.6296892,-0.4948805,-0.5571826
2,0.1444445,0.5375266,1.44134,0.09930205,0.2245346,-0.6280814,-0.4919615,-0.5595283
2,0.1555556,0.536145,1.441791,0.1052532,0.2295083,-0.6261133,-0.4891092,-0.5622103
2,0.1666667,0.536145,1.441791,0.1052532,0.2295083,-0.6261133,-0.4891092,-0.5622103
2,0.1777778,0.532162,1.443473,0.1202562,0.2388039,-0.6176354,-0.4861778,-0.5702021
2,0.1888889,0.5301683,1.444398,0.1284783,0.2428752,-0.6111089,-0.4853833,-0.5761604
2,0.2,0.5301683,1.444398,0.1284783,0.2428752,-0.6111089,-0.4853833,-0.5761604
2,0.2111111,0.5259748,1.446556,0.1452789,0.2507924,-0.5985783,-0.4829217,-0.5878723
2,0.2222222,0.5238235,1.447797,0.1532884,0.2552615,-0.5937027,-0.4809017,-0.5925304
2,0.2333333,0.5218189,1.449447,0.1613214,0.2601445,-0.5896584,-0.4779744,-0.5967984
2,0.2444444,0.5218189,1.449447,0.1613214,0.2601445,-0.5896584,-0.4779744,-0.5967984
2,0.2555556,0.5166655,1.452956,0.1777298,0.2701604,-0.5822369,-0.4728337,-0.6036903
2,0.2666667,0.5137558,1.454708,0.1862183,0.2745582,-0.578012,-0.4722661,-0.6062051
2,0.2777778,0.5108871,1.456612,0.1945717,0.2791074,-0.5732686,-0.4718356,-0.6089609
2,0.2888889,0.5078511,1.458557,0.2035022,0.2828234,-0.5682616,-0.4728887,-0.6111187
2,0.3,0.5047388,1.460401,0.2124343,0.2848821,-0.5632017,-0.4752652,-0.613
2,0.3111111,0.5016441,1.462215,0.2214906,0.2872315,-0.5584158,-0.4763421,-0.6154414
2,0.3222222,0.4977422,1.464195,0.2308657,0.2913323,-0.5529671,-0.4746479,-0.6197277
2,0.3333333,0.4977422,1.464195,0.2308657,0.2913323,-0.5529671,-0.4746479,-0.6197277
2,0.3444445,0.4942341,1.466096,0.2396734,0.2962077,-0.5474787,-0.4721809,-0.6241581
2,0.3555556,0.4870682,1.470227,0.2569368,0.3077442,-0.5370366,-0.4640943,-0.6336417
2,0.3666667,0.4834583,1.472329,0.2652576,0.3132138,-0.5320404,-0.4610383,-0.6373962
2,0.3777778,0.4797764,1.474395,0.2737684,0.3177444,-0.527025,-0.4594623,-0.6404511
2,0.3888889,0.4759583,1.476318,0.2821698,0.321526,-0.5220419,-0.4591517,-0.6428633
2,0.4,0.4716086,1.478528,0.2906322,0.3244614,-0.5170228,-0.460962,-0.6441478
2,0.4111111,0.4672685,1.480748,0.299118,0.327627,-0.5124074,-0.4623228,-0.6452572
2,0.4222222,0.4630783,1.482864,0.3073938,0.3310307,-0.5075338,-0.4627381,-0.6470715
2,0.4333333,0.4586112,1.485066,0.3154922,0.3351068,-0.5025339,-0.4618179,-0.6495286
2,0.4444444,0.4586112,1.485066,0.3154922,0.3351068,-0.5025339,-0.4618179,-0.6495286
2,0.4555556,0.4543736,1.487145,0.3234475,0.3398465,-0.497385,-0.4595083,-0.6526597
2,0.4666667,0.4457567,1.491303,0.3390386,0.3498703,-0.4868028,-0.4538161,-0.6592911
2,0.4777778,0.4412904,1.493223,0.3467941,0.3530379,-0.4817462,-0.4528798,-0.6619552
2,0.4888889,0.436662,1.49511,0.3545887,0.3554778,-0.4766872,-0.4533089,-0.6640151
2,0.5,0.4320054,1.497105,0.3622375,0.3589591,-0.471441,-0.4532129,-0.6659504
2,0.5111111,0.4272556,1.499207,0.3697562,0.3634893,-0.4657905,-0.4522376,-0.6681287
2,0.5222223,0.4226754,1.501364,0.3771992,0.3671975,-0.4608182,-0.451947,-0.6697437
2,0.5333334,0.4180789,1.503379,0.3847685,0.3699754,-0.4562999,-0.4524603,-0.6709607
2,0.5444446,0.4135201,1.505313,0.392005,0.3732035,-0.4513799,-0.451907,-0.6728711
2,0.5555557,0.4135201,1.505313,0.392005,0.3732035,-0.4513799,-0.451907,-0.6728711
2,0.5666668,0.4089243,1.507173,0.3991385,0.3767741,-0.4461927,-0.4505092,-0.675274
2,0.577778,0.3993292,1.510994,0.4128869,0.3842175,-0.4359282,-0.4462515,-0.6805903
2,0.5888891,0.3948913,1.512707,0.4196346,0.3865053,-0.4313763,-0.4455859,-0.6826283
2,0.6000003,0.3903663,1.514486,0.426389,0.389016,-0.426924,-0.4450254,-0.6843647
2,0.6111114,0.3903663,1.514486,0.426389,0.389016,-0.426924,-0.4450254,-0.6843647
2,0.6222225,0.3816175,1.518017,0.4395378,0.3942465,-0.418673,-0.4437703,-0.6872777
2,0.6333337,0.3773596,1.519706,0.4456496,0.3977567,-0.4146126,-0.4418489,-0.6889525
2,0.6444448,0.3729815,1.521501,0.4516909,0.4010933,-0.4104946,-0.4394347,-0.691025
2,0.655556,0.3686604,1.523082,0.4577754,0.4038479,-0.4063861,-0.4375921,-0.6930155
2,0.6666671,0.3686604,1.523082,0.4577754,0.4038479,-0.4063861,-0.4375921,-0.6930155
2,0.6777782,0.3605022,1.525876,0.4700241,0.4068841,-0.3978256,-0.4367635,-0.6967193
2,0.6888894,0.3565524,1.527262,0.4762747,0.4076227,-0.3938685,-0.437642,-0.6979834
2,0.7000005,0.3526883,1.528572,0.4824278,0.4076088,-0.3905502,-0.439359,-0.6987771
2,0.7111117,0.3486934,1.529937,0.4884419,0.4083611,-0.3871956,-0.4404239,-0.6995338
2,0.7222228,0.3449161,1.531382,0.4940784,0.4097816,-0.383543,-0.440485,-0.700676
2,0.7333339,0.3410151,1.532663,0.499553,0.4120682,-0.3789442,-0.4390866,-0.7027119
2,0.7444451,0.3371282,1.533913,0.5051305,0.4143805,-0.3742397,-0.4376673,-0.7047558
2,0.7555562,0.3333533,1.535079,0.5104971,0.4166419,-0.3693137,-0.4359294,-0.7070944
2,0.7666674,0.3297758,1.536204,0.5156977,0.4187243,-0.3647679,-0.434139,-0.709322
2,0.7777785,0.3297758,1.536204,0.5156977,0.4187243,-0.3647679,-0.434139,-0.709322
2,0.7888896,0.3220634,1.537998,0.5258911,0.4218071,-0.3582956,-0.4310085,-0.7126953
2,0.8000008,0.3220634,1.537998,0.5258911,0.4218071,-0.3582956,-0.4310085,-0.7126953
2,0.8111119,0.3156393,1.539613,0.5356278,0.4211805,-0.3559662,-0.4306994,-0.7144181
2,0.8222231,0.312464,1.540713,0.5402453,0.4214055,-0.3543318,-0.4299726,-0.7155347
2,0.8333342,0.3089969,1.541307,0.5448585,0.4214042,-0.3524097,-0.4297392,-0.7166241
2,0.8444453,0.3052385,1.541891,0.549494,0.4218123,-0.3497557,-0.4293663,-0.7179067
2,0.8555565,0.3005059,1.542289,0.5538883,0.4235977,-0.3460631,-0.427915,-0.7195097
2,0.8666676,0.2958663,1.542505,0.5575707,0.4265266,-0.3416545,-0.4257006,-0.7211979
2,0.8777788,0.2906976,1.542709,0.5607786,0.4295705,-0.3367261,-0.4227757,-0.7234263
2,0.8888899,0.2853694,1.542651,0.5638888,0.4313248,-0.3328806,-0.4213433,-0.724996
2,0.900001,0.2853694,1.542651,0.5638888,0.4313248,-0.3328806,-0.4213433,-0.724996
2,0.9111122,0.2796457,1.542637,0.5664608,0.4332202,-0.3292156,-0.4193934,-0.7266682
2,0.9222233,0.2682338,1.542739,0.5706134,0.4400811,-0.3183892,-0.4102613,-0.7325588
2,0.9333345,0.2682338,1.542739,0.5706134,0.4400811,-0.3183892,-0.4102613,-0.7325588
2,0.9444456,0.262373,1.54281,0.5720849,0.4444941,-0.3121253,-0.4038678,-0.7361342
2,0.9555568,0.2508144,1.542329,0.5741427,0.4531353,-0.3031947,-0.3929787,-0.7404791
2,0.9666679,0.2452123,1.542017,0.5753622,0.4567817,-0.299896,-0.3887648,-0.7418051
2,0.977779,0.2452123,1.542017,0.5753622,0.4567817,-0.299896,-0.3887648,-0.7418051
2,0.9888902,0.2344003,1.540448,0.5773118,0.4623065,-0.2962225,-0.3859373,-0.7413348
2,1.000001,0.2287002,1.539032,0.57851,0.4648853,-0.2931835,-0.3855507,-0.7411315
2,1.011112,0.2228639,1.538028,0.5797124,0.467553,-0.2889171,-0.3833105,-0.7422899
2,1.022224,0.2171218,1.536083,0.5812345,0.469472,-0.2832971,-0.3803998,-0.7447381
2,1.033335,0.2115569,1.534196,0.5825884,0.4706794,-0.2774535,-0.3759987,-0.748402
2,1.044446,0.2060115,1.532095,0.584101,0.4713326,-0.2714462,-0.3703886,-0.7529774
2,1.055557,0.200439,1.53005,0.5855472,0.4719585,-0.2663719,-0.3662709,-0.7564039
2,1.066668,0.1945729,1.528171,0.586241,0.4718465,-0.2628589,-0.3640321,-0.7587798
2,1.077779,0.1886516,1.525894,0.5871022,0.4725678,-0.2605632,-0.363197,-0.7595226
2,1.08889,0.1886516,1.525894,0.5871022,0.4725678,-0.2605632,-0.363197,-0.7595226
2,1.100002,0.1764264,1.52167,0.5881219,0.4760816,-0.2547752,-0.3595428,-0.7610289
2,1.111113,0.1694503,1.519313,0.588582,0.4786081,-0.2507834,-0.3565076,-0.762197
2,1.122224,0.1629336,1.517141,0.5892227,0.4803732,-0.2463794,-0.3534944,-0.7639244
2,1.133335,0.156337,1.514779,0.5898438,0.481066,-0.2413198,-0.3507944,-0.7663443
2,1.144446,0.1496437,1.51244,0.5905092,0.4815814,-0.2359754,-0.3477597,-0.7690633
2,1.155557,0.1429517,1.510135,0.5910795,0.4816837,-0.2304066,-0.344029,-0.7723585
2,1.166668,0.1360576,1.507995,0.5914617,0.4821815,-0.2252455,-0.3403072,-0.7752139
2,1.17778,0.1290481,1.506058,0.5917017,0.4835491,-0.2193893,-0.3355686,-0.7781018
2,1.188891,0.1219897,1.503959,0.5919757,0.4850274,-0.2136953,-0.3316011,-0.7804636
2,1.200002,0.1146934,1.501766,0.5920746,0.486441,-0.2083848,-0.3287842,-0.7822096
2,1.211113,0.1076624,1.499666,0.5923755,0.4875278,-0.2029275,-0.3262445,-0.7840291
2,1.222224,0.1004696,1.497629,0.5925491,0.4881739,-0.197393,-0.3243767,-0.785813
2,1.233335,0.09349394,1.495746,0.5925174,0.4889641,-0.1916924,-0.3221271,-0.7876562
2,1.244446,0.0861814,1.493816,0.5925889,0.4898032,-0.1857952,-0.3198306,-0.7894818
2,1.255558,0.0861814,1.493816,0.5925889,0.4898032,-0.1857952,-0.3198306,-0.7894818
2,1.266669,0.07155085,1.490248,0.5926819,0.492005,-0.1728695,-0.3146449,-0.7931241
2,1.27778,0.06429291,1.488468,0.592674,0.4933092,-0.1657311,-0.3113637,-0.79513
2,1.288891,0.05713296,1.486709,0.5926099,0.4944821,-0.1591745,-0.3083755,-0.7969037
2,1.300002,0.0500865,1.484941,0.5926967,0.4944322,-0.1549182,-0.3074055,-0.7981473
2,1.311113,0.04321718,1.483394,0.5925379,0.4952145,-0.1515281,-0.3067298,-0.7985729
2,1.322224,0.03624988,1.481933,0.5922856,0.4962476,-0.147507,-0.3056991,-0.7990795
2,1.333336,0.02937937,1.480549,0.5919216,0.4976276,-0.1434274,-0.3052454,-0.7991374
2,1.344447,0.0222137,1.479054,0.591572,0.4990811,-0.1381899,-0.3038867,-0.7996715
2,1.355558,0.0222137,1.479054,0.591572,0.4990811,-0.1381899,-0.3038867,-0.7996715
2,1.366669,0.007681131,1.476466,0.5907788,0.5023903,-0.1241923,-0.2967785,-0.8025602
2,1.37778,0.0005691051,1.475394,0.590415,0.5035233,-0.1168343,-0.2914181,-0.8049159
2,1.388891,-0.006061316,1.474065,0.5901093,0.5031834,-0.1112885,-0.2868789,-0.8075407
2,1.400002,-0.006061316,1.474065,0.5901093,0.5031834,-0.1112885,-0.2868789,-0.8075407
2,1.411114,-0.01917911,1.471287,0.5897968,0.500245,-0.1042746,-0.2789137,-0.8130738
2,1.422225,-0.01917911,1.471287,0.5897968,0.500245,-0.1042746,-0.2789137,-0.8130738
2,1.433336,-0.0331974,1.468813,0.5889261,0.5001106,-0.09620923,-0.2736541,-0.815933
2,1.444447,-0.04095364,1.46764,0.5879369,0.5022513,-0.08943227,-0.2716187,-0.8160692
