Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
16,0,0.564374,1.37443,0.04882073,0.3588107,-0.6151597,-0.3371947,-0.6157379
16,0.01111111,0.5675504,1.372412,0.04742765,0.3585529,-0.623119,-0.3368512,-0.6080245
16,0.02222222,0.5715947,1.366887,0.04813337,0.3484,-0.6318738,-0.3394819,-0.6034111
16,0.03333334,0.5760777,1.359315,0.05081916,0.3328781,-0.6395249,-0.3404927,-0.6035436
16,0.04444445,0.5814266,1.350372,0.05474234,0.3154419,-0.6445061,-0.3381358,-0.6089109
16,0.05555556,0.5872388,1.341735,0.05859113,0.3014114,-0.6493667,-0.3326269,-0.6138676
16,0.06666667,0.5936258,1.329985,0.06488204,0.284031,-0.6515403,-0.320677,-0.6260894
16,0.07777778,0.6003587,1.316213,0.07238889,0.2639649,-0.654655,-0.3077552,-0.6379938
16,0.08888889,0.6066494,1.300977,0.0811007,0.2400732,-0.6581118,-0.2945744,-0.6499844
16,0.1,0.6128843,1.28604,0.08910298,0.2160026,-0.6616386,-0.2834311,-0.6597304
16,0.1111111,0.6179731,1.267779,0.1001532,0.1830905,-0.6638,-0.2717183,-0.6723219
16,0.1222222,0.6221552,1.248323,0.1120374,0.1495037,-0.6634845,-0.2604397,-0.6852797
16,0.1333333,0.6240773,1.228477,0.1251333,0.1183207,-0.6601097,-0.2488132,-0.6988186
16,0.1444445,0.6247869,1.207877,0.1392338,0.08844991,-0.6533298,-0.2383033,-0.7131258
16,0.1555556,0.6252837,1.188079,0.1523623,0.05999465,-0.6456588,-0.2298193,-0.7257469
16,0.1666667,0.621438,1.167173,0.1686075,0.02924392,-0.6306909,-0.22583,-0.7418723
16,0.1777778,0.6155901,1.145647,0.1859772,-0.003592893,-0.6098793,-0.2261055,-0.7595463
16,0.1888889,0.6084378,1.12496,0.2024124,-0.03652819,-0.5870472,-0.2273,-0.7761289
16,0.2,0.5970922,1.103741,0.2220223,-0.06845821,-0.5536588,-0.2344474,-0.7961218
16,0.2111111,0.5831308,1.083709,0.2415338,-0.0927247,-0.5158652,-0.2402078,-0.817059
16,0.2222222,0.5628254,1.067433,0.261734,-0.1026695,-0.471556,-0.2441929,-0.8411087
16,0.2333333,0.5454013,1.050794,0.2791739,-0.1157928,-0.4347853,-0.244943,-0.8588112
16,0.2444444,0.5233822,1.03648,0.2969325,-0.1207566,-0.3928798,-0.2474937,-0.8773883
