Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
9,0,0.6004515,1.328737,0.1756599,0.07964586,-0.6042593,-0.4555677,-0.6488339
9,0.01111111,0.6013188,1.327405,0.175276,0.08157036,-0.6103125,-0.4502276,-0.6466531
9,0.02222222,0.6019051,1.326051,0.1760919,0.08330207,-0.6126231,-0.449502,-0.6447494
9,0.03333334,0.6019797,1.323964,0.1791294,0.08189796,-0.6107887,-0.4497642,-0.6464844
9,0.04444445,0.6016607,1.32173,0.1830776,0.08021902,-0.6070808,-0.4504145,-0.6497266
9,0.05555556,0.6017463,1.319171,0.1866863,0.0773204,-0.6047675,-0.4503174,-0.6522976
9,0.06666667,0.6012056,1.316253,0.1921039,0.07554186,-0.6000317,-0.4468192,-0.659248
9,0.07777778,0.600594,1.313896,0.1971869,0.0781606,-0.596477,-0.4382137,-0.6678885
9,0.08888889,0.5992668,1.311628,0.2029104,0.08382383,-0.5939552,-0.4263299,-0.6770773
9,0.1,0.5975726,1.309631,0.2086766,0.09137744,-0.5919256,-0.4139266,-0.6855211
9,0.1111111,0.5958776,1.307712,0.2144599,0.09677166,-0.5896611,-0.4047407,-0.692185
9,0.1222222,0.593401,1.30588,0.2215612,0.1009756,-0.5855063,-0.3998623,-0.697923
9,0.1333333,0.5901659,1.303761,0.2293766,0.1017035,-0.5796131,-0.4020844,-0.7014509
9,0.1444445,0.5861917,1.301966,0.2377744,0.1016249,-0.5723096,-0.4077406,-0.7041887
9,0.1555556,0.5826828,1.300268,0.245652,0.1028146,-0.5658849,-0.4100723,-0.7078448
9,0.1666667,0.5785549,1.298693,0.2544057,0.1055783,-0.5588379,-0.4109575,-0.7125078
9,0.1777778,0.5742924,1.297426,0.2630901,0.1107364,-0.5532293,-0.4064722,-0.7186482
9,0.1888889,0.5698566,1.296155,0.271853,0.1170037,-0.5483003,-0.3982654,-0.7259902
9,0.2,0.5650587,1.294812,0.2805667,0.1234949,-0.5432115,-0.3887004,-0.7338817
9,0.2111111,0.5600753,1.293427,0.2894375,0.1280723,-0.5373984,-0.3811717,-0.7412885
9,0.2222222,0.5550046,1.291962,0.2985911,0.1305252,-0.5307892,-0.3774522,-0.7474998
9,0.2333333,0.5492597,1.29037,0.3082969,0.1316595,-0.5227761,-0.3766539,-0.7533279
9,0.2444444,0.5492597,1.29037,0.3082969,0.1316595,-0.5227761,-0.3766539,-0.7533279
9,0.2555556,0.5364459,1.287527,0.3280249,0.1368018,-0.5055346,-0.3748599,-0.7649838
9,0.2666667,0.5364459,1.287527,0.3280249,0.1368018,-0.5055346,-0.3748599,-0.7649838
9,0.2777778,0.5238957,1.28468,0.346838,0.1444905,-0.4908526,-0.366752,-0.776968
9,0.2888889,0.5174832,1.282746,0.3561928,0.1473744,-0.4834825,-0.3605097,-0.7839378
9,0.3,0.5112147,1.28061,0.3655689,0.1499772,-0.4759445,-0.3538463,-0.7910604
9,0.3111111,0.5050192,1.277631,0.3747389,0.1522269,-0.4686002,-0.3441367,-0.7992564
9,0.3222222,0.4990935,1.27397,0.3838408,0.1527491,-0.4604212,-0.3349017,-0.8077877
9,0.3333333,0.4933076,1.268833,0.3933296,0.1485535,-0.4519865,-0.3305488,-0.8150936
9,0.3444445,0.4874325,1.262902,0.4027598,0.1414207,-0.4429803,-0.3326562,-0.8204319
9,0.3555556,0.4814544,1.256875,0.4124577,0.1349319,-0.4335262,-0.3357519,-0.8252994
9,0.3666667,0.4753952,1.247965,0.4221773,0.1230453,-0.4221569,-0.3474835,-0.82819
9,0.3777778,0.4753952,1.247965,0.4221773,0.1230453,-0.4221569,-0.3474835,-0.82819
9,0.3888889,0.4634216,1.229998,0.4411883,0.1040166,-0.4009652,-0.3573185,-0.8370968
9,0.4,0.4574099,1.22059,0.4504681,0.09502012,-0.3913269,-0.3585868,-0.8421698
9,0.4111111,0.4517112,1.208468,0.4589357,0.08385607,-0.3825426,-0.3568851,-0.8480934
9,0.4222222,0.4457474,1.195874,0.4669313,0.07248773,-0.3756519,-0.3515475,-0.854427
9,0.4333333,0.4392166,1.182556,0.4746354,0.06023768,-0.3701671,-0.3451009,-0.8603797
9,0.4444444,0.4317012,1.168913,0.4817038,0.04612733,-0.3632629,-0.3385129,-0.866788
9,0.4555556,0.4225938,1.155006,0.4889522,0.03121014,-0.3529146,-0.3339647,-0.8734671
9,0.4666667,0.4125643,1.14165,0.496079,0.01758355,-0.3410472,-0.3293056,-0.8803042
9,0.4777778,0.4125643,1.14165,0.496079,0.01758355,-0.3410472,-0.3293056,-0.8803042
9,0.4888889,0.4003119,1.128803,0.5030363,0.006815268,-0.3255575,-0.3217984,-0.889051
9,0.5,0.3720076,1.105911,0.5164309,-0.004686491,-0.2901152,-0.2998566,-0.9087889
9,0.5111111,0.3548021,1.096567,0.522433,-0.005026565,-0.2682333,-0.2786641,-0.9221562
9,0.5222223,0.3395119,1.086669,0.52811,-0.008010757,-0.2492839,-0.2590776,-0.9330982
9,0.5333334,0.3219919,1.078962,0.5326257,-0.01019405,-0.2299404,-0.236463,-0.9439856
9,0.5444446,0.304384,1.071446,0.5373592,-0.01528882,-0.2109154,-0.2245165,-0.9512482
9,0.5555557,0.2860811,1.065612,0.5413439,-0.01941683,-0.1919199,-0.222733,-0.9556044
9,0.5666668,0.2678728,1.061467,0.5455892,-0.02018252,-0.1727984,-0.2214596,-0.9595255
9,0.577778,0.2498207,1.057503,0.5492864,-0.01952142,-0.1541914,-0.2153263,-0.9640947
9,0.5888891,0.2498207,1.057503,0.5492864,-0.01952142,-0.1541914,-0.2153263,-0.9640947
9,0.6000003,0.2123458,1.057006,0.5566084,-0.007581166,-0.11596,-0.1960751,-0.9736788
9,0.6111114,0.1938255,1.058552,0.5596721,-0.002054721,-0.09628351,-0.1838321,-0.9782286
9,0.6222225,0.1754899,1.059619,0.5626941,0.001616655,-0.07721812,-0.1697695,-0.9824526
9,0.6333337,0.1577785,1.063601,0.5651927,0.00695391,-0.05848897,-0.1495212,-0.9870026
9,0.6444448,0.1402509,1.069486,0.5677297,0.01362885,-0.03981066,-0.1290517,-0.9907447
9,0.655556,0.1230989,1.076372,0.5693805,0.02167157,-0.02043913,-0.108866,-0.99361
9,0.6666671,0.106235,1.082707,0.5710096,0.02858021,-0.0008814555,-0.09269683,-0.9952838
9,0.6777782,0.09055734,1.091632,0.5724711,0.03627683,0.01861019,-0.08139277,-0.9958479
9,0.6888894,0.07576251,1.099891,0.5737941,0.043182,0.03624278,-0.07007062,-0.9959478
9,0.7000005,0.06290054,1.111039,0.575099,0.0520916,0.05097899,-0.06060987,-0.9954969
9,0.7111117,0.05314636,1.125731,0.5765989,0.06553787,0.0626269,-0.0489011,-0.9946815
9,0.7222228,0.0433712,1.139907,0.5781806,0.08038779,0.07383849,-0.03479534,-0.9934159
9,0.7333339,0.03332806,1.153488,0.5793829,0.09519104,0.08538537,-0.02105936,-0.9915668
9,0.7444451,0.0256772,1.169674,0.5805781,0.1134222,0.09445079,-0.00765891,-0.9890176
9,0.7555562,0.01881719,1.186439,0.581393,0.1323777,0.1028157,0.00363532,-0.9858458
9,0.7666674,0.01159668,1.202057,0.5818145,0.1486487,0.1120057,0.01384773,-0.9824288
9,0.7777785,0.01159668,1.202057,0.5818145,0.1486487,0.1120057,0.01384773,-0.9824288
9,0.7888896,0.002424955,1.235946,0.5818508,0.1808169,0.1261782,0.02898217,-0.9749587
9,0.8000008,-0.0007100105,1.253083,0.5817034,0.1953567,0.1334525,0.03498093,-0.9709802
9,0.8111119,-0.002369404,1.269891,0.5817211,0.210115,0.1390487,0.03856426,-0.9669695
9,0.8222231,-0.003504038,1.286762,0.5812488,0.2266939,0.1432068,0.04284583,-0.9624271
9,0.8333342,-0.002155542,1.304483,0.5811181,0.2461145,0.1427123,0.04447012,-0.9576447
9,0.8444453,0.001019001,1.3226,0.5805497,0.265956,0.1388113,0.0459777,-0.95283
9,0.8555565,0.005466223,1.340125,0.5805321,0.2855169,0.1320339,0.04366539,-0.9482302
9,0.8666676,0.0092206,1.357544,0.579865,0.3041436,0.1261283,0.04123379,-0.9433389
9,0.8777788,0.01603961,1.374469,0.5794995,0.322808,0.1156661,0.03444859,-0.9387383
9,0.8888899,0.02389503,1.391598,0.5793734,0.3401117,0.1045019,0.02856562,-0.9341239
9,0.900001,0.03313756,1.407979,0.5782535,0.3573453,0.09200609,0.02223663,-0.9291635
9,0.9111122,0.03313756,1.407979,0.5782535,0.3573453,0.09200609,0.02223663,-0.9291635
9,0.9222233,0.05426669,1.439977,0.5763736,0.3902513,0.06146749,0.01125384,-0.9185854
9,0.9333345,0.06641102,1.454779,0.5750334,0.4042925,0.04220092,0.00520596,-0.9136408
9,0.9444456,0.07792735,1.469662,0.5736582,0.4181745,0.0234042,-0.001193588,-0.9080645
9,0.9555568,0.09148192,1.483641,0.5712578,0.4302582,0.0008093845,-0.008805504,-0.9026626
9,0.9666679,0.1049123,1.497032,0.5691161,0.4405527,-0.02155596,-0.01663201,-0.8973139
9,0.977779,0.1189926,1.510063,0.5663643,0.4501655,-0.04201717,-0.0235283,-0.8916457
9,0.9888902,0.1317644,1.523049,0.5633318,0.4605775,-0.06129587,-0.0305377,-0.8849738
9,1.000001,0.1452646,1.535421,0.5590448,0.4712558,-0.07993867,-0.0361364,-0.877623
9,1.011112,0.1584401,1.547659,0.5541697,0.4817468,-0.0963222,-0.03929053,-0.870114
