Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.573509,1.345948,0.06074381,0.1396641,-0.6526819,-0.4267415,-0.6102394
2,0.01111111,0.5746512,1.345384,0.05629945,0.1384224,-0.6599908,-0.425805,-0.6032757
2,0.02222222,0.575423,1.344063,0.05520225,0.1297971,-0.6648132,-0.4292578,-0.5974227
2,0.03333334,0.5765471,1.342622,0.05423951,0.1257298,-0.6667167,-0.4292646,-0.5961651
2,0.04444445,0.5771503,1.341848,0.05359292,0.1212524,-0.6684798,-0.4302425,-0.5944107
2,0.05555556,0.5781429,1.340709,0.05494642,0.1170131,-0.6679661,-0.4289315,-0.5967805
2,0.06666667,0.5784893,1.339779,0.05680966,0.1171285,-0.6658267,-0.423867,-0.6027376
2,0.07777778,0.5787244,1.339224,0.05953074,0.1188568,-0.66351,-0.4171174,-0.6096234
2,0.08888889,0.5788884,1.338916,0.06173921,0.1198376,-0.6626787,-0.4118332,-0.6139132
2,0.1,0.5784686,1.339381,0.06632876,0.1222071,-0.6616338,-0.4091339,-0.6163731
2,0.1111111,0.5779123,1.339748,0.0698843,0.1232495,-0.6611198,-0.4095261,-0.6164565
2,0.1222222,0.5768378,1.340705,0.07421541,0.1246345,-0.6599447,-0.4118287,-0.6159028
2,0.1333333,0.5742047,1.342633,0.08106565,0.1283351,-0.6562194,-0.4181099,-0.6148905
2,0.1444445,0.5722506,1.344163,0.08695102,0.1318614,-0.6525196,-0.4210313,-0.6160871
2,0.1555556,0.5696924,1.346076,0.09410548,0.137073,-0.6463689,-0.4235241,-0.6197141
2,0.1666667,0.5672808,1.348018,0.1017995,0.1418639,-0.6390957,-0.4244908,-0.625491
2,0.1777778,0.5645754,1.350057,0.1101062,0.1468937,-0.6314358,-0.4241509,-0.6323031
2,0.1888889,0.5618553,1.351958,0.1180446,0.1518295,-0.6250281,-0.423638,-0.6378234
