Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0,0.5768454,1.419966,-0.001882911,-0.4173669,0.7403392,0.211844,0.4825194
4,0.01111111,0.5796411,1.413776,-0.00556159,-0.4255536,0.7476509,0.1905329,0.4728843
4,0.02222222,0.5831416,1.407857,-0.007739305,-0.428128,0.7548363,0.1718758,0.4662481
4,0.03333334,0.5880811,1.401002,-0.008525729,-0.4258677,0.7606271,0.1554446,0.4646721
4,0.04444445,0.5930431,1.394639,-0.008809209,-0.4234206,0.7651745,0.1413643,0.4639388
4,0.05555556,0.6043298,1.380966,-0.00260973,-0.3969955,0.7748267,0.1353908,0.4729773
4,0.06666667,0.6043298,1.380966,-0.00260973,-0.3969955,0.7748267,0.1353908,0.4729773
4,0.07777778,0.6141975,1.366036,0.006745577,-0.3711679,0.7814115,0.1396161,0.4818069
4,0.08888889,0.6193652,1.356571,0.01396132,-0.3587665,0.7810766,0.1456984,0.4898755
4,0.1,0.6240299,1.347511,0.01972067,-0.3481051,0.7824512,0.14767,0.4947592
4,0.1111111,0.628433,1.337472,0.0262717,0.3353953,-0.7836673,-0.1519343,-0.5002913
4,0.1222222,0.6329765,1.324357,0.03581393,0.3138455,-0.78507,-0.1621321,-0.5088019
4,0.1333333,0.6329765,1.324357,0.03581393,0.3138455,-0.78507,-0.1621321,-0.5088019
4,0.1444445,0.6376486,1.31193,0.04370511,0.293545,-0.786804,-0.1687076,-0.5160509
4,0.1555556,0.6455908,1.281173,0.06258655,0.2471955,-0.7859991,-0.1801641,-0.537253
4,0.1666667,0.6484215,1.263459,0.07265306,0.2253398,-0.7826239,-0.1818976,-0.5510309
4,0.1777778,0.6484215,1.263459,0.07265306,0.2253398,-0.7826239,-0.1818976,-0.5510309
4,0.1888889,0.6508498,1.244977,0.08319187,0.2058291,-0.777678,-0.1809311,-0.5657873
4,0.2,0.6525073,1.227077,0.09337401,0.1874175,-0.7725392,-0.1799512,-0.5793751
