Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.5615532,1.349876,0.162914,0.04722037,-0.5228965,-0.5675881,-0.6341871
3,0.01111111,0.5630515,1.345994,0.1611295,0.04932041,-0.5299279,-0.5653046,-0.630218
3,0.02222222,0.5641844,1.342996,0.1613224,0.05414093,-0.5307755,-0.5610847,-0.6328745
3,0.03333334,0.5662355,1.33869,0.1609018,0.05286726,-0.5323302,-0.5566787,-0.6355617
3,0.04444445,0.5676885,1.334483,0.1612556,0.05234471,-0.5322531,-0.5524782,-0.6393235
3,0.05555556,0.5694058,1.330242,0.1619296,0.04776881,-0.5309864,-0.5504635,-0.6424652
3,0.06666667,0.5711639,1.325473,0.1628218,0.040236,-0.5286933,-0.5499502,-0.6453055
3,0.07777778,0.5723295,1.320919,0.1641874,0.0338878,-0.5259501,-0.5495546,-0.6482421
3,0.08888889,0.5736079,1.316916,0.165123,0.03019278,-0.5243958,-0.5476572,-0.6512826
3,0.1,0.5742984,1.313807,0.1662521,0.02923543,-0.5233986,-0.5447685,-0.654543
3,0.1111111,0.575078,1.310645,0.1671746,0.02933542,-0.5235527,-0.5412948,-0.6572915
3,0.1222222,0.5753572,1.308788,0.1679487,0.03184791,-0.5247191,-0.5368676,-0.6598704
3,0.1333333,0.5753832,1.307539,0.168777,0.03510397,-0.5264127,-0.5330067,-0.6614842
3,0.1444445,0.5756598,1.305677,0.1695738,0.03592834,-0.5267966,-0.5305808,-0.6630826
3,0.1555556,0.5754249,1.304482,0.1704819,0.03684473,-0.5263605,-0.5302602,-0.6636348
3,0.1666667,0.5750573,1.303034,0.1716607,0.03658486,-0.5249376,-0.531472,-0.663807
3,0.1777778,0.5748756,1.301615,0.1727958,0.03651781,-0.5237785,-0.5318969,-0.6643857
3,0.1888889,0.574404,1.30086,0.1739998,0.03753902,-0.5227149,-0.5323878,-0.6647731
3,0.2,0.5741153,1.299851,0.1750438,0.03863037,-0.5224957,-0.5314489,-0.6656336
3,0.2111111,0.5737076,1.299224,0.1760657,0.03994302,-0.5229964,-0.5302403,-0.6661265
3,0.2222222,0.5734401,1.298078,0.1775761,0.04026204,-0.5229555,-0.5291982,-0.6669676
3,0.2333333,0.5732534,1.297166,0.1786578,0.0406177,-0.5224813,-0.5280221,-0.6682487
3,0.2444444,0.5730624,1.296089,0.1798208,0.04133703,-0.5220001,-0.5268014,-0.6695427
3,0.2555556,0.5725634,1.295074,0.1811726,0.04237089,-0.5213115,-0.5257202,-0.6708632
3,0.2666667,0.5723362,1.293764,0.1823184,0.04250125,-0.5201284,-0.5248638,-0.672442
3,0.2777778,0.5717378,1.292459,0.1838336,0.04257627,-0.5186381,-0.524078,-0.6741989
3,0.2888889,0.5713596,1.29064,0.1853907,0.04152388,-0.5166292,-0.5237159,-0.6760856
3,0.3,0.5706158,1.288741,0.1871459,0.04073687,-0.5149121,-0.5230318,-0.6779704
3,0.3111111,0.5699823,1.286579,0.1888785,0.04041409,-0.5135951,-0.5216551,-0.6800461
3,0.3222222,0.569339,1.283935,0.1908424,0.0400884,-0.5129511,-0.5186542,-0.6828411
3,0.3333333,0.5684195,1.281018,0.1928627,0.03859954,-0.5120956,-0.5169817,-0.6848344
3,0.3444445,0.5674767,1.277991,0.1949661,0.03715327,-0.5109976,-0.515254,-0.6870331
3,0.3555556,0.5660946,1.274188,0.1975803,0.03578337,-0.50923,-0.5125997,-0.6903955
3,0.3666667,0.5643857,1.270105,0.2005694,0.0350014,-0.5069352,-0.5099306,-0.694091
3,0.3777778,0.5625,1.265332,0.2040057,0.03288059,-0.5042932,-0.5078493,-0.6976363
3,0.3888889,0.5604844,1.259882,0.2078123,0.02972957,-0.5012118,-0.505556,-0.7016524
