Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
6,0,0.6287441,1.368571,0.1536248,0.2900911,-0.6299688,-0.2806158,-0.6635068
6,0.01111111,0.6294599,1.367859,0.1539764,0.2961124,-0.6280138,-0.2720057,-0.6662801
6,0.02222222,0.6309445,1.367514,0.1535058,0.2933642,-0.6323633,-0.2707815,-0.6638761
6,0.03333334,0.6322618,1.366558,0.1539714,0.2889211,-0.6379896,-0.2667657,-0.6620649
6,0.04444445,0.631943,1.365075,0.155858,0.2833328,-0.6432399,-0.2603503,-0.6619537
6,0.05555556,0.6323953,1.363816,0.1567318,0.2799741,-0.646983,-0.256238,-0.6613393
6,0.06666667,0.6306186,1.362799,0.1598761,0.2793466,-0.6478415,-0.250405,-0.6629965
6,0.07777778,0.6291802,1.362077,0.1628881,0.2807586,-0.647279,-0.2443818,-0.6651933
6,0.08888889,0.6256716,1.361779,0.1678166,0.2855279,-0.6422193,-0.2382565,-0.6702701
6,0.1,0.6211293,1.361776,0.1740797,0.2917523,-0.6340251,-0.2335192,-0.6770241
6,0.1111111,0.6153777,1.361813,0.181735,0.297023,-0.6236067,-0.2316501,-0.6850039
6,0.1222222,0.6094382,1.362162,0.1900222,0.3022561,-0.6116405,-0.2312595,-0.6935822
6,0.1333333,0.6037581,1.362361,0.197381,0.3063393,-0.6020227,-0.2305934,-0.7003939
6,0.1444445,0.596298,1.362621,0.2065637,0.309985,-0.5911776,-0.232563,-0.7073422
6,0.1555556,0.5895667,1.362534,0.2146647,0.3131878,-0.581798,-0.2336715,-0.7133178
6,0.1666667,0.5812263,1.362735,0.2240171,0.3170614,-0.5714837,-0.2358974,-0.7191877
6,0.1777778,0.5724192,1.362692,0.2335625,0.3201469,-0.5608637,-0.2379301,-0.7254841
6,0.1888889,0.5634761,1.36246,0.2433336,0.3230677,-0.5489572,-0.2390195,-0.7329004
6,0.2,0.5544791,1.362208,0.2528479,0.3265605,-0.5365331,-0.2391704,-0.7404647
6,0.2111111,0.5450144,1.361771,0.2625778,0.3303435,-0.5226293,-0.2381065,-0.7490241
6,0.2222222,0.5353951,1.361467,0.2721992,0.3338057,-0.5088559,-0.2366433,-0.7573898
6,0.2333333,0.5254431,1.360884,0.2820244,0.3364791,-0.4962183,-0.2347853,-0.7651308
6,0.2444444,0.5157533,1.360227,0.291152,0.3388382,-0.4849348,-0.2331679,-0.77179
6,0.2555556,0.5063083,1.359789,0.2999508,0.341386,-0.4741498,-0.2313853,-0.7778808
6,0.2666667,0.4960654,1.359545,0.308641,0.3441347,-0.4660366,-0.2288089,-0.782322
6,0.2777778,0.4862649,1.358949,0.3171687,0.3467419,-0.456801,-0.2268806,-0.7871646
6,0.2888889,0.4760909,1.358994,0.3254299,0.3496278,-0.4478558,-0.2250201,-0.7915502
6,0.3,0.4655018,1.358756,0.3336468,0.3532618,-0.4367458,-0.2235337,-0.79655
6,0.3111111,0.4548223,1.358981,0.3417423,0.3561386,-0.4251595,-0.2232445,-0.8016025
6,0.3222222,0.4440961,1.358745,0.3499482,0.3589765,-0.4136421,-0.2224404,-0.8065708
6,0.3333333,0.4333522,1.358829,0.3573854,0.3621825,-0.4026146,-0.2209933,-0.8111026
6,0.3444445,0.4226153,1.358909,0.3646431,0.3651224,-0.3933862,-0.218338,-0.8150225
6,0.3555556,0.4120409,1.359023,0.3717072,0.3683253,-0.3839195,-0.2149505,-0.8189864
6,0.3666667,0.4012887,1.359281,0.3783782,0.3722827,-0.3756185,-0.2093271,-0.8224953
6,0.3777778,0.390594,1.359575,0.3845744,0.3760425,-0.3669265,-0.2047212,-0.8258609
6,0.3888889,0.3792815,1.359738,0.3910022,0.3792233,-0.3564972,-0.2025873,-0.8294926
6,0.4,0.3679559,1.359924,0.3974497,0.3822049,-0.3456379,-0.2015284,-0.8329707
6,0.4111111,0.3563099,1.360183,0.4035511,0.3847783,-0.3339428,-0.2025941,-0.8362916
6,0.4222222,0.3448029,1.360543,0.4092751,0.38781,-0.3232504,-0.2019948,-0.8392323
6,0.4333333,0.3334193,1.360992,0.4150014,0.3907789,-0.3136443,-0.2003297,-0.841895
