Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
5,0,0.5715365,1.374527,0.2046101,0.1430389,-0.5194206,-0.5551252,-0.633702
5,0.01111111,0.574194,1.372823,0.2028606,0.1436304,-0.5241539,-0.5504086,-0.6337849
5,0.02222222,0.5773721,1.371099,0.2009096,0.1415907,-0.5303158,-0.5475613,-0.6315805
5,0.03333334,0.579977,1.368264,0.1998799,0.1374841,-0.5348623,-0.5403708,-0.6348385
5,0.04444445,0.5861521,1.36285,0.1982496,0.1262387,-0.5406265,-0.5289497,-0.6418716
5,0.05555556,0.5884602,1.359734,0.1979985,0.1200741,-0.5416646,-0.5252959,-0.6451712
5,0.06666667,0.590652,1.356884,0.1976323,0.1163436,-0.5423247,-0.5219723,-0.6479915
5,0.07777778,0.5916016,1.354565,0.1975853,0.117027,-0.5410672,-0.5178292,-0.65223
5,0.08888889,0.5925241,1.352185,0.1972599,0.1192758,-0.539766,-0.514146,-0.6558049
5,0.1,0.5928981,1.349994,0.1972239,0.1203705,-0.5393739,-0.5128893,-0.6569105
5,0.1111111,0.5927148,1.348096,0.1971636,0.1201686,-0.5395951,-0.5136912,-0.6561388
5,0.1222222,0.5931194,1.345884,0.1968763,0.1194597,-0.5401709,-0.5138702,-0.6556541
5,0.1333333,0.5925517,1.344037,0.1970961,0.1194174,-0.5402663,-0.5147269,-0.6549107
5,0.1444445,0.5919704,1.341811,0.1975706,0.1201166,-0.5395929,-0.5142527,-0.6557101
5,0.1555556,0.5909712,1.339806,0.1984203,0.1214715,-0.5379924,-0.5129206,-0.6578156
5,0.1666667,0.5902195,1.337677,0.1992128,0.1226363,-0.5363337,-0.5108976,-0.6605226
5,0.1777778,0.5891025,1.335345,0.2005394,0.1241977,-0.5337168,-0.5081001,-0.6644966
5,0.1888889,0.5878582,1.332937,0.201859,0.1255327,-0.5315605,-0.5047022,-0.6685513
5,0.2,0.5867147,1.33041,0.2034867,0.1263811,-0.5297455,-0.5007467,-0.6727929
5,0.2111111,0.5855167,1.32782,0.2052491,0.1263917,-0.5276545,-0.4981236,-0.6763718
5,0.2222222,0.5842094,1.325053,0.2072818,0.1252913,-0.5256101,-0.4980455,-0.6782233
5,0.2333333,0.5828934,1.322362,0.209193,0.1241669,-0.5237258,-0.4985103,-0.679545
5,0.2444444,0.5814199,1.319499,0.2113414,0.1232538,-0.521365,-0.4995685,-0.6807483
5,0.2555556,0.5795527,1.316747,0.2140083,0.1237518,-0.518733,-0.4989876,-0.6830908
5,0.2666667,0.5775144,1.313731,0.2166746,0.1245173,-0.5158358,-0.4975008,-0.6862229
5,0.2777778,0.5748169,1.310755,0.219857,0.1264671,-0.5119278,-0.4936076,-0.6915835
5,0.2888889,0.5718689,1.307664,0.2233572,0.1297585,-0.5074499,-0.4878003,-0.6983612
5,0.3,0.5686839,1.304354,0.2269928,0.132385,-0.5022379,-0.4820701,-0.7055777
5,0.3111111,0.565254,1.300819,0.2308586,0.1333901,-0.4968366,-0.4780053,-0.7119491
5,0.3222222,0.5618517,1.297228,0.2351348,0.1330268,-0.4911944,-0.476173,-0.717141
5,0.3333333,0.5582764,1.293697,0.2392859,0.1320146,-0.4857572,-0.4763145,-0.7209277
5,0.3444445,0.5582764,1.293697,0.2392859,0.1320146,-0.4857572,-0.4763145,-0.7209277
5,0.3555556,0.5498455,1.286589,0.2486472,0.1297304,-0.4746784,-0.4810406,-0.7255691
5,0.3666667,0.5450561,1.283252,0.2535985,0.1315592,-0.4690931,-0.4804583,-0.7292488
5,0.3777778,0.5397503,1.280021,0.2588549,0.1348267,-0.4629807,-0.4780605,-0.7341177
5,0.3888889,0.5341253,1.276638,0.2643504,0.1378508,-0.4561215,-0.4742027,-0.7403257
5,0.4,0.5279284,1.273351,0.2699745,0.1407344,-0.4485189,-0.4699016,-0.7471393
5,0.4111111,0.5219331,1.270049,0.2753656,0.1430935,-0.4412201,-0.4664029,-0.7532048
5,0.4222222,0.5148876,1.266882,0.2813585,0.1453005,-0.4329154,-0.462844,-0.7597681
5,0.4333333,0.5074353,1.263611,0.2876809,0.1472218,-0.4235486,-0.460235,-0.7662351
5,0.4444444,0.4993541,1.260677,0.2942996,0.1496438,-0.4135199,-0.4584983,-0.7722612
5,0.4555556,0.4911404,1.257885,0.30075,0.1526237,-0.4031463,-0.4575664,-0.7776967
5,0.4666667,0.4828048,1.255055,0.3070114,0.1557397,-0.3932873,-0.4564254,-0.7827811
5,0.4777778,0.4735174,1.252626,0.313736,0.1603196,-0.3830546,-0.4556401,-0.7873747
5,0.4888889,0.4643147,1.250178,0.3200498,0.1644125,-0.3728813,-0.4540304,-0.7923286
5,0.5,0.4542475,1.248068,0.3265195,0.1699084,-0.3620934,-0.450889,-0.7979466
5,0.5111111,0.4437709,1.246155,0.332814,0.1761639,-0.3510731,-0.4461257,-0.8041679
5,0.5222223,0.4330392,1.244455,0.3390226,0.182047,-0.3400043,-0.440908,-0.8104666
5,0.5333334,0.4219296,1.242701,0.3452673,0.1871275,-0.3284377,-0.4362036,-0.8166018
5,0.5444446,0.4105296,1.241053,0.3515835,0.1918881,-0.3167038,-0.4333709,-0.8216249
5,0.5555557,0.3991513,1.239313,0.3577528,0.1964772,-0.3048922,-0.4314343,-0.8260157
5,0.5666668,0.3868136,1.237873,0.3638415,0.2018007,-0.29164,-0.4311054,-0.8296812
5,0.577778,0.3740623,1.236607,0.3697224,0.2081317,-0.2778735,-0.4303235,-0.8332403
5,0.5888891,0.3613954,1.235348,0.3755398,0.2146397,-0.2638665,-0.4280885,-0.8372841
5,0.6000003,0.3482213,1.234595,0.3808961,0.2218117,-0.2492897,-0.4240122,-0.841943
5,0.6111114,0.3482213,1.234595,0.3808961,0.2218117,-0.2492897,-0.4240122,-0.841943
5,0.6222225,0.3216848,1.233255,0.3905609,0.2356715,-0.2218101,-0.4146498,-0.8504851
5,0.6333337,0.3081617,1.232648,0.3951862,0.2419638,-0.2086045,-0.4101776,-0.8542202
5,0.6444448,0.2948155,1.231927,0.3997314,0.2474399,-0.1956326,-0.4065725,-0.8574382
5,0.655556,0.2805178,1.231569,0.4038,0.2530569,-0.1827091,-0.4043102,-0.8597168
5,0.6666671,0.2666299,1.231096,0.407656,0.2593665,-0.1686344,-0.4006203,-0.8624355
5,0.6777782,0.2519233,1.230869,0.4110293,0.2663815,-0.1532665,-0.3965563,-0.8650396
5,0.6888894,0.2371829,1.230772,0.4139972,0.2737835,-0.1376258,-0.3918866,-0.867483
5,0.7000005,0.222481,1.230582,0.4170368,0.2808408,-0.1223454,-0.3864099,-0.8699698
5,0.7111117,0.2077363,1.230823,0.4192665,0.2882124,-0.1072041,-0.3800468,-0.8723562
5,0.7222228,0.1930223,1.23092,0.4212863,0.29535,-0.0923446,-0.3749825,-0.8738587
5,0.7333339,0.1784356,1.230956,0.4231417,0.3019785,-0.07807357,-0.3708545,-0.874746
5,0.7444451,0.1639216,1.230955,0.4249535,0.3080886,-0.06367916,-0.3670295,-0.8753947
5,0.7555562,0.1493874,1.230835,0.4259772,0.3137729,-0.05042529,-0.3641351,-0.8754482
5,0.7666674,0.1348357,1.230781,0.4273143,0.3197741,-0.03668858,-0.360644,-0.8754053
5,0.7777785,0.1202917,1.230569,0.4280078,0.3258218,-0.02324179,-0.3585556,-0.8744929
5,0.7888896,0.1054971,1.230451,0.428328,0.3321815,-0.008566929,-0.3553626,-0.8736702
5,0.8000008,0.09089947,1.230335,0.4282637,0.3380637,0.00722327,-0.3509229,-0.8732204
5,0.8111119,0.07633376,1.230061,0.4281003,0.3432362,0.02306223,-0.3462211,-0.8728048
5,0.8222231,0.06197071,1.229835,0.4272363,0.3466568,0.03941831,-0.3411837,-0.8728511
5,0.8333342,0.0475049,1.229663,0.4260247,0.3494839,0.05404651,-0.3377731,-0.8722668
5,0.8444453,0.03309417,1.229543,0.4241314,0.3523286,0.06763566,-0.3356466,-0.8709944
5,0.8555565,0.01864171,1.229847,0.4213512,0.3560838,0.08115344,-0.33357,-0.8691085
5,0.8666676,0.004273415,1.230367,0.4184964,0.3612767,0.09506279,-0.3302583,-0.8668169
5,0.8777788,-0.01004267,1.231566,0.4135287,0.3685619,0.1099959,-0.3253623,-0.8638301
5,0.8888899,-0.02447867,1.232843,0.4080451,0.3775068,0.1264717,-0.3183302,-0.8603252
5,0.900001,-0.03867197,1.234024,0.4025819,0.385658,0.1434674,-0.3116027,-0.8564979
5,0.9111122,-0.05249858,1.235008,0.3963718,0.3942876,0.1615644,-0.3050571,-0.8516892
5,0.9222233,-0.06605375,1.23548,0.3897889,0.4018937,0.1790563,-0.3010699,-0.8460362
5,0.9333345,-0.07905006,1.235441,0.3834898,0.4080694,0.1956336,-0.2992499,-0.8400335
5,0.9444456,-0.0917269,1.234949,0.3772948,0.4132016,0.2120375,-0.2973778,-0.8341888
5,0.9555568,-0.1037287,1.234632,0.3715129,0.4175393,0.2282029,-0.293503,-0.8291203
5,0.9666679,-0.1149099,1.234081,0.3656087,0.4208461,0.2436864,-0.2901217,-0.8242177
5,0.977779,-0.1249549,1.233375,0.3603981,0.424151,0.2577408,-0.2852631,-0.8199333
5,0.9888902,-0.1343815,1.232802,0.3554497,0.4267066,0.27029,-0.2793008,-0.8166124
5,1.000001,-0.1431429,1.23196,0.3510246,0.4284974,0.2821134,-0.2732382,-0.8137217
5,1.011112,-0.1510322,1.230949,0.3475161,0.4300446,0.2933585,-0.2658836,-0.8113621
5,1.022224,-0.1594399,1.230256,0.343749,0.431998,0.304615,-0.2595471,-0.808222
5,1.033335,-0.1659882,1.228851,0.3414929,0.433597,0.3126249,-0.2549307,-0.8057727
5,1.044446,-0.1713963,1.227012,0.3398345,0.4347956,0.3170732,-0.2570001,-0.8027256
5,1.055557,-0.177868,1.225496,0.3377964,0.4359565,0.323288,-0.2573462,-0.7994997
5,1.066668,-0.1836965,1.223804,0.3362563,0.4369015,0.3287839,-0.2579061,-0.7965568
5,1.077779,-0.1881938,1.222026,0.3357706,0.436695,0.3327081,-0.258893,-0.7947183
5,1.08889,-0.1924635,1.220553,0.3353269,0.4361326,0.337339,-0.2574261,-0.7935506
5,1.100002,-0.1924635,1.220553,0.3353269,0.4361326,0.337339,-0.2574261,-0.7935506
5,1.111113,-0.1961367,1.21907,0.335186,0.4352929,0.3415702,-0.2550586,-0.792966
5,1.122224,-0.2024449,1.216355,0.3352761,0.4339683,0.3475979,-0.2539466,-0.7914281
