Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
8,0,0.65378,1.366704,0.1081312,0.2841868,-0.6971431,-0.3299348,-0.5695372
8,0.01111111,0.6542115,1.363944,0.110275,0.2834189,-0.6995554,-0.3272106,-0.5685326
8,0.02222222,0.6541958,1.361479,0.1126711,0.284239,-0.7009054,-0.324411,-0.5680646
8,0.03333334,0.654773,1.358274,0.1154723,0.2850223,-0.7026889,-0.3201064,-0.5679106
8,0.04444445,0.6551287,1.354875,0.1188068,0.2852415,-0.7046662,-0.3141205,-0.5686926
8,0.05555556,0.6568918,1.350482,0.1222706,0.2829942,-0.7067227,-0.3079543,-0.5706327
8,0.06666667,0.6576684,1.346839,0.1260526,0.2815302,-0.7074102,-0.3019423,-0.5737094
8,0.07777778,0.6588957,1.341991,0.1313603,0.2775912,-0.7076061,-0.294961,-0.5789946
8,0.08888889,0.6603034,1.336971,0.1369796,0.2714167,-0.708273,-0.2892395,-0.5839717
8,0.1,0.6603034,1.336971,0.1369796,0.2714167,-0.708273,-0.2892395,-0.5839717
8,0.1111111,0.6619895,1.326548,0.1491861,0.2625318,-0.710579,-0.275314,-0.5919095
8,0.1222222,0.6621461,1.320941,0.1561539,0.2594779,-0.7116033,-0.2656662,-0.5964171
8,0.1333333,0.6620121,1.315297,0.1637533,0.2572138,-0.7110084,-0.2561345,-0.6022485
8,0.1444445,0.6617119,1.309705,0.1715639,0.2552631,-0.7092054,-0.2473012,-0.6088601
8,0.1555556,0.6605597,1.304023,0.1813741,0.2516972,-0.7048764,-0.2407281,-0.6179384
8,0.1666667,0.6590858,1.29845,0.1918881,0.246388,-0.6993445,-0.237311,-0.6276095
8,0.1777778,0.65677,1.293274,0.2026961,0.24286,-0.6929518,-0.23344,-0.6374501
8,0.1888889,0.6539187,1.28837,0.2134604,0.2413524,-0.6865916,-0.2270368,-0.647144
8,0.2,0.6514108,1.283099,0.2238877,0.2401206,-0.6812252,-0.219153,-0.6559317
8,0.2111111,0.6475611,1.278471,0.2349708,0.2398547,-0.6751522,-0.209676,-0.6653385
8,0.2222222,0.6429415,1.273808,0.2468452,0.2400268,-0.6682694,-0.2001206,-0.6750962
8,0.2333333,0.6375151,1.269699,0.2590063,0.2403187,-0.6604272,-0.1914901,-0.6851383
8,0.2444444,0.6316609,1.265799,0.271534,0.2406792,-0.6519333,-0.1842009,-0.6950731
8,0.2555556,0.6258953,1.261977,0.2838731,0.2410066,-0.6431466,-0.1765815,-0.7050513
8,0.2666667,0.6185129,1.258574,0.296952,0.2413846,-0.6323326,-0.171166,-0.7159548
8,0.2777778,0.6107557,1.255576,0.3101697,0.2396675,-0.6219432,-0.1705725,-0.7257074
8,0.2888889,0.6020644,1.253261,0.3233807,0.239159,-0.6113917,-0.1706553,-0.7347653
8,0.3,0.5937283,1.250532,0.3363135,0.2395883,-0.601037,-0.1684636,-0.7436209
8,0.3111111,0.5840752,1.24877,0.3491914,0.2417125,-0.5899806,-0.165735,-0.7523496
8,0.3222222,0.5737164,1.247247,0.3620045,0.2450444,-0.5783545,-0.1602055,-0.7614418
8,0.3333333,0.5628572,1.245809,0.3749778,0.2482435,-0.5660282,-0.1528395,-0.7711208
8,0.3444445,0.5514703,1.244407,0.3876998,0.2506311,-0.5531898,-0.1444083,-0.7812243
8,0.3555556,0.5401154,1.242988,0.4005301,0.25255,-0.5402601,-0.1358954,-0.7911195
8,0.3666667,0.5282288,1.241531,0.4131851,0.2544621,-0.5265976,-0.1267356,-0.8011754
8,0.3777778,0.5143423,1.240745,0.4259832,0.2559863,-0.5109211,-0.1166735,-0.8122918
8,0.3888889,0.5003376,1.239896,0.438828,0.256655,-0.4948181,-0.1100283,-0.8229077
8,0.4,0.4853861,1.239296,0.4512622,0.2577284,-0.4776069,-0.1046697,-0.8333739
8,0.4111111,0.4698765,1.238975,0.4635479,0.259005,-0.459569,-0.09955285,-0.8436836
8,0.4222222,0.4543157,1.238565,0.4754632,0.2602645,-0.4416512,-0.09417186,-0.8534274
8,0.4333333,0.4372232,1.238588,0.4870777,0.2620804,-0.4225084,-0.08965667,-0.8629961
8,0.4444444,0.4206705,1.238815,0.4980505,0.2639672,-0.4036095,-0.08463855,-0.8719272
8,0.4555556,0.4021242,1.239286,0.5084763,0.2664662,-0.3819221,-0.08064863,-0.8812645
8,0.4666667,0.3830843,1.240125,0.5183494,0.268766,-0.3595457,-0.07788066,-0.8901833
8,0.4777778,0.3641,1.240643,0.5280316,0.2708455,-0.3365047,-0.07473823,-0.8987889
8,0.4888889,0.3428993,1.242025,0.5358,0.2749082,-0.3094984,-0.07242744,-0.9074087
8,0.5,0.3229225,1.242889,0.5438793,0.2776546,-0.2846489,-0.06991333,-0.9148743
8,0.5111111,0.3018317,1.244291,0.5506117,0.2808532,-0.2583776,-0.06824341,-0.9217947
8,0.5222223,0.2805293,1.245757,0.5562966,0.2837996,-0.2327289,-0.06826142,-0.9277044
8,0.5333334,0.2590146,1.247378,0.5611959,0.286705,-0.2074852,-0.06918834,-0.9327182
8,0.5444446,0.2377353,1.248506,0.5659575,0.2897985,-0.1824782,-0.06894553,-0.936998
8,0.5555557,0.2161126,1.250563,0.568959,0.2942757,-0.157784,-0.06930452,-0.9400548
8,0.5666668,0.1946702,1.252483,0.5709507,0.2993723,-0.1328508,-0.06887499,-0.9423286
8,0.577778,0.1738558,1.254722,0.5719411,0.3049989,-0.1082149,-0.06727074,-0.9437902
8,0.5888891,0.1530771,1.257208,0.5722337,0.310448,-0.08400296,-0.06611736,-0.9445603
8,0.6000003,0.1324968,1.259478,0.5717111,0.3153185,-0.06025518,-0.06505389,-0.9448341
8,0.6111114,0.1122622,1.261927,0.5704796,0.3195438,-0.03664685,-0.06344298,-0.9447348
8,0.6222225,0.09210157,1.26422,0.5691533,0.3239264,-0.01233309,-0.06103826,-0.9440307
8,0.6333337,0.07189989,1.266878,0.5673568,0.3280601,0.01227264,-0.05850634,-0.9427635
8,0.6444448,0.052917,1.269567,0.5628309,0.3321357,0.03701781,-0.05609912,-0.940834
8,0.655556,0.03345084,1.272325,0.5593176,0.336619,0.06157832,-0.05343684,-0.9381046
8,0.6666671,0.0153091,1.275423,0.5538414,0.3422295,0.08487923,-0.05188541,-0.9343353
8,0.6777782,-0.002876282,1.278183,0.5480392,0.3480634,0.1064059,-0.05299603,-0.9299039
8,0.6888894,-0.02057338,1.280901,0.5420821,0.3534392,0.1276727,-0.05490422,-0.9250762
