Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
9,0,0.5951509,1.351607,0.1898518,0.1614391,-0.5395071,-0.4486839,-0.6939397
9,0.01111111,0.5955303,1.350188,0.1895626,0.1598192,-0.5451332,-0.448728,-0.6898774
9,0.02222222,0.5964139,1.348872,0.188889,0.1573227,-0.5529344,-0.4496032,-0.6836447
9,0.03333334,0.597399,1.346754,0.1880007,0.1529838,-0.560491,-0.4501722,-0.6780787
9,0.04444445,0.5978577,1.344926,0.1876364,0.1521144,-0.5647291,-0.4495696,-0.6751515
9,0.05555556,0.5982232,1.342267,0.1878002,0.1502087,-0.5688506,-0.4478777,-0.6732399
9,0.06666667,0.5990477,1.338196,0.1885502,0.1467864,-0.5702849,-0.4441404,-0.6752542
9,0.07777778,0.6000767,1.334988,0.1895144,0.1438348,-0.5722969,-0.4404072,-0.6766309
9,0.08888889,0.6009085,1.330366,0.1908951,0.1412166,-0.5736804,-0.4337134,-0.6803245
9,0.1,0.6017442,1.325744,0.1925039,0.1397149,-0.5753763,-0.4264819,-0.6837655
9,0.1111111,0.602236,1.321109,0.1940238,0.1386127,-0.5774376,-0.4197752,-0.6863973
9,0.1222222,0.6024158,1.315069,0.1967218,0.1381776,-0.5786212,-0.4110392,-0.6907614
9,0.1333333,0.6026049,1.309481,0.1989353,0.1362446,-0.5798564,-0.4048632,-0.6937505
9,0.1444445,0.602026,1.302952,0.2024739,0.1324328,-0.580124,-0.4003338,-0.6968864
9,0.1555556,0.6015871,1.296582,0.2059004,0.1281713,-0.5801985,-0.3967316,-0.6996757
9,0.1666667,0.5996399,1.289048,0.2117436,0.1223937,-0.5762581,-0.3947096,-0.7050891
9,0.1777778,0.5985918,1.282576,0.2159622,0.1188483,-0.5745363,-0.3905364,-0.7094113
9,0.1888889,0.5957141,1.275028,0.2224331,0.1160656,-0.5679374,-0.386946,-0.7171113
9,0.2,0.5922382,1.267445,0.2293169,0.1137525,-0.560547,-0.3837069,-0.7249942
9,0.2111111,0.5879445,1.259294,0.2365332,0.1120522,-0.5526322,-0.3797695,-0.7333602
9,0.2222222,0.5828311,1.25122,0.2442524,0.1110095,-0.5439657,-0.3749102,-0.7424424
9,0.2333333,0.5778353,1.243113,0.2516346,0.1101684,-0.5361022,-0.36918,-0.7511082
9,0.2444444,0.5712872,1.23423,0.2599168,0.1102859,-0.5271451,-0.3612719,-0.761208
9,0.2555556,0.5647733,1.224568,0.2683277,0.1089405,-0.5190007,-0.3526504,-0.7709786
9,0.2666667,0.5570998,1.21447,0.2772543,0.1050384,-0.5095413,-0.3452573,-0.7811095
9,0.2777778,0.5489931,1.203963,0.286499,0.09967828,-0.4985175,-0.3396226,-0.7913287
9,0.2888889,0.5400229,1.193008,0.296432,0.09357771,-0.4854998,-0.3354647,-0.8018707
9,0.3,0.5308433,1.182485,0.3060629,0.08853517,-0.4721939,-0.3319052,-0.8118087
9,0.3111111,0.5200443,1.171688,0.3163383,0.0843152,-0.4563803,-0.3286942,-0.8225376
9,0.3222222,0.5083935,1.161091,0.3264673,0.0814389,-0.4402418,-0.3235861,-0.8335748
9,0.3333333,0.4963396,1.150677,0.3365996,0.07849132,-0.4243191,-0.316774,-0.8446578
9,0.3444445,0.4843719,1.140431,0.3464234,0.07491387,-0.4090427,-0.3092032,-0.8552575
9,0.3555556,0.4710782,1.130364,0.3564355,0.07068488,-0.3937878,-0.2999423,-0.8660078
9,0.3666667,0.4579008,1.120436,0.3660164,0.06656606,-0.3784488,-0.2907437,-0.8762497
9,0.3777778,0.4432168,1.111612,0.375767,0.06379956,-0.3617777,-0.2788716,-0.8872864
9,0.3888889,0.4288912,1.102837,0.3854511,0.06191884,-0.3444467,-0.2670687,-0.8978847
9,0.4,0.4129682,1.095449,0.3948743,0.06098692,-0.3248204,-0.2545495,-0.9088327
9,0.4111111,0.396579,1.089316,0.4035904,0.06057054,-0.3060153,-0.2487821,-0.9169478
9,0.4222222,0.3812308,1.082699,0.4122553,0.05955734,-0.2889898,-0.2435579,-0.9239142
9,0.4333333,0.365175,1.077966,0.4204631,0.05991288,-0.2736894,-0.242086,-0.9289235
9,0.4444444,0.3490486,1.073694,0.4285233,0.06083826,-0.2592413,-0.2402463,-0.9334744
9,0.4555556,0.3325195,1.070524,0.4362578,0.06359544,-0.2435772,-0.2357728,-0.9386357
9,0.4666667,0.3163185,1.066906,0.4438958,0.06573436,-0.2261964,-0.2285005,-0.9446173
9,0.4777778,0.2992346,1.064992,0.4508986,0.06837749,-0.2069538,-0.2199698,-0.950846
9,0.4888889,0.2821367,1.063362,0.4577637,0.07088216,-0.1870831,-0.2101663,-0.9569775
9,0.5,0.265219,1.061817,0.4643159,0.0737178,-0.1681241,-0.1992336,-0.9626037
9,0.5111111,0.2486944,1.062006,0.4702921,0.07821844,-0.1502807,-0.185965,-0.9678403
9,0.5222223,0.2327588,1.0628,0.4757521,0.08304317,-0.1343551,-0.1739197,-0.9720106
9,0.5333334,0.2168806,1.064391,0.4810665,0.08782323,-0.1193622,-0.1652214,-0.9750599
9,0.5444446,0.2014129,1.065476,0.4862645,0.09203589,-0.1036093,-0.1575705,-0.9777352
9,0.5555557,0.1863227,1.068297,0.49073,0.09808496,-0.08843125,-0.1494739,-0.9799066
9,0.5666668,0.1716237,1.072018,0.4950244,0.1048012,-0.07379282,-0.1392548,-0.9819264
9,0.577778,0.1568685,1.075164,0.49898,0.1102509,-0.0587756,-0.1279024,-0.9838858
9,0.5888891,0.1437392,1.08146,0.5024488,0.1164269,-0.0463827,-0.1123458,-0.9857342
9,0.6000003,0.1309547,1.087253,0.5065322,0.1222199,-0.03334233,-0.09757209,-0.9871324
9,0.6111114,0.1178973,1.092887,0.5101721,0.1284293,-0.01971279,-0.0831837,-0.9880273
9,0.6222225,0.105679,1.100274,0.5136223,0.1364361,-0.005910655,-0.06846706,-0.9882624
9,0.6333337,0.09409809,1.10867,0.5166533,0.1461788,0.006992575,-0.0561479,-0.9876388
9,0.6444448,0.08292174,1.117415,0.5201249,0.1568994,0.01850269,-0.04844495,-0.9862522
9,0.655556,0.07241988,1.127144,0.523243,0.1684454,0.02875423,-0.04419617,-0.9842998
9,0.6666671,0.06209683,1.136367,0.5263329,0.1793237,0.03888417,-0.0403291,-0.9821938
9,0.6777782,0.05276418,1.147377,0.529357,0.191803,0.04717783,-0.04222892,-0.979389
9,0.6888894,0.04393053,1.159035,0.5321295,0.2057638,0.05468977,-0.04653179,-0.9759637
9,0.7000005,0.03517509,1.170213,0.5344846,0.219728,0.06309712,-0.04787145,-0.9723409
9,0.7111117,0.02757096,1.183357,0.5366201,0.2364444,0.07098597,-0.04987305,-0.9677644
9,0.7222228,0.02150822,1.198022,0.5381367,0.2548574,0.07755968,-0.04991694,-0.9625698
9,0.7333339,0.01523447,1.211794,0.5396028,0.2713948,0.08326679,-0.04972598,-0.9575693
9,0.7444451,0.008944511,1.225114,0.5412436,0.2870837,0.08910204,-0.04893778,-0.9524962
9,0.7555562,0.004390478,1.239354,0.5426857,0.3032225,0.09274753,-0.04778435,-0.947191
9,0.7666674,-0.0006270409,1.253221,0.5440581,0.3186398,0.09660269,-0.0477219,-0.9417321
9,0.7777785,-0.004143715,1.267388,0.5449347,0.3337026,0.09791486,-0.04918125,-0.9362887
9,0.7888896,-0.007246971,1.28214,0.5455198,0.3487228,0.0988977,-0.05090334,-0.9306023
9,0.8000008,-0.009598732,1.296836,0.5458124,0.3643937,0.0999009,-0.05298662,-0.9243535
9,0.8111119,-0.01173449,1.31155,0.5456998,0.3808137,0.1010554,-0.05516323,-0.9174562
9,0.8222231,-0.01386309,1.325928,0.5454485,0.3968472,0.102308,-0.05666737,-0.9104033
9,0.8333342,-0.01417029,1.341371,0.5440848,0.4145894,0.1020438,-0.0582348,-0.9023921
9,0.8444453,-0.01445913,1.355992,0.5423372,0.4314117,0.1021662,-0.05943487,-0.8943788
9,0.8555565,-0.01511383,1.370465,0.5406961,0.4479412,0.1026384,-0.06085683,-0.8860646
9,0.8666676,-0.01439309,1.385081,0.5378635,0.4643638,0.101914,-0.06330845,-0.8774804
9,0.8777788,-0.01381826,1.399496,0.5353773,0.4797184,0.09960917,-0.06747209,-0.8691351
9,0.8888899,-0.012707,1.413634,0.5325727,0.4943093,0.09643445,-0.07189676,-0.8609237
9,0.900001,-0.01139426,1.42772,0.5290797,0.509656,0.09389836,-0.075031,-0.8519415
9,0.9111122,-0.008554459,1.441484,0.524533,0.525345,0.09057945,-0.07894379,-0.8423632
9,0.9222233,-0.006304264,1.45477,0.5204933,0.5410861,0.08793072,-0.08379039,-0.8321498
9,0.9333345,-0.003488779,1.468108,0.5157232,0.5573409,0.08370502,-0.09183425,-0.8209331
9,0.9444456,4.076958E-05,1.480921,0.5100601,0.5734847,0.07832126,-0.100408,-0.8092586
9,0.9555568,0.002948284,1.493578,0.5051003,0.5890307,0.07332873,-0.1083355,-0.7974517
9,0.9666679,0.007014751,1.505545,0.4989243,0.6046401,0.06670484,-0.1171348,-0.7850097
9,0.977779,0.01131201,1.517262,0.4925117,0.6201164,0.05860112,-0.1267291,-0.7719854
9,0.9888902,0.01579785,1.528604,0.4861298,0.6354645,0.04901773,-0.1376575,-0.7581772
9,1.000001,0.0203135,1.539532,0.479507,0.6500144,0.03962874,-0.1475658,-0.7444026
9,1.011112,0.0254426,1.549692,0.4726813,0.6631034,0.0277553,-0.1580527,-0.7311245
9,1.022224,0.03153372,1.559622,0.4659398,0.6744325,0.01597833,-0.1657752,-0.719308
9,1.033335,0.03771448,1.568707,0.4591146,0.6842852,0.00508491,-0.1711012,-0.7088388
9,1.044446,0.04375172,1.577989,0.4527175,0.6935101,-0.00528427,-0.1760335,-0.69859
9,1.055557,0.05096459,1.586133,0.4458344,0.7013336,-0.0151912,-0.1777317,-0.6901535
9,1.066668,0.05844355,1.593822,0.4390512,0.7092077,-0.02464303,-0.1780123,-0.6817103
9,1.077779,0.0660131,1.601038,0.432143,0.7171297,-0.03552984,-0.1785391,-0.6727455
9,1.08889,0.07339454,1.608144,0.4254577,0.7249916,-0.04744754,-0.1806544,-0.662948
9,1.100002,0.08121157,1.614133,0.418838,0.7318323,-0.06093676,-0.181707,-0.6539807
9,1.111113,0.08945012,1.619469,0.4124515,0.7378317,-0.074751,-0.1824219,-0.6455533
9,1.122224,0.09788847,1.624248,0.4064839,0.7431166,-0.0883175,-0.1835403,-0.6374094
9,1.133335,0.1057255,1.628881,0.4004869,0.7483001,-0.1017842,-0.1858536,-0.6286061
9,1.144446,0.1143475,1.63252,0.3948987,0.7520844,-0.1158465,-0.1883056,-0.6208781
9,1.155557,0.1227994,1.635311,0.3892477,0.755195,-0.1290936,-0.1907501,-0.6137017
9,1.166668,0.1314895,1.6373,0.3841701,0.7574365,-0.1419913,-0.1927727,-0.6074266
9,1.17778,0.1408308,1.639125,0.3789675,0.7595525,-0.1551037,-0.1936259,-0.6012753
9,1.188891,0.1503313,1.640252,0.3740957,0.7611257,-0.16838,-0.1932625,-0.5958065
9,1.200002,0.159549,1.641699,0.3692679,0.7628059,-0.1817045,-0.1924606,-0.5899742
9,1.211113,0.1696188,1.641825,0.3646183,0.7636102,-0.1962381,-0.1896476,-0.58517
9,1.222224,0.1795518,1.641752,0.3605857,0.7636017,-0.210203,-0.1866518,-0.5812817
9,1.233335,0.1894529,1.641648,0.3565564,0.7636059,-0.2232696,-0.1844909,-0.5770788
9,1.244446,0.199472,1.640511,0.3531659,0.7624199,-0.2361127,-0.1818039,-0.5743815
9,1.255558,0.2097158,1.639026,0.3501828,0.7604522,-0.2487739,-0.1794275,-0.5723896
9,1.266669,0.2197661,1.636963,0.3478415,0.7578069,-0.2607734,-0.1771047,-0.5712792
9,1.27778,0.2298939,1.634639,0.3458378,0.7549894,-0.271538,-0.1745368,-0.5707846
9,1.288891,0.2398643,1.632431,0.3438425,0.7519659,-0.2826215,-0.1721192,-0.5701293
9,1.300002,0.250195,1.629287,0.3426147,0.7481055,-0.2939169,-0.1695264,-0.5702735
9,1.311113,0.2606189,1.625895,0.3418109,0.7433037,-0.3067386,-0.1678787,-0.5702875
9,1.322224,0.2707422,1.622523,0.3406949,0.7385213,-0.3200229,-0.1666923,-0.5695484
9,1.333336,0.2810681,1.618329,0.3404891,0.7324297,-0.3349235,-0.1662514,-0.5689759
9,1.344447,0.2914059,1.613668,0.3404326,0.7266846,-0.3487029,-0.1641257,-0.5686815
9,1.355558,0.30199,1.608834,0.3406284,0.7206966,-0.3612523,-0.1613473,-0.5692629
9,1.366669,0.3122809,1.603701,0.3416252,0.7141706,-0.3726824,-0.1577549,-0.5711232
9,1.37778,0.3227906,1.598164,0.3432074,0.7071829,-0.3833225,-0.153435,-0.5739458
9,1.388891,0.3331666,1.592617,0.3446786,0.6995157,-0.3944769,-0.1495953,-0.5767903
9,1.400002,0.3436618,1.586569,0.3472614,0.6903182,-0.4045194,-0.1444778,-0.582195
9,1.411114,0.3541889,1.580189,0.3504477,0.6803133,-0.4135647,-0.1380952,-0.5891246
9,1.422225,0.3644223,1.573785,0.3536639,0.6699989,-0.4226917,-0.1322146,-0.5957789
9,1.433336,0.3741679,1.566965,0.358495,0.6572704,-0.4306951,-0.125183,-0.6056621
9,1.444447,0.3834412,1.560007,0.3639259,0.6435211,-0.4379998,-0.1166583,-0.6167881
9,1.455558,0.3933015,1.552871,0.3696761,0.6300314,-0.4448756,-0.1059826,-0.6276256
9,1.466669,0.401633,1.545757,0.3757753,0.6172575,-0.4498931,-0.09197147,-0.6388511
9,1.47778,0.4102302,1.538635,0.3815992,0.6047418,-0.4557605,-0.07912719,-0.6483121
9,1.488891,0.4167857,1.532149,0.3883867,0.5911266,-0.4608855,-0.06418767,-0.6588125
9,1.500003,0.4228415,1.526184,0.3951647,0.5791901,-0.4649677,-0.04938301,-0.6677613
9,1.511114,0.4264379,1.521411,0.4017651,0.5715728,-0.4660366,-0.03428412,-0.6744917
9,1.522225,0.4289834,1.51703,0.4082329,0.5679038,-0.4626866,-0.01842493,-0.6804902
9,1.533336,0.4303,1.513291,0.4148407,0.5653569,-0.4574892,-0.003949512,-0.6863379
9,1.544447,0.4308205,1.510078,0.4212503,0.5605193,-0.4541567,0.006053715,-0.6924762
9,1.555558,0.4290676,1.508253,0.4279532,0.5544624,-0.4516192,0.006964516,-0.6989729
9,1.566669,0.4249034,1.507794,0.4348047,0.5487736,-0.4483741,0.00252444,-0.7055508
9,1.577781,0.4202328,1.507836,0.4415767,0.5444278,-0.4427855,-0.002731555,-0.7124128
9,1.588892,0.4137962,1.508942,0.4483676,0.5415053,-0.4341422,-0.007352301,-0.7198879
9,1.600003,0.4068613,1.510212,0.4548659,0.5402169,-0.422904,-0.01004441,-0.7274731
9,1.611114,0.4003029,1.511222,0.4611938,0.5393446,-0.4117834,-0.009703147,-0.7344711
9,1.622225,0.3914752,1.513393,0.4665074,0.5422272,-0.396817,-0.006957477,-0.7405928
9,1.633336,0.383359,1.515194,0.4721115,0.5438497,-0.3842153,-0.003605222,-0.7460517
9,1.644447,0.3734093,1.517659,0.4767826,0.5469525,-0.3706413,0.0008086268,-0.7506446
9,1.655559,0.3627319,1.520287,0.4816806,0.5488664,-0.3581428,0.003780228,-0.7552915
9,1.66667,0.3511431,1.523075,0.4864075,0.5508651,-0.3443155,0.004439576,-0.7602466
