Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.576359,1.457378,0.1113725,0.3927314,-0.5896875,-0.3831217,-0.5926623
2,0.01111111,0.578279,1.454475,0.1116431,0.3878357,-0.5977977,-0.3852544,-0.5863451
2,0.02222222,0.5799608,1.451377,0.1126726,0.3816723,-0.6041742,-0.3862734,-0.5831748
2,0.03333334,0.5824409,1.448825,0.1132157,0.3784026,-0.6074803,-0.3858988,-0.582118
2,0.04444445,0.5831728,1.445766,0.1143348,0.3759608,-0.6090527,-0.3839913,-0.5833172
2,0.05555556,0.5856335,1.442411,0.1159244,0.3732437,-0.6103498,-0.3817601,-0.5851679
2,0.06666667,0.5877428,1.438906,0.1175513,0.3707029,-0.6118707,-0.3794598,-0.586689
2,0.07777778,0.5902224,1.435234,0.1195321,0.3690983,-0.6126764,-0.3749221,-0.5897691
2,0.08888889,0.5924766,1.431399,0.1211898,0.3680559,-0.6131889,-0.369681,-0.5931865
2,0.1,0.5946028,1.427659,0.1233087,0.3670013,-0.6144376,-0.3640094,-0.5960484
2,0.1111111,0.5967159,1.423758,0.1252594,0.3655545,-0.616962,-0.3585135,-0.5976586
2,0.1222222,0.5984628,1.419993,0.1273265,0.3637925,-0.6201443,-0.3533821,-0.5984958
2,0.1333333,0.6003523,1.416464,0.1295164,0.3620789,-0.6227463,-0.3486423,-0.5996119
2,0.1444445,0.6019697,1.412902,0.1319187,0.3608864,-0.6248977,-0.3437678,-0.6009057
2,0.1555556,0.603055,1.409738,0.1348155,0.3600439,-0.6262962,-0.3394271,-0.6024207
2,0.1666667,0.6039088,1.406451,0.1379089,0.3600028,-0.6266159,-0.3348464,-0.6046721
2,0.1777778,0.6046748,1.403421,0.141124,0.360015,-0.6269016,-0.330164,-0.6069393
2,0.1888889,0.6049154,1.400341,0.1450415,0.3605864,-0.6262262,-0.3255667,-0.6097742
2,0.2,0.6048732,1.397652,0.1492805,0.3601037,-0.625551,-0.322234,-0.6125166
2,0.2111111,0.604634,1.394976,0.1541247,0.3587281,-0.6242135,-0.3198836,-0.6159109
2,0.2222222,0.6044142,1.392422,0.1587543,0.3582571,-0.6227008,-0.3165707,-0.6194181
2,0.2333333,0.6034641,1.390207,0.1643322,0.3585784,-0.6199403,-0.3132071,-0.6236963
2,0.2444444,0.6023538,1.388253,0.1698916,0.3600024,-0.6168486,-0.3088479,-0.6280996
2,0.2555556,0.6013298,1.38634,0.1752131,0.3617992,-0.6136405,-0.3042478,-0.6324397
2,0.2666667,0.6002145,1.384517,0.1806245,0.3629361,-0.6106498,-0.299894,-0.6367479
2,0.2777778,0.5985472,1.382928,0.186856,0.3644157,-0.6071271,-0.295712,-0.6412117
2,0.2888889,0.596693,1.381393,0.1932688,0.365516,-0.6037098,-0.2926923,-0.6451851
2,0.3,0.5942781,1.380019,0.2001207,0.3664922,-0.6002877,-0.2910083,-0.6485772
2,0.3111111,0.5918148,1.378556,0.2070675,0.36724,-0.5970861,-0.2895741,-0.6517437
2,0.3222222,0.5892119,1.37714,0.2141888,0.3682164,-0.5932094,-0.2876042,-0.6555938
2,0.3333333,0.5867705,1.375669,0.2210999,0.369569,-0.5889312,-0.2847807,-0.6599082
2,0.3444445,0.5838528,1.373998,0.2284911,0.3713762,-0.5837455,-0.2812425,-0.6649989
2,0.3555556,0.5809712,1.372542,0.2357919,0.3737774,-0.5784452,-0.2763462,-0.6703166
2,0.3666667,0.5784836,1.371315,0.2425704,0.3757362,-0.5740122,-0.2714767,-0.6750057
2,0.3777778,0.5754869,1.369804,0.2497945,0.3774254,-0.570188,-0.2660991,-0.6794314
2,0.3888889,0.5724242,1.368335,0.2571714,0.3782707,-0.566785,-0.261285,-0.6836638
2,0.4,0.5690815,1.366696,0.2647443,0.3790498,-0.5629461,-0.2571407,-0.6879619
2,0.4111111,0.5656042,1.36511,0.2722361,0.3797653,-0.5588201,-0.2535404,-0.6922542
2,0.4222222,0.562077,1.363586,0.2798848,0.3806053,-0.5542406,-0.2501128,-0.696707
2,0.4333333,0.558224,1.362099,0.2877667,0.3812857,-0.5486832,-0.2469089,-0.7018576
2,0.4444444,0.554095,1.360372,0.2957304,0.3817757,-0.5424658,-0.2436286,-0.7075474
2,0.4555556,0.5499542,1.358823,0.3035421,0.3822951,-0.5361066,-0.2397424,-0.713417
2,0.4666667,0.5457954,1.357117,0.3114655,0.382805,-0.5300087,-0.2356075,-0.7190551
2,0.4777778,0.5414946,1.355643,0.3193896,0.3835467,-0.5238994,-0.2307903,-0.7246774
2,0.4888889,0.5370343,1.35419,0.3268116,0.3844658,-0.5186597,-0.227487,-0.728991
2,0.5,0.532335,1.352751,0.3343289,0.3852047,-0.5141889,-0.2253326,-0.7324291
2,0.5111111,0.5274913,1.351468,0.3417614,0.3860563,-0.5095847,-0.223296,-0.7358144
2,0.5222223,0.5226085,1.350165,0.3489587,0.3870244,-0.5046099,-0.2209041,-0.7394474
2,0.5333334,0.5178719,1.348846,0.3561459,0.3880021,-0.4993115,-0.2178944,-0.743414
2,0.5444446,0.5127819,1.347625,0.3631661,0.3892729,-0.4935832,-0.2144379,-0.7475685
2,0.5555557,0.5077791,1.346323,0.3700578,0.3906142,-0.4875664,-0.2099477,-0.7520782
2,0.5666668,0.5027337,1.345061,0.3768635,0.3918921,-0.4814778,-0.2053615,-0.7565887
2,0.577778,0.4975705,1.343699,0.3839817,0.3923322,-0.4756386,-0.2015091,-0.7610766
2,0.5888891,0.4924686,1.342431,0.3908634,0.3922992,-0.4697135,-0.1978631,-0.7657159
2,0.6000003,0.4872026,1.34113,0.397655,0.3918455,-0.464076,-0.1956678,-0.7699382
2,0.6111114,0.4819508,1.339933,0.4044263,0.3915155,-0.4585752,-0.1936048,-0.7739132
2,0.6222225,0.4766562,1.338805,0.4110103,0.3912922,-0.4527921,-0.1920819,-0.777801
2,0.6333337,0.4712927,1.337787,0.4173279,0.3917479,-0.4469305,-0.1897865,-0.7815164
2,0.6444448,0.4659448,1.336721,0.4234481,0.3927127,-0.4412576,-0.1863672,-0.7850706
2,0.655556,0.4606762,1.335749,0.4291971,0.3939228,-0.4358371,-0.182092,-0.788488
2,0.6666671,0.4553039,1.334704,0.4352429,0.3943766,-0.4304353,-0.1784741,-0.7920477
2,0.6777782,0.4499104,1.333739,0.4410048,0.3942912,-0.425164,-0.1755199,-0.7955896
2,0.6888894,0.4444306,1.332981,0.4468317,0.3940975,-0.4200706,-0.1740017,-0.7987186
