Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.5930891,1.384134,0.1761446,0.2259772,-0.564959,-0.4321917,-0.665557
3,0.01111111,0.5940042,1.382414,0.1767664,0.2230541,-0.5671473,-0.4337974,-0.6636344
3,0.02222222,0.5948665,1.381204,0.1774988,0.2196577,-0.5688758,-0.434884,-0.6625759
3,0.03333334,0.5960343,1.379422,0.1784542,0.2173226,-0.569102,-0.4332509,-0.6642194
3,0.04444445,0.5958886,1.377867,0.1796668,0.2191914,-0.5679538,-0.4285239,-0.6676459
3,0.05555556,0.5963597,1.376385,0.1807585,0.2194486,-0.5675368,-0.425349,-0.6699423
3,0.06666667,0.5960436,1.374238,0.1827512,0.2200915,-0.5662487,-0.4222464,-0.672778
3,0.07777778,0.5960436,1.374238,0.1827512,0.2200915,-0.5662487,-0.4222464,-0.672778
3,0.08888889,0.5953107,1.370455,0.1865261,0.2240922,-0.5624558,-0.4149386,-0.6791555
3,0.1,0.594718,1.368289,0.1885169,0.226316,-0.5613027,-0.411077,-0.6817156
3,0.1111111,0.5943942,1.366355,0.1903937,0.2278211,-0.5604237,-0.4076926,-0.6839662
3,0.1222222,0.5938272,1.363928,0.1928992,0.2282022,-0.5595345,-0.405457,-0.6858932
3,0.1333333,0.5934474,1.361322,0.1952913,0.2276063,-0.5585561,-0.4053422,-0.6869558
3,0.1444445,0.5925572,1.358927,0.1980484,0.2263292,-0.5575259,-0.406976,-0.6872486
3,0.1555556,0.5916715,1.356385,0.2009447,0.2251984,-0.5561702,-0.4082854,-0.6879415
3,0.1666667,0.5904343,1.353931,0.2043874,0.2243303,-0.5542527,-0.4095218,-0.6890368
3,0.1777778,0.5889847,1.351194,0.207849,0.2250946,-0.5518028,-0.4083675,-0.6914348
3,0.1888889,0.587615,1.348552,0.2113888,0.2262873,-0.5489796,-0.4050968,-0.6952065
3,0.2,0.5861135,1.345793,0.2155685,0.2271765,-0.5448768,-0.4008193,-0.7006026
3,0.2111111,0.584625,1.343166,0.2196677,0.2282552,-0.5404856,-0.3963816,-0.7061563
3,0.2222222,0.5826085,1.340546,0.2245317,0.2310492,-0.5351142,-0.3896052,-0.7130757
