Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
12,0,0.5064147,1.255349,0.2993715,0.2236306,-0.4661956,-0.1747122,-0.83793
12,0.01111111,0.5174553,1.260379,0.28462,0.2342101,-0.4848897,-0.1756908,-0.8241119
12,0.02222222,0.5260644,1.265454,0.2711797,0.2410709,-0.4949553,-0.1775177,-0.8157154
12,0.03333334,0.5356894,1.269099,0.2580931,0.2475006,-0.5050269,-0.177951,-0.8074805
12,0.04444445,0.5419347,1.27431,0.2460024,0.2537105,-0.5092255,-0.1849944,-0.8013098
12,0.05555556,0.5475836,1.279003,0.2348943,0.2557983,-0.5136253,-0.1955253,-0.7953151
12,0.06666667,0.5531082,1.283598,0.2237127,0.2579372,-0.5204653,-0.2053263,-0.7876709
12,0.07777778,0.5577862,1.288227,0.2125921,0.2605698,-0.5289497,-0.2141808,-0.778744
12,0.08888889,0.5634141,1.292845,0.2011383,0.2625976,-0.5389163,-0.2204581,-0.7694219
12,0.1,0.567508,1.297085,0.1907086,0.2644871,-0.5490185,-0.2250147,-0.7602589
12,0.1111111,0.5711622,1.30109,0.1803939,0.2662932,-0.5585898,-0.2279549,-0.7517326
12,0.1222222,0.5747175,1.305092,0.1704602,0.2683057,-0.5667895,-0.2308242,-0.7439637
12,0.1333333,0.5777843,1.308628,0.161742,0.2703076,-0.5736049,-0.2335984,-0.7371181
12,0.1444445,0.5806248,1.312271,0.1531839,0.2720644,-0.5794207,-0.2369236,-0.7308351
12,0.1555556,0.5831647,1.315511,0.1454289,0.2734431,-0.5844082,-0.2405957,-0.7251273
12,0.1666667,0.5855007,1.318848,0.1375864,0.2744665,-0.5898021,-0.2449704,-0.7188818
12,0.1777778,0.5874808,1.321886,0.1309097,0.2748493,-0.5938158,-0.2504679,-0.713517
12,0.1888889,0.5889921,1.324929,0.1245306,0.2747111,-0.5980129,-0.2566183,-0.707857
12,0.2,0.5908096,1.327777,0.1179121,0.2738368,-0.6028354,-0.2626719,-0.7018592
12,0.2111111,0.5916567,1.330162,0.1127691,0.2698698,-0.6067693,-0.2714977,-0.6966279
12,0.2222222,0.592726,1.332762,0.1075268,0.2665503,-0.6112219,-0.2792483,-0.6909263
12,0.2333333,0.5940714,1.334868,0.1035101,0.2605437,-0.6138757,-0.2877007,-0.6873878
12,0.2444444,0.5953717,1.337152,0.09948421,0.2563861,-0.6160323,-0.2943755,-0.6841882
12,0.2555556,0.5968204,1.339121,0.09633946,0.251979,-0.6160468,-0.2998934,-0.6834157
