Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
7,0,0.5933166,1.348019,0.1898389,0.215601,-0.5577753,-0.4157641,-0.6852323
7,0.01111111,0.5947082,1.345516,0.1919825,0.2091477,-0.5600425,-0.417378,-0.6844014
7,0.02222222,0.5959339,1.341057,0.1944993,0.2008966,-0.5627287,-0.4187158,-0.6838524
7,0.03333334,0.5985146,1.336541,0.1981699,0.1906716,-0.5641424,-0.4195,-0.6851332
7,0.04444445,0.5982332,1.330718,0.2020586,0.1829705,-0.5631987,-0.4162727,-0.689961
7,0.05555556,0.5986438,1.325812,0.2066865,0.1778908,-0.560683,-0.4116658,-0.6960753
7,0.06666667,0.5985098,1.320367,0.2112188,0.1728436,-0.5575175,-0.4073504,-0.7023995
7,0.07777778,0.5967968,1.313617,0.2178414,0.1714477,-0.5491868,-0.3989132,-0.7140503
7,0.08888889,0.5957494,1.307648,0.2233088,0.1686659,-0.5436109,-0.3941576,-0.7215808
7,0.1,0.5932539,1.301067,0.2299011,0.1673867,-0.5363946,-0.3892693,-0.729885
7,0.1111111,0.5901816,1.294167,0.2366323,0.1668279,-0.5295166,-0.384469,-0.7375394
7,0.1222222,0.5864046,1.287135,0.2434399,0.1657623,-0.5227701,-0.3803464,-0.7446952
7,0.1333333,0.5820251,1.279706,0.2506943,0.1632013,-0.5154245,-0.3770609,-0.752016
7,0.1444445,0.5776277,1.272213,0.2579975,0.1600735,-0.5077765,-0.3732692,-0.7597432
7,0.1555556,0.5718458,1.26382,0.2661912,0.1565204,-0.4981069,-0.3690088,-0.7689105
7,0.1666667,0.5661635,1.255573,0.2741613,0.152765,-0.4885831,-0.3641979,-0.7780163
7,0.1777778,0.5579712,1.246015,0.283298,0.148302,-0.4760796,-0.3578656,-0.7894853
7,0.1888889,0.5504754,1.237138,0.2918229,0.1450886,-0.4647607,-0.3512723,-0.7997215
7,0.2,0.5416379,1.227457,0.3008399,0.1426667,-0.4520456,-0.3427759,-0.8110523
7,0.2111111,0.5318031,1.217679,0.3100779,0.1392388,-0.4389165,-0.33481,-0.8221114
7,0.2222222,0.5214431,1.207495,0.3193138,0.1346336,-0.4254985,-0.3276801,-0.8327368
7,0.2333333,0.5108678,1.197433,0.3285487,0.1305136,-0.4118917,-0.3203236,-0.8430328
7,0.2444444,0.4987736,1.187219,0.3377469,0.1272088,-0.3972078,-0.312121,-0.853595
7,0.2555556,0.4987736,1.187219,0.3377469,0.1272088,-0.3972078,-0.312121,-0.853595
7,0.2666667,0.4727874,1.166311,0.3560479,0.1207595,-0.3648575,-0.2972244,-0.8740445
