Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5935035,1.329446,0.1892087,0.07508491,-0.5655409,-0.5248241,-0.6317322
1,0.01111111,0.5948565,1.328812,0.1885436,0.07310025,-0.5686521,-0.5222055,-0.6313419
1,0.02222222,0.5942564,1.327715,0.1891105,0.07467186,-0.5697699,-0.5219092,-0.6303946
1,0.03333334,0.5932288,1.326787,0.1910663,0.07698264,-0.5668533,-0.5241253,-0.630907
1,0.04444445,0.5934317,1.32546,0.1915421,0.07589601,-0.566892,-0.522223,-0.6325793
1,0.05555556,0.5926874,1.323932,0.1940453,0.07555991,-0.5629198,-0.5239869,-0.6347045
1,0.06666667,0.5914316,1.322329,0.1967847,0.07554083,-0.558781,-0.5244396,-0.6379817
1,0.07777778,0.589776,1.320219,0.1994448,0.0773702,-0.55561,-0.5220349,-0.6424881
1,0.08888889,0.5881569,1.318443,0.2020588,0.0791463,-0.5535716,-0.5196805,-0.6459308
1,0.1,0.5868976,1.316941,0.2046554,0.08023923,-0.5521916,-0.5175737,-0.6486629
1,0.1111111,0.5855308,1.315619,0.2069809,0.08226998,-0.5516132,-0.5139279,-0.651792
1,0.1222222,0.5840104,1.314359,0.209662,0.08411355,-0.5509268,-0.5108095,-0.6545825
1,0.1333333,0.5821233,1.31268,0.2125626,0.08453883,-0.5494556,-0.5093077,-0.6569303
1,0.1444445,0.5802419,1.311299,0.2159171,0.08472317,-0.5468842,-0.5090002,-0.6592864
1,0.1555556,0.5776615,1.309831,0.2197435,0.0861702,-0.5429262,-0.5083712,-0.6628459
1,0.1666667,0.575367,1.308606,0.2232754,0.08859878,-0.539228,-0.5072451,-0.6663976
1,0.1777778,0.5719838,1.307532,0.2273788,0.09330072,-0.5348993,-0.5052074,-0.6707782
1,0.1888889,0.5688236,1.306574,0.2313426,0.09680094,-0.5316742,-0.5028887,-0.6745777
1,0.2,0.565486,1.305613,0.235527,0.1015295,-0.5286527,-0.5000203,-0.6783788
1,0.2111111,0.5619166,1.304845,0.2399423,0.1061167,-0.5257155,-0.4957547,-0.6830738
1,0.2222222,0.5581796,1.304009,0.244771,0.1121906,-0.5218996,-0.4903816,-0.6888831
1,0.2333333,0.5544989,1.303168,0.2495916,0.1173213,-0.5175168,-0.486081,-0.6943611
