Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
17,0,0.5818145,1.365448,0.185416,0.2247979,-0.5695724,-0.3992125,-0.6824094
17,0.01111111,0.5870998,1.359172,0.1923766,0.2060418,-0.5736244,-0.4082277,-0.679597
17,0.02222222,0.5918794,1.350509,0.1995845,0.1882698,-0.5736984,-0.4099439,-0.6836451
17,0.03333334,0.5954871,1.341569,0.2068837,0.1729313,-0.5733686,-0.408382,-0.6888885
17,0.04444445,0.5979714,1.331304,0.2139447,0.1544973,-0.5733237,-0.4073598,-0.6938938
17,0.05555556,0.6006167,1.321155,0.2212362,0.1392287,-0.5726408,-0.404285,-0.6994652
17,0.06666667,0.5996368,1.309584,0.2284737,0.1316752,-0.5677404,-0.3891156,-0.7133874
17,0.07777778,0.6008313,1.299771,0.2354698,0.1204988,-0.5652046,-0.3827459,-0.7207839
17,0.08888889,0.5964608,1.288481,0.2430832,0.1194787,-0.5561098,-0.3660275,-0.7365396
17,0.1,0.593699,1.277771,0.2505469,0.1126721,-0.5493717,-0.3571472,-0.7469549
17,0.1111111,0.5883222,1.266797,0.2585566,0.1081178,-0.5400056,-0.3503135,-0.757618
17,0.1222222,0.5829241,1.255418,0.2670476,0.1038405,-0.5306531,-0.346599,-0.7664813
17,0.1333333,0.5761662,1.244556,0.2753766,0.1015792,-0.5209259,-0.3443745,-0.7744185
17,0.1444445,0.5696442,1.233868,0.2837741,0.09816181,-0.5111852,-0.3429468,-0.7819473
17,0.1555556,0.5613806,1.222512,0.2924337,0.09460731,-0.4996174,-0.3446459,-0.7890825
17,0.1666667,0.552042,1.211024,0.3015945,0.09121308,-0.4856798,-0.3458179,-0.7976248
17,0.1777778,0.5419042,1.198988,0.3105567,0.0887023,-0.4696703,-0.3442425,-0.8081083
17,0.1888889,0.5320048,1.186932,0.3195965,0.08526282,-0.4536855,-0.3415004,-0.8187046
17,0.2,0.5205154,1.173813,0.3284786,0.0801003,-0.4359376,-0.3371591,-0.8305818
17,0.2111111,0.5087411,1.160363,0.3372071,0.07312785,-0.4190697,-0.3309685,-0.8423139
