Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5980279,1.353372,0.2013052,0.09799024,-0.5017564,-0.56331,-0.649092
1,0.01111111,0.5984347,1.350526,0.2014301,0.1014252,-0.5020337,-0.5630299,-0.6485927
1,0.02222222,0.5987544,1.349448,0.2025034,0.1052875,-0.5026921,-0.5613427,-0.6489297
1,0.03333334,0.5987544,1.349448,0.2025034,0.1052875,-0.5026921,-0.5613427,-0.6489297
1,0.04444445,0.6001592,1.344151,0.2026219,0.1085772,-0.5062606,-0.5532601,-0.6525447
1,0.05555556,0.6008837,1.341116,0.2032578,0.1075796,-0.5073462,-0.5493476,-0.6551669
1,0.06666667,0.6013534,1.338418,0.2040946,0.1042765,-0.5077513,-0.5478656,-0.6566265
1,0.07777778,0.6019399,1.334858,0.2057667,0.09674465,-0.5072892,-0.549944,-0.6563991
1,0.08888889,0.601347,1.331872,0.2075658,0.09143241,-0.5060315,-0.5514249,-0.6568888
1,0.1,0.6007464,1.328702,0.2092514,0.09039509,-0.5047391,-0.5498146,-0.6593717
1,0.1111111,0.599678,1.326269,0.2109728,0.09215359,-0.5036911,-0.5454991,-0.6635011
1,0.1222222,0.5985074,1.323823,0.2125118,0.09355842,-0.5024867,-0.5415339,-0.6674542
1,0.1333333,0.5968416,1.320996,0.2143078,0.09622927,-0.5010775,-0.5361066,-0.6724961
1,0.1444445,0.5949438,1.318415,0.2163255,0.09881191,-0.4999335,-0.5306104,-0.6773147
1,0.1555556,0.5934086,1.315538,0.2181811,0.1007894,-0.4994519,-0.5257156,-0.6811846
1,0.1666667,0.5912962,1.312741,0.2206199,0.1034661,-0.4998369,-0.5188227,-0.6857703
1,0.1777778,0.5890517,1.309637,0.2230258,0.1060418,-0.5003574,-0.5108613,-0.6909548
1,0.1888889,0.5866532,1.306391,0.2259014,0.107716,-0.5011644,-0.5031281,-0.6957685
1,0.2,0.5842402,1.302937,0.2286537,0.1083819,-0.5011832,-0.4958323,-0.7008703
1,0.2111111,0.580724,1.298876,0.2327182,0.1102327,-0.500468,-0.4857313,-0.7081283
1,0.2222222,0.5775111,1.295047,0.2364473,0.1124497,-0.4988767,-0.476983,-0.7148178
1,0.2333333,0.5732203,1.290786,0.2414801,0.1159152,-0.4956759,-0.4670944,-0.7229744
1,0.2444444,0.5689478,1.286663,0.2468638,0.1187513,-0.4910946,-0.4600765,-0.7301054
1,0.2555556,0.5635433,1.281965,0.2530851,0.1205911,-0.4848775,-0.4555463,-0.7367694
1,0.2666667,0.5574927,1.27731,0.2602904,0.1208814,-0.4772855,-0.4522283,-0.7436907
1,0.2777778,0.551795,1.272815,0.2668104,0.1214524,-0.4700795,-0.4482177,-0.7505835
1,0.2888889,0.5446737,1.268175,0.2747519,0.1218407,-0.4602717,-0.445868,-0.7579622
1,0.3,0.5367687,1.263716,0.2828465,0.1229346,-0.4503785,-0.4445882,-0.7644525
1,0.3111111,0.5283329,1.259902,0.291187,0.1252084,-0.4401163,-0.4438171,-0.7704849
1,0.3222222,0.5203183,1.256209,0.2990339,0.1276738,-0.4302855,-0.4417349,-0.7768038
1,0.3333333,0.5107334,1.253442,0.3075788,0.1329203,-0.419118,-0.4384389,-0.7838646
1,0.3444445,0.5008862,1.251138,0.3161447,0.1394459,-0.4080826,-0.4327517,-0.7916751
1,0.3555556,0.4914834,1.248733,0.3234651,0.1456039,-0.3979445,-0.4269622,-0.7988386
