Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
22,0,0.6532657,1.23976,0.1355338,0.0003597961,-0.5726209,-0.2533565,-0.7796894
22,0.01111111,0.6608968,1.23978,0.1352839,-0.004938288,-0.5835274,-0.2529547,-0.771677
22,0.02222222,0.6673179,1.24131,0.1358397,-0.006020042,-0.5901853,-0.2589966,-0.764569
22,0.03333334,0.6740866,1.245386,0.1375816,-0.02114954,-0.599337,-0.2730893,-0.7521769
22,0.04444445,0.6773005,1.250843,0.1400511,-0.02467645,-0.6012678,-0.2828317,-0.7469099
22,0.05555556,0.6806157,1.256691,0.1432955,-0.02675701,-0.6018312,-0.2897021,-0.7437447
22,0.06666667,0.6806931,1.267394,0.1486537,-0.02272059,-0.5971626,-0.2956583,-0.7452964
22,0.07777778,0.680944,1.277094,0.1540766,-0.01833206,-0.5936019,-0.2999031,-0.7465647
22,0.08888889,0.6775818,1.2924,0.1613755,-0.005414838,-0.5862283,-0.304747,-0.7506241
22,0.1,0.6739342,1.30974,0.1693993,0.01329999,-0.5789111,-0.309351,-0.7543123
22,0.1111111,0.6693542,1.328911,0.1775768,0.03708709,-0.5719206,-0.3153501,-0.7563635
22,0.1222222,0.6632905,1.349463,0.1849322,0.06337141,-0.564955,-0.323771,-0.7562951
22,0.1333333,0.6565509,1.370407,0.1926756,0.08866994,-0.5583934,-0.3340034,-0.7541726
22,0.1444445,0.6500072,1.389904,0.1996,0.1110604,-0.5520555,-0.343812,-0.751461
22,0.1555556,0.6413047,1.410935,0.206774,0.1338422,-0.5452904,-0.3566729,-0.7466788
22,0.1666667,0.6329496,1.430291,0.2137663,0.153413,-0.5383499,-0.3691337,-0.7418788
22,0.1777778,0.6225774,1.450714,0.2208676,0.1707757,-0.5308371,-0.3837388,-0.7360654
22,0.1888889,0.6118875,1.470196,0.2278545,0.1879861,-0.5222252,-0.3967169,-0.7311346
22,0.2,0.6007717,1.489712,0.2340548,0.2064985,-0.5131074,-0.407623,-0.7265829
22,0.2111111,0.5876408,1.508958,0.2403858,0.2269661,-0.5025923,-0.4170378,-0.7224728
22,0.2222222,0.5731492,1.527851,0.2457149,0.25157,-0.4901777,-0.4230404,-0.7193576
22,0.2333333,0.5603964,1.546336,0.2512758,0.2725824,-0.4795233,-0.4307009,-0.71432
22,0.2444444,0.545054,1.564223,0.2559581,0.2961845,-0.466941,-0.4361039,-0.7099679
22,0.2555556,0.5301781,1.581469,0.2597196,0.3188646,-0.4539979,-0.4408379,-0.7056015
22,0.2666667,0.5144854,1.598066,0.2635243,0.3403277,-0.4420056,-0.4453005,-0.7003682
22,0.2777778,0.4991512,1.613852,0.266505,0.3600962,-0.4305404,-0.4503431,-0.6943752
22,0.2888889,0.4838204,1.629092,0.2691901,0.3794678,-0.4191124,-0.4556302,-0.6875684
22,0.3,0.4673181,1.642989,0.2709036,0.3986934,-0.4077839,-0.4607517,-0.680047
22,0.3111111,0.4512713,1.657036,0.272496,0.4184934,-0.3956991,-0.4649914,-0.6723605
22,0.3222222,0.4342518,1.669935,0.2730684,0.4393089,-0.3832521,-0.4677507,-0.6643304
22,0.3333333,0.4175401,1.681591,0.2723031,0.4609695,-0.3704548,-0.467423,-0.6571044
22,0.3444445,0.4008479,1.693734,0.2722239,0.4825317,-0.356768,-0.4671679,-0.6493335
22,0.3555556,0.3842309,1.704535,0.2704301,0.5056199,-0.3428806,-0.4643442,-0.6412222
22,0.3666667,0.3678362,1.715186,0.2687383,0.527645,-0.329611,-0.4617077,-0.6322763
22,0.3777778,0.3518562,1.724212,0.2656276,0.549747,-0.317859,-0.4572363,-0.6226387
22,0.3888889,0.3358569,1.732769,0.2624183,0.5702378,-0.3084534,-0.4528685,-0.6120422
22,0.4,0.320996,1.74029,0.258466,0.589025,-0.300772,-0.4491287,-0.600724
22,0.4111111,0.3062639,1.747847,0.2547932,0.6070338,-0.2922919,-0.4466574,-0.5887042
22,0.4222222,0.2907736,1.753819,0.25121,0.6241831,-0.284564,-0.4463198,-0.5746455
22,0.4333333,0.2771385,1.759154,0.2462335,0.6412192,-0.2759084,-0.4472498,-0.5591781
22,0.4444444,0.2630641,1.764304,0.2415543,0.6590198,-0.2664738,-0.4461411,-0.5437305
22,0.4555556,0.2510488,1.768365,0.2348421,0.6784085,-0.2577603,-0.4418078,-0.5273778
22,0.4666667,0.2400427,1.771737,0.2272093,0.6996581,-0.2501567,-0.4310828,-0.5119256
22,0.4777778,0.2314296,1.77457,0.2186534,0.7206056,-0.2456669,-0.4139037,-0.4990584
22,0.4888889,0.2250524,1.777797,0.2100034,0.7401577,-0.2450235,-0.3904258,-0.4895894
22,0.5,0.2190037,1.78068,0.2017336,0.7585126,-0.2445371,-0.3661388,-0.4804193
22,0.5111111,0.2171028,1.783134,0.1930664,0.7755957,-0.2491654,-0.3310238,-0.4762259
22,0.5222223,0.2166955,1.784587,0.1843727,0.7923103,-0.2532678,-0.2913953,-0.4724284
22,0.5333334,0.2170279,1.784984,0.1763914,0.8087382,-0.2549749,-0.2510421,-0.4668064
22,0.5444446,0.2181845,1.784199,0.1694682,0.8238265,-0.2565074,-0.2112502,-0.4592246
22,0.5555557,0.2196014,1.782616,0.163646,0.8367773,-0.2571568,-0.1741425,-0.450942
22,0.5666668,0.2213671,1.780189,0.1593754,0.8474383,-0.2575047,-0.1385243,-0.4431148
22,0.577778,0.2225907,1.777716,0.1556818,0.8568792,-0.2566133,-0.1031676,-0.4350451
22,0.5888891,0.2251382,1.77406,0.1545155,0.8629128,-0.255508,-0.06705955,-0.4308133
22,0.6000003,0.2281883,1.769943,0.1555123,0.8662041,-0.2543638,-0.02789111,-0.4291987
22,0.6111114,0.2309058,1.765656,0.156909,0.8680124,-0.253186,0.01067419,-0.4270098
22,0.6222225,0.2342324,1.761103,0.1627965,0.8622399,-0.2571346,0.04626544,-0.4339167
22,0.6333337,0.2355413,1.757019,0.1696036,0.8542897,-0.2656812,0.07204886,-0.4409213
22,0.6444448,0.2363484,1.752919,0.1764967,0.8465371,-0.2722535,0.09617882,-0.4472165
22,0.655556,0.2347155,1.749465,0.1863427,0.8373442,-0.2759428,0.1122862,-0.458369
22,0.6666671,0.2316613,1.745954,0.1974578,0.8293912,-0.2743435,0.1252647,-0.4702708
