Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
19,0,0.6128073,1.289311,0.1951807,-0.06399103,-0.5258589,-0.4569418,-0.71455
19,0.01111111,0.6097267,1.287785,0.1978106,-0.06666761,-0.5211232,-0.4662964,-0.7117258
19,0.02222222,0.6096752,1.285346,0.2006795,-0.07977567,-0.518115,-0.4744738,-0.7071544
19,0.03333334,0.6081307,1.2826,0.2052882,-0.08617331,-0.5101402,-0.473574,-0.7127825
19,0.04444445,0.6060915,1.280571,0.2096829,-0.08676422,-0.5029063,-0.4696833,-0.7203853
19,0.05555556,0.6033664,1.27922,0.2147658,-0.0796025,-0.495629,-0.4620389,-0.7311193
19,0.06666667,0.6007385,1.278055,0.2198832,-0.07500433,-0.4880381,-0.4580958,-0.7391492
19,0.07777778,0.5969615,1.277009,0.2263558,-0.07027863,-0.4779141,-0.4559409,-0.7475139
19,0.08888889,0.5939927,1.276046,0.2316222,-0.06821959,-0.4707122,-0.4532658,-0.7538741
19,0.1,0.5913341,1.275809,0.2370193,-0.06592513,-0.4658341,-0.4512331,-0.7583147
19,0.1111111,0.588764,1.276041,0.2421563,-0.06617118,-0.4621875,-0.4541353,-0.758792
19,0.1222222,0.5859659,1.2764,0.2473383,-0.06579817,-0.4580356,-0.4577334,-0.7591799
19,0.1333333,0.5829294,1.278391,0.2526891,-0.06259307,-0.455416,-0.4632283,-0.7576925
19,0.1444445,0.5795815,1.281293,0.2582238,-0.05558966,-0.4528572,-0.4673473,-0.7572428
19,0.1555556,0.5757923,1.285499,0.2637129,-0.04486682,-0.4500509,-0.4690024,-0.7586026
19,0.1666667,0.5718839,1.288888,0.2693162,-0.03539912,-0.4462238,-0.469439,-0.7610902
19,0.1777778,0.5675254,1.293372,0.2748852,-0.02607307,-0.4416954,-0.4696662,-0.7639628
19,0.1888889,0.5631423,1.299033,0.2803454,-0.02066549,-0.4364172,-0.4728645,-0.7651877
19,0.2,0.5591421,1.303547,0.285594,-0.01586397,-0.4323496,-0.4766454,-0.7652656
19,0.2111111,0.5550897,1.309254,0.2907171,-0.009551708,-0.4289956,-0.4802587,-0.7649989
19,0.2222222,0.5507565,1.316779,0.2957489,0.0004550474,-0.427673,-0.4829235,-0.7641208
19,0.2333333,0.5462189,1.326175,0.3003974,0.01449734,-0.4269338,-0.4838184,-0.7638307
19,0.2444444,0.5409486,1.337597,0.3048384,0.03307188,-0.4259281,-0.4848618,-0.7631518
19,0.2555556,0.5360143,1.347129,0.3091483,0.04583941,-0.4238496,-0.4886504,-0.7612299
19,0.2666667,0.531023,1.357617,0.3132021,0.05845378,-0.4216399,-0.4939693,-0.7581539
19,0.2777778,0.5256827,1.369621,0.3166015,0.07100407,-0.4196302,-0.5009716,-0.753589
19,0.2888889,0.5203407,1.38244,0.3197708,0.08299152,-0.4179406,-0.5092692,-0.7477185
19,0.3,0.5142932,1.395252,0.3227837,0.09594949,-0.4170562,-0.5174315,-0.7410281
19,0.3111111,0.5089128,1.40826,0.3252947,0.1103755,-0.416741,-0.5229138,-0.7353267
19,0.3222222,0.5031466,1.422559,0.3270106,0.1274735,-0.4179008,-0.5269473,-0.7289966
19,0.3333333,0.4971578,1.437579,0.328253,0.1458643,-0.4191605,-0.5296311,-0.7228547
19,0.3444445,0.4904633,1.452535,0.3291924,0.1650647,-0.4199091,-0.5319323,-0.7165738
