Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0,0.586108,1.281222,0.1211903,0.1065118,-0.6185961,-0.4210843,-0.6547382
4,0.01111111,0.5865748,1.280443,0.1206305,0.1062455,-0.625325,-0.4193175,-0.6495025
4,0.02222222,0.5880878,1.279861,0.1218388,0.09603942,-0.6298358,-0.4230663,-0.6442813
4,0.03333334,0.5883448,1.279082,0.1236153,0.08683401,-0.6327633,-0.4263885,-0.6405181
4,0.04444445,0.5887389,1.279195,0.1268489,0.07794374,-0.6314389,-0.4357723,-0.6366415
4,0.05555556,0.588515,1.279858,0.1298876,0.07473839,-0.6296152,-0.4411871,-0.6351007
4,0.06666667,0.5865657,1.282484,0.1349745,0.08414237,-0.6221628,-0.4422372,-0.6405153
4,0.07777778,0.5852547,1.284387,0.1390679,0.09001175,-0.6180434,-0.4427415,-0.6433508
4,0.08888889,0.5831044,1.287641,0.1445162,0.09783006,-0.6124355,-0.4435722,-0.6469898
4,0.1,0.5811436,1.290932,0.149946,0.1026248,-0.6084249,-0.4457797,-0.6485121
4,0.1111111,0.5790141,1.295235,0.1556187,0.106762,-0.6051362,-0.4482347,-0.6492286
4,0.1222222,0.5766492,1.299842,0.1613803,0.1108281,-0.6016763,-0.452321,-0.6489288
4,0.1333333,0.5742488,1.304301,0.1670721,0.1150306,-0.5977818,-0.4569721,-0.6485379
4,0.1444445,0.5709527,1.310047,0.1738443,0.1223501,-0.5922723,-0.4618029,-0.6488314
4,0.1555556,0.5675063,1.316158,0.1807039,0.1317476,-0.5859376,-0.4654201,-0.6501569
4,0.1666667,0.5643017,1.321864,0.1872883,0.1395799,-0.5801105,-0.4684041,-0.6516033
4,0.1777778,0.5606589,1.328206,0.194428,0.1475287,-0.5735238,-0.4716665,-0.6533273
4,0.1888889,0.5566952,1.334457,0.2020726,0.153893,-0.5666497,-0.4769267,-0.6540383
4,0.2,0.5528715,1.340505,0.2093902,0.15937,-0.5601485,-0.4830588,-0.6538266
4,0.2111111,0.5483806,1.346972,0.2173557,0.1646636,-0.5533239,-0.4908042,-0.6525564
4,0.2222222,0.5439303,1.353833,0.2249663,0.1706027,-0.5464778,-0.4978316,-0.6514757
4,0.2333333,0.5398133,1.359961,0.2317967,0.1776334,-0.5401613,-0.5021588,-0.6515434
4,0.2444444,0.5353968,1.366889,0.2385538,0.1870831,-0.5347081,-0.5037039,-0.6522036
4,0.2555556,0.5309308,1.373526,0.2453859,0.1962877,-0.5296195,-0.5047579,-0.6528352
4,0.2666667,0.5262232,1.380224,0.2520864,0.2047665,-0.5245994,-0.5057842,-0.6534895
4,0.2777778,0.5215044,1.386436,0.258965,0.212012,-0.5192087,-0.5079524,-0.6538024
4,0.2888889,0.5166514,1.392419,0.2657983,0.2184045,-0.5135667,-0.5104865,-0.6541806
4,0.3,0.5116434,1.398303,0.2728541,0.2251084,-0.5077416,-0.5129614,-0.6545191
4,0.3111111,0.5066636,1.404312,0.279551,0.2325604,-0.5019003,-0.5146888,-0.6550628
4,0.3222222,0.5014584,1.410063,0.2860494,0.2406789,-0.4963121,-0.5153098,-0.6558992
4,0.3333333,0.4961448,1.415649,0.2926099,0.2483273,-0.4911548,-0.5155401,-0.6567488
4,0.3444445,0.4910018,1.421088,0.2986822,0.256628,-0.4861633,-0.5150374,-0.6576654
4,0.3555556,0.4858127,1.426436,0.3046732,0.2648776,-0.4810748,-0.5141976,-0.6587927
4,0.3666667,0.4806533,1.431687,0.3106163,0.2719853,-0.475838,-0.5144897,-0.6594715
4,0.3777778,0.4753277,1.436573,0.3167558,0.2776018,-0.4707606,-0.5163914,-0.6592887
4,0.3888889,0.4701068,1.441302,0.3228002,0.2830159,-0.4654647,-0.5189413,-0.6587447
4,0.4,0.4646907,1.445968,0.3287194,0.2892813,-0.4597491,-0.5207957,-0.6585734
4,0.4111111,0.4593372,1.450524,0.3345318,0.2962109,-0.4537947,-0.5218234,-0.6588094
4,0.4222222,0.4542668,1.454805,0.3401051,0.3026261,-0.448595,-0.5223129,-0.659067
4,0.4333333,0.449101,1.459081,0.3456659,0.3091315,-0.4434663,-0.5222955,-0.6595323
4,0.4444444,0.4439604,1.463271,0.3512998,0.3155391,-0.4383285,-0.521673,-0.6604245
4,0.4555556,0.4394681,1.467009,0.3566878,0.3205582,-0.4337263,-0.5201902,-0.6622131
4,0.4666667,0.4347322,1.470527,0.3619668,0.3250741,-0.4291629,-0.5193831,-0.6636169
4,0.4777778,0.4298847,1.474046,0.367389,0.3300665,-0.4243814,-0.5194968,-0.6641382
4,0.4888889,0.4252479,1.477414,0.372515,0.3350787,-0.4197895,-0.519659,-0.6644197
4,0.5,0.4205482,1.480844,0.3776109,0.3402612,-0.4150887,-0.5196689,-0.6647315
4,0.5111111,0.4159291,1.484021,0.3826249,0.3450585,-0.4106913,-0.5197796,-0.6649034
4,0.5222223,0.4114408,1.48706,0.3877082,0.3492455,-0.4067359,-0.5198315,-0.665108
4,0.5333334,0.4073491,1.489949,0.3926075,0.3529415,-0.4030919,-0.5191576,-0.6659014
4,0.5444446,0.4032738,1.492859,0.3973753,0.3569124,-0.3993164,-0.5175269,-0.6673275
4,0.5555557,0.3993077,1.49556,0.402138,0.3602348,-0.3958181,-0.5165917,-0.6683503
4,0.5666668,0.3951464,1.498262,0.4069951,0.363591,-0.3919656,-0.5161568,-0.6691389
4,0.577778,0.3909676,1.500713,0.4117362,0.3664777,-0.3879035,-0.5164044,-0.6697398
4,0.5888891,0.3869233,1.503116,0.4164469,0.3692296,-0.3837468,-0.5169753,-0.6701824
4,0.6000003,0.3824122,1.505549,0.4209924,0.3724036,-0.3799621,-0.5169013,-0.6706396
4,0.6111114,0.3789554,1.5078,0.425436,0.3757864,-0.3765161,-0.516196,-0.6712391
4,0.6222225,0.3750334,1.510275,0.4300363,0.3794231,-0.3730285,-0.5148929,-0.6721407
4,0.6333337,0.3713737,1.51275,0.4343281,0.3831944,-0.3697262,-0.5125926,-0.6735825
4,0.6444448,0.3678427,1.514953,0.4386349,0.3863522,-0.3664326,-0.5112641,-0.6745875
4,0.655556,0.3643386,1.517138,0.4429286,0.3886159,-0.3633741,-0.5110806,-0.6750804
4,0.6666671,0.3609204,1.519297,0.4471767,0.3905393,-0.3604698,-0.5115881,-0.675143
4,0.6777782,0.3574741,1.521564,0.4514928,0.3927819,-0.3573774,-0.511413,-0.6756186
4,0.6888894,0.3541353,1.523794,0.4556911,0.3956406,-0.35422,-0.5100746,-0.6766244
4,0.7000005,0.350827,1.526191,0.4600794,0.3983726,-0.3514212,-0.5087079,-0.6775092
4,0.7111117,0.347693,1.528557,0.4642196,0.4011575,-0.348802,-0.5077196,-0.6779607
4,0.7222228,0.3446805,1.53116,0.4684055,0.404385,-0.3466173,-0.5068088,-0.6778453
