Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5695274,1.355095,0.2066007,0.09584895,-0.5647087,-0.5449174,-0.612358
1,0.01111111,0.5700376,1.352696,0.2067943,0.1039095,-0.5636132,-0.5347404,-0.6209636
1,0.02222222,0.5707192,1.350378,0.2072356,0.1103679,-0.563871,-0.5267994,-0.6263793
1,0.03333334,0.5729184,1.347652,0.2073882,0.107537,-0.5681748,-0.519137,-0.6293727
1,0.04444445,0.5728605,1.343574,0.2099125,0.1058715,-0.5645065,-0.5177259,-0.6341006
1,0.05555556,0.5736227,1.340106,0.2117136,0.1036133,-0.5642627,-0.5131204,-0.6384195
1,0.06666667,0.5737197,1.335681,0.2140589,0.1006733,-0.5634304,-0.5078002,-0.6438556
1,0.07777778,0.5734718,1.331068,0.2175715,0.09789935,-0.560152,-0.5015017,-0.6520288
1,0.08888889,0.5725796,1.325729,0.2215793,0.09608077,-0.5543466,-0.4939551,-0.6629304
1,0.1,0.5722678,1.321248,0.2249711,0.09476505,-0.5485964,-0.4873892,-0.6726911
1,0.1111111,0.5705721,1.315757,0.2298706,0.09412522,-0.5402082,-0.4809594,-0.6841006
1,0.1222222,0.5687342,1.310774,0.2345345,0.09520595,-0.5322692,-0.4752941,-0.6940612
1,0.1333333,0.5668511,1.305677,0.2390125,0.09702684,-0.5250409,-0.4701872,-0.7027388
1,0.1444445,0.5648527,1.300579,0.2432613,0.0980469,-0.5187993,-0.46527,-0.7104632
1,0.1555556,0.5626318,1.295491,0.2480514,0.09792984,-0.5127986,-0.4636493,-0.7158748
1,0.1666667,0.5602312,1.290203,0.2528274,0.09632168,-0.50734,-0.4638211,-0.7198599
1,0.1777778,0.5576758,1.285194,0.257663,0.09454859,-0.5017783,-0.4635594,-0.724149
1,0.1888889,0.5544631,1.280226,0.2630126,0.09244353,-0.4961335,-0.4646695,-0.7275906
1,0.2,0.5507097,1.274543,0.2686579,0.09241123,-0.489363,-0.463267,-0.7330537
1,0.2111111,0.5466559,1.270283,0.274575,0.09510486,-0.4817619,-0.4589533,-0.7404205
1,0.2222222,0.542212,1.266203,0.2805862,0.1003413,-0.4724401,-0.4516243,-0.7501783
1,0.2333333,0.5375304,1.263149,0.2865496,0.1062091,-0.4636734,-0.4424464,-0.760242
1,0.2444444,0.5333133,1.259644,0.2925186,0.1094818,-0.45633,-0.4348746,-0.7685446
1,0.2555556,0.5289104,1.258117,0.2983732,0.113308,-0.4518641,-0.4250693,-0.7760775
1,0.2666667,0.5245743,1.256106,0.3043847,0.1171149,-0.4467554,-0.4179296,-0.7823226
1,0.2777778,0.5202329,1.25585,0.3106532,0.1218598,-0.44243,-0.4129636,-0.7866811
1,0.2888889,0.5154779,1.256346,0.3169065,0.1279992,-0.4372934,-0.4110041,-0.7895989
1,0.3,0.5105712,1.256591,0.3232949,0.1344593,-0.430843,-0.4091812,-0.7930106
1,0.3111111,0.5053778,1.25908,0.3295448,0.1436472,-0.4233586,-0.4099303,-0.795041
1,0.3222222,0.5000329,1.261874,0.3357408,0.1524506,-0.4163018,-0.4102706,-0.7969502
1,0.3333333,0.4949977,1.265701,0.3414369,0.1617044,-0.4103808,-0.4094678,-0.7986085
1,0.3444445,0.4900286,1.268988,0.3472815,0.1706463,-0.4051268,-0.4073125,-0.8005303
1,0.3555556,0.4853954,1.275225,0.3525732,0.180489,-0.4027845,-0.4055661,-0.8004403
1,0.3666667,0.480757,1.27986,0.3580267,0.188912,-0.3995386,-0.4040532,-0.8008884
1,0.3777778,0.4763486,1.286216,0.3633103,0.1979585,-0.3975045,-0.4032755,-0.8001072
1,0.3888889,0.4713662,1.293018,0.368602,0.2080846,-0.3946472,-0.4031146,-0.7990326
1,0.4,0.4662652,1.299719,0.37374,0.2183734,-0.3912726,-0.4026997,-0.7981553
1,0.4111111,0.4608657,1.30777,0.3786263,0.229881,-0.3875768,-0.4028912,-0.796629
1,0.4222222,0.4548023,1.316098,0.3836589,0.242575,-0.3827235,-0.4030986,-0.7951049
1,0.4333333,0.4483962,1.324793,0.3884709,0.2561405,-0.3770542,-0.4038132,-0.7931943
1,0.4444444,0.4420426,1.333207,0.3932955,0.2693152,-0.3711946,-0.4042571,-0.791366
1,0.4555556,0.4347315,1.343097,0.397738,0.2844176,-0.3642345,-0.4056604,-0.7885935
1,0.4666667,0.4278705,1.352062,0.4020784,0.2976225,-0.3582043,-0.4067748,-0.7859038
1,0.4777778,0.42044,1.361516,0.406455,0.311166,-0.351848,-0.4092674,-0.7822269
1,0.4888889,0.4133081,1.370894,0.4102998,0.3239624,-0.3459415,-0.4110112,-0.7787443
1,0.5,0.4056711,1.380479,0.4142368,0.3367099,-0.3400135,-0.4130144,-0.7748783
1,0.5111111,0.3976309,1.390293,0.4180839,0.3485188,-0.3348299,-0.4172032,-0.7696526
1,0.5222223,0.3896456,1.39967,0.4217756,0.3606547,-0.3291667,-0.4203101,-0.7647985
1,0.5333334,0.381382,1.409236,0.4252193,0.3732814,-0.3234329,-0.4230928,-0.7596346
1,0.5444446,0.3730857,1.418659,0.428467,0.3859804,-0.3174616,-0.4255174,-0.7544351
1,0.5555557,0.3643212,1.428071,0.4314597,0.3990828,-0.3115045,-0.4284148,-0.7484375
1,0.5666668,0.3554225,1.437665,0.4340751,0.4129086,-0.3046268,-0.4298468,-0.7429272
1,0.577778,0.3464046,1.446769,0.4366944,0.4259704,-0.2982852,-0.4326499,-0.7364708
1,0.5888891,0.3376343,1.455609,0.4394228,0.4379589,-0.2926412,-0.4361957,-0.7295797
1,0.6000003,0.3284481,1.464206,0.4415169,0.448703,-0.2873026,-0.4403,-0.7226747
