Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
8,0,0.5439036,1.407146,0.114826,0.3486471,-0.6608312,-0.3628898,-0.5568289
8,0.01111111,0.5409291,1.41062,0.108366,0.3600753,-0.663672,-0.3648686,-0.5447533
8,0.02222222,0.5392222,1.414264,0.1038625,0.3652096,-0.6656448,-0.3702911,-0.5351855
8,0.03333334,0.5375891,1.417465,0.0994556,0.3703086,-0.6666678,-0.3743262,-0.5275468
8,0.04444445,0.5360537,1.420521,0.09612823,0.3736734,-0.6664032,-0.3790896,-0.5220786
8,0.05555556,0.5342853,1.423642,0.09475374,0.3745609,-0.6639493,-0.3845541,-0.5205705
8,0.06666667,0.5324299,1.425632,0.09484124,0.3771358,-0.6602579,-0.3857054,-0.5225508
8,0.07777778,0.5308573,1.427919,0.09333634,0.3822034,-0.6582798,-0.3859761,-0.521163
8,0.08888889,0.5295358,1.429557,0.0926311,0.3873664,-0.6559702,-0.3839118,-0.5217875
8,0.1,0.5280819,1.430955,0.09287691,0.3924038,-0.6544315,-0.381078,-0.5220329
8,0.1111111,0.5263698,1.432363,0.09286332,0.3977415,-0.6530186,-0.3787012,-0.5214919
8,0.1222222,0.5249555,1.433504,0.09400749,0.4025862,-0.6505815,-0.3766741,-0.5222878
8,0.1333333,0.5231409,1.434277,0.09589148,0.406409,-0.6472443,-0.3772216,-0.5230778
8,0.1444445,0.5215378,1.435318,0.09846568,0.408504,-0.6432214,-0.3806341,-0.5239355
8,0.1555556,0.5194955,1.436015,0.1016891,0.4091629,-0.6384591,-0.3858357,-0.5254394
8,0.1666667,0.5179152,1.436251,0.105334,0.4102688,-0.6324517,-0.3908068,-0.5281615
8,0.1777778,0.5164173,1.436685,0.1087618,0.4117953,-0.6268497,-0.394891,-0.5306084
8,0.1888889,0.5150938,1.436727,0.113162,0.4120822,-0.620662,-0.3990133,-0.5345609
8,0.2,0.5139973,1.43675,0.1172993,0.412073,-0.6153198,-0.4020773,-0.538434
8,0.2111111,0.5133631,1.435508,0.1229093,0.4099649,-0.6104268,-0.4027887,-0.5450406
8,0.2222222,0.5127311,1.434745,0.1271746,0.4095083,-0.6059388,-0.4030258,-0.5501922
