Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
7,0,0.5630429,1.353948,0.1959393,0.1658371,-0.5583171,-0.5273271,-0.6186326
7,0.01111111,0.5646348,1.352919,0.195457,0.1614063,-0.5609552,-0.5315425,-0.6137915
7,0.02222222,0.5664775,1.35144,0.1957362,0.1574476,-0.5615711,-0.529793,-0.6157658
7,0.03333334,0.5684764,1.349771,0.1960466,0.1547258,-0.561927,-0.5272234,-0.6183311
7,0.04444445,0.5684764,1.349771,0.1960466,0.1547258,-0.561927,-0.5272234,-0.6183311
7,0.05555556,0.5719001,1.343956,0.1982183,0.1468587,-0.5615943,-0.518071,-0.6282093
7,0.06666667,0.5728579,1.34069,0.1998932,0.143444,-0.5607811,-0.5127639,-0.6340518
7,0.07777778,0.5740719,1.337551,0.2011294,0.1413342,-0.5603446,-0.5081364,-0.6386204
7,0.08888889,0.5742183,1.334275,0.2032976,0.1409089,-0.5596409,-0.5022179,-0.6439906
7,0.1,0.5742183,1.334275,0.2032976,0.1409089,-0.5596409,-0.5022179,-0.6439906
7,0.1111111,0.5741427,1.330922,0.2056053,0.1429088,-0.5591063,-0.4955637,-0.6491485
7,0.1222222,0.5738349,1.327798,0.2078109,0.1435928,-0.5584827,-0.4903431,-0.6534845
7,0.1333333,0.5710042,1.320191,0.2154484,0.1411322,-0.5518444,-0.490103,-0.6598095
7,0.1444445,0.5686986,1.316105,0.2200222,0.1407918,-0.54649,-0.4897932,-0.6645517
7,0.1555556,0.5662317,1.311984,0.2248902,0.1424848,-0.5411867,-0.4863533,-0.6710258
7,0.1666667,0.5634241,1.30767,0.2297843,0.145622,-0.5362645,-0.4797595,-0.6790033
7,0.1777778,0.5609393,1.303563,0.2345061,0.1484061,-0.532216,-0.4721381,-0.6868824
7,0.1888889,0.5577366,1.298694,0.2399309,0.1518223,-0.5277846,-0.4614466,-0.6967499
7,0.2,0.5577366,1.298694,0.2399309,0.1518223,-0.5277846,-0.4614466,-0.6967499
7,0.2111111,0.5502856,1.287848,0.2524452,0.1487628,-0.5166219,-0.4532832,-0.7109894
7,0.2222222,0.5502856,1.287848,0.2524452,0.1487628,-0.5166219,-0.4532832,-0.7109894
7,0.2333333,0.5388498,1.27479,0.2688229,0.1446643,-0.4981471,-0.4514652,-0.7260172
7,0.2444444,0.5388498,1.27479,0.2688229,0.1446643,-0.4981471,-0.4514652,-0.7260172
7,0.2555556,0.5264552,1.261755,0.2856739,0.144622,-0.4765132,-0.4446338,-0.744527
7,0.2666667,0.5190873,1.254466,0.2947509,0.1460116,-0.4640931,-0.4382649,-0.7557923
7,0.2777778,0.511775,1.247229,0.3034105,0.14758,-0.4525233,-0.4308291,-0.7667002
7,0.2888889,0.5033262,1.239403,0.3124409,0.1497013,-0.4403168,-0.4205106,-0.779026
7,0.3,0.4947505,1.230986,0.321877,0.1488779,-0.4278912,-0.4131501,-0.7899693
7,0.3111111,0.4857717,1.222454,0.3311882,0.1450007,-0.4151663,-0.411044,-0.7985328
7,0.3222222,0.4857717,1.222454,0.3311882,0.1450007,-0.4151663,-0.411044,-0.7985328
7,0.3333333,0.4661784,1.204784,0.3501189,0.1380368,-0.3876588,-0.4113945,-0.813278
7,0.3444445,0.45539,1.195862,0.3595548,0.136554,-0.3728354,-0.4086025,-0.8218216
7,0.3555556,0.4440432,1.18669,0.3686359,0.1365852,-0.3583119,-0.4016449,-0.8316481
7,0.3666667,0.4327984,1.177938,0.3771889,0.1368479,-0.344604,-0.3910083,-0.8423973
7,0.3777778,0.4220002,1.169086,0.3855677,0.1358609,-0.3312601,-0.3804544,-0.85268
7,0.3888889,0.4106395,1.159918,0.3936112,0.1340598,-0.3189128,-0.3654027,-0.8641779
7,0.4,0.3993201,1.150608,0.4019172,0.1319103,-0.3066424,-0.3523675,-0.8743039
7,0.4111111,0.3876712,1.141201,0.4093633,0.1283788,-0.2954102,-0.3382448,-0.8842185
7,0.4222222,0.3754592,1.131459,0.4170361,0.1229676,-0.2837965,-0.3301938,-0.8918019
7,0.4333333,0.363102,1.122,0.4243205,0.1180055,-0.2711103,-0.3233711,-0.898891
7,0.4444444,0.3498523,1.112558,0.4313715,0.1128182,-0.2564898,-0.3190982,-0.9053516
7,0.4555556,0.336036,1.103209,0.438318,0.1081082,-0.2400155,-0.3139063,-0.9122325
7,0.4666667,0.3217793,1.094281,0.4446182,0.1044657,-0.2221646,-0.3065809,-0.9196402
7,0.4777778,0.3078616,1.085608,0.4510672,0.1017568,-0.2054203,-0.2969593,-0.9269646
7,0.4888889,0.2932665,1.077989,0.456073,0.100193,-0.1876014,-0.2839591,-0.9349515
7,0.5,0.2791953,1.069787,0.4615459,0.09681911,-0.1718089,-0.2721789,-0.9418209
7,0.5111111,0.2653232,1.062451,0.4659038,0.09305604,-0.1578293,-0.2596151,-0.9481723
7,0.5222223,0.2515001,1.054984,0.4700708,0.08791954,-0.144041,-0.2490623,-0.9536721
7,0.5333334,0.2376244,1.047855,0.4739363,0.08246288,-0.1295409,-0.2402417,-0.95849
7,0.5444446,0.2234128,1.04085,0.477644,0.07776042,-0.1141428,-0.2317261,-0.9629267
7,0.5555557,0.2090375,1.034383,0.4806817,0.07338604,-0.09770533,-0.2248539,-0.9667
7,0.5666668,0.1948481,1.028116,0.4834592,0.06943184,-0.08081035,-0.2182832,-0.9700523
7,0.577778,0.1805942,1.022395,0.4855371,0.06625717,-0.06148195,-0.2115491,-0.9731788
7,0.5888891,0.1670389,1.017406,0.4869895,0.06384619,-0.04250971,-0.2038094,-0.9760011
7,0.6000003,0.153827,1.012792,0.4883239,0.06201451,-0.02493442,-0.193936,-0.9787346
