Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,
1,0.01111111,0.4197559,1.266312,2.7834841,-0.4628905,0.6963915,-0.3065758,0.4547333,,,,,3
1,0.02222222,0.4227589,1.264211,2.7920974,-0.4581785,0.6941362,-0.3110886,0.4598601,,,,,
1,0.03333334,0.4256318,1.261732,2.8004458,-0.4555381,0.691224,-0.3156142,0.4637694,,,,,
1,0.04444445,0.4286568,1.259229,2.8088136,-0.454984,0.6857189,-0.3216965,0.4682847,,,,,
1,0.05555556,0.4314837,1.256636,2.8167864,-0.451852,0.6812149,-0.328129,0.4733998,,,,,
1,0.06666667,0.4341403,1.254145,2.8245925,-0.4464341,0.6777909,-0.335243,0.4784435,,,,,
1,0.07777778,0.4367067,1.25137,2.8328731,-0.4415929,0.6731558,-0.3427915,0.4840979,,,,,
1,0.08888889,0.4394033,1.248578,2.8411272,-0.4360075,0.6698438,-0.3495305,0.4889122,,,,,
1,0.1,0.4416057,1.245618,2.8502881,-0.4287118,0.6685315,-0.3553101,0.4929773,,,,,
1,0.1111111,0.4440486,1.242604,2.858971,-0.4216776,0.6665004,-0.3612264,0.4974743,,,,,
1,0.1222222,0.4460831,1.23924,2.8682543,-0.4135592,0.66565,-0.3672267,0.5010223,,,,,
1,0.1333333,0.4483193,1.23589,2.8772823,-0.406657,0.6636363,-0.3736069,0.5046134,,,,,
1,0.1444445,0.4498767,1.23232,2.8867331,-0.4002035,0.6608197,-0.3813793,0.5076458,,,,,
1,0.1555556,0.4516763,1.228681,2.8960866,-0.3933413,0.6579517,-0.3892289,0.510767,,,,,
1,0.1666667,0.4527648,1.225491,2.9059556,-0.3850645,0.6563727,-0.3970378,0.5130899,,,,,
1,0.1777778,0.4536527,1.222507,2.91597068,-0.3744451,0.6561742,-0.4037097,0.515989,,,,,
1,0.1888889,0.4548934,1.220432,2.92553902,-0.3619486,0.6551625,-0.4105572,0.520767,,,,,
1,0.2,0.4557361,1.218563,2.93505776,-0.3505394,0.6515782,-0.4183845,0.526804,,,,,
1,0.2111111,0.4564308,1.216593,2.94473464,-0.3404632,0.6461385,-0.426307,0.5337155,,,,,
1,0.2222222,0.457136,1.215783,2.95431827,-0.3295506,0.640793,-0.4340454,0.5407266,,,,,
1,0.2333333,0.4579021,1.214637,2.96385585,-0.3178303,0.6360828,-0.4414264,0.5472889,,,,,
1,0.2444444,0.4584791,1.215525,2.97332667,-0.3032789,0.6316107,-0.4475565,0.5556825,,,,,
1,0.2555556,0.4593076,1.216724,2.98250043,-0.28957,0.6263244,-0.4526626,0.5647687,,,,,
1,0.2666667,0.4597928,1.218372,2.991740592,-0.2790354,0.6197958,-0.4564366,0.5741585,,,,,
1,0.2777778,0.4589025,1.219392,3.001819342,-0.270756,0.6123068,-0.4585356,0.5843945,,,,,
1,0.2888889,0.4591531,1.221545,3.01115413,-0.2636404,0.6049994,-0.4604059,0.5937136,,,,,
1,0.3,0.4582971,1.224725,3.02094111,-0.259015,0.5977091,-0.4579336,0.6049397,,,,,
1,0.3111111,0.4578997,1.229084,3.02996626,-0.2555056,0.5901023,-0.4536014,0.6170428,,,,,
1,0.3222222,0.4572872,1.23273,3.03920151,-0.2516825,0.5819017,-0.450487,0.6285762,,,,,
1,0.3333333,0.4567963,1.238087,3.04778536,-0.2508659,0.5722423,-0.4453177,0.6413246,,,,,
1,0.3444445,0.4557193,1.243419,3.05669385,-0.2505103,0.5630224,-0.4390503,0.6538237,,,,,
1,0.3555556,0.4546702,1.249633,3.06535137,-0.2509393,0.5541409,-0.4318194,0.6659499,,,,,
1,0.3666667,0.4534199,1.256199,3.07409141,-0.2516785,0.5453987,-0.4250014,0.6771796,,,,,
1,0.3777778,0.4523025,1.26259,3.08284709,-0.2519839,0.536266,-0.4189041,0.6880713,,,,,
1,0.3888889,0.4503671,1.269712,3.09132309,-0.2546289,0.5268784,-0.4122948,0.6982665,,,,,
1,0.4,0.4483969,1.277054,3.09946747,-0.2573189,0.5170757,-0.4058775,0.7082959,,,,,
1,0.4111111,0.4463847,1.284361,3.1072656,-0.2599707,0.507298,-0.3988243,0.7183336,,,,,
1,0.4222222,0.4443857,1.291894,3.1151858,-0.2613126,0.4977892,-0.3909543,0.7287497,,,,,
1,0.4333333,0.4421198,1.299375,3.1223214,0.2629268,-0.4886719,0.3811166,-0.7394724,,,,,
1,0.4444444,0.4395494,1.306614,3.1300463,0.2639917,-0.4794502,0.3714343,-0.7499817,,,,,
1,0.4555556,0.4366444,1.313717,3.1373877,0.2650231,-0.4702489,0.3608566,-0.7605336,,,,,
1,0.4666667,0.4333707,1.320646,3.1446446,0.2662115,-0.4609507,0.3511933,-0.7702721,,,,,
1,0.4777778,0.429886,1.326909,3.1515343,0.2677935,-0.4512132,0.3429213,-0.7791651,,,,,
1,0.4888889,0.4263106,1.332928,3.1584379,0.2703946,-0.4417675,0.3356952,-0.786789,,,,,
1,0.5,0.4223929,1.338336,3.1651326,0.2732518,-0.4325485,0.3289735,-0.7937329,,,,,
1,0.5111111,0.4186436,1.343517,3.172179,0.2755645,-0.4237427,0.321754,-0.8006126,,,,,
1,0.5222223,0.4142151,1.348032,3.1786831,0.2774353,-0.4158635,0.3142362,-0.8070582,,,,,
1,0.5333334,0.4097384,1.35198,3.1853234,0.2786617,-0.4079839,0.3052677,-0.814069,,,,,
1,0.5444446,0.405469,1.35559,3.1920435,0.2794121,-0.4001032,0.295878,-0.8211592,,,,,
1,0.5555557,0.4008089,1.357872,3.1986037,0.2786956,-0.392814,0.2846331,-0.8288606,,,,,
1,0.5666668,0.3960221,1.359809,3.2047573,0.2769113,-0.3859934,0.2725261,-0.8366952,,,,,
1,0.577778,0.3911644,1.360932,3.2111913,0.2744311,-0.3794656,0.2601765,-0.8443942,,,,,
1,0.5888891,0.3863235,1.360919,3.2178647,0.2717193,-0.3727151,0.2498789,-0.8513592,,,,,
1,0.6000003,0.381299,1.360358,3.2243684,0.2691708,-0.3658158,0.2415223,-0.8575505,,,,,
1,0.6111114,0.376299,1.358584,3.2310684,0.2664457,-0.3590709,0.2354732,-0.8629178,,,,,
1,0.6222225,0.3713707,1.35694,3.2377676,0.2638846,-0.3520201,0.2299489,-0.8680843,,,,,
1,0.6333337,0.3660641,1.353579,3.2442381,0.2610326,-0.3452758,0.2266346,-0.8725155,,,,,
1,0.6444448,0.3607981,1.349143,3.2509258,0.2567673,-0.3388082,0.2256474,-0.8765631,,,,,
1,0.655556,0.3556837,1.345139,3.2573706,0.2519831,-0.3323291,0.2233313,-0.8810137,,,,,
1,0.6666671,0.3500621,1.337927,3.2637323,0.2432097,-0.3271369,0.2234477,-0.8853822,,,,,
1,0.6777782,0.3447698,1.332296,3.27009,0.235425,-0.3216543,0.2211582,-0.8900577,,,,,
1,0.6888894,0.3390833,1.324565,3.2764137,0.2242309,-0.3170431,0.2196819,-0.8949547,,,,,
1,0.7000005,0.3335186,1.315955,3.2824081,0.2119073,-0.3126909,0.218659,-0.8997266,,,,,
1,0.7111117,0.3278556,1.30762,3.2885736,0.1999321,-0.3082091,0.2172724,-0.9043378,,,,,
1,0.7222228,0.3221481,1.297226,3.2945041,0.18527,-0.304331,0.2169473,-0.9088408,,,,,
1,0.7333339,0.3164457,1.285978,3.2999982,0.1697129,-0.3007242,0.2176196,-0.9129097,,,,,
1,0.7444451,0.310571,1.274063,3.3053716,0.1532558,-0.2973303,0.2195415,-0.9164655,,,,,
1,0.7555562,0.3046612,1.262258,3.3106227,0.1373613,-0.2938684,0.2215024,-0.919625,,,,,
1,0.7666674,0.2985525,1.248468,3.3152714,0.1202299,-0.2909068,0.2255279,-0.9219843,,,,,
1,0.7777785,0.2923419,1.234052,3.3194355,0.1017784,-0.288375,0.2298046,-0.9239431,,,,,
1,0.7888896,0.285643,1.219261,3.3231177,0.08193688,-0.2864811,0.2322974,-0.9258795,,,,,
1,0.8000008,0.2791587,1.203971,3.3265522,-0.06075472,0.2850705,-0.2324249,0.9279129,,,,,
1,0.8111119,0.2727364,1.188665,3.3291818,-0.03793424,0.2837187,-0.2310456,0.9298832,,,,,
1,0.8222231,0.2664345,1.17335,3.3323186,-0.01631603,0.2811387,-0.2303339,0.9314725,,,,,
1,0.8333342,0.2601336,1.157216,3.3340341,0.006680649,0.2782296,-0.2308698,0.9323319,,,,,
1,0.8444453,0.2537542,1.140299,3.3349761,0.02854124,0.2755197,-0.2329876,0.932197,,,,,
1,0.8555565,0.2473925,1.12416,3.336547,0.04984002,0.2733351,-0.235402,0.9313376,,,,,
1,0.8666676,0.2407297,1.106998,3.3353984,0.07232474,0.2737651,-0.2385232,0.9289395,,,,,
1,0.8777788,0.2342887,1.09034,3.3357368,0.09399815,0.2737378,-0.2405567,0.9264796,,,,,
1,0.8888899,0.2274948,1.074155,3.3343756,0.1157169,0.2747922,-0.2433142,0.9229828,,,,,
1,0.900001,0.2209421,1.057586,3.3337695,0.1368563,0.27494,-0.2450133,0.9195906,,,,,
1,0.9111122,0.2138376,1.04223,3.3304603,0.1578896,0.2769502,-0.2450178,0.9156068,,,,,
1,0.9222233,0.2068581,1.026736,3.3284156,0.1790423,0.2777198,-0.2445982,0.9115851,,,,,
1,0.9333345,0.2001366,1.011909,3.3258372,0.2005664,0.2778763,-0.2441951,0.907153,,,,,
1,0.9444456,0.1939852,0.9981535,3.3216076,0.2216539,0.276077,-0.2450769,0.9025455,,,,,
1,0.9555568,0.187943,0.9836562,3.3183417,0.2418664,0.2740981,-0.2461974,0.89764,,,,,
1,0.9666679,0.1823919,0.9711463,3.3134053,0.2612696,0.271483,-0.2463083,0.8929543,,,,,
1,0.977779,0.1763408,0.9589103,3.3088983,0.2799386,0.2697262,-0.2455939,0.8880123,,,,,
1,0.9888902,0.170483,0.9466984,3.3040269,0.298568,0.268249,-0.2446444,0.8826374,,,,,
1,1.000001,0.1642406,0.9359649,3.2995577,0.3151554,0.2674472,-0.2433539,0.8774554,,,,,
1,1.011112,0.1584884,0.9260601,3.2939782,0.3311393,0.266035,-0.2412547,0.8725643,,,,,
1,1.022224,0.1526617,0.9170716,3.28926,0.3461441,0.2632704,-0.2383511,0.8683673,,,,,
1,1.033335,0.1473027,0.9075764,3.2842209,0.3618091,0.2596005,-0.2351447,0.8639496,,,,,
1,1.044446,0.1425134,0.9013745,3.2784578,0.374842,0.2528785,-0.2277066,0.8623778,,,,,
1,1.055557,0.1372481,0.8934473,3.273856,0.3887966,0.2472498,-0.2207375,0.8596392,,,,,
1,1.066668,0.132318,0.8873476,3.2687548,0.4012959,0.2394322,-0.2118782,0.8583364,,,,,
1,1.077779,0.1276087,0.8819955,3.2640285,0.4135975,0.2307568,-0.2026689,0.8570961,,,,,
1,1.08889,0.1232157,0.8757441,3.2594333,0.4262414,0.2227332,-0.1948484,0.8548347,,,,,
1,1.100002,0.1189123,0.8716128,3.2550645,0.4371936,0.2129598,-0.1873446,0.8534704,,,,,
1,1.111113,0.1149335,0.867915,3.2509611,0.4474536,0.20222,-0.1809202,0.8521504,,,,,
1,1.122224,0.1109166,0.8647243,3.2471816,0.4559018,0.1920155,-0.1732604,0.8516245,,,,,
