Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.4557991,1.247575,-0.2216594,0.5637071,-0.6234259,0.45507,-0.2940846,,,,
1,0.02222222,0.4566207,1.246041,-0.2146414,0.5629823,-0.6122331,0.4717117,-0.2927622,,,,
1,0.03333334,0.4576079,1.24463,-0.2096943,0.5608146,-0.6071323,0.4819179,-0.2909164,,,,
1,0.04444445,0.4586148,1.243192,-0.2047212,0.5585585,-0.6019221,0.4921069,-0.2890208,,,,
1,0.05555556,0.459633,1.241741,-0.1997643,0.5562332,-0.5966474,0.5021898,-0.2870921,,,,
1,0.06666667,0.4648484,1.247521,-0.1856788,-0.4773442,0.6397437,-0.4897047,0.3507988,,,,
1,0.07777778,0.4663849,1.247645,-0.1767607,-0.4654606,0.636505,-0.4975941,0.3613972,,,,
1,0.08888889,0.4688718,1.249408,-0.1680967,-0.4614829,0.6285093,-0.506619,0.3678951,,,,
1,0.1,0.4741091,1.250887,-0.1546239,-0.4549356,0.6199495,-0.5167742,0.3763518,,,,
1,0.1111111,0.4723188,1.246799,-0.1489604,-0.4387533,0.6208065,-0.5204342,0.3888999,,,,
1,0.1222222,0.4738311,1.247344,-0.1379728,-0.4235263,0.6205809,-0.5244221,0.4006073,,,,
1,0.1333333,0.4756296,1.248083,-0.1270558,-0.4038669,0.623374,-0.522779,0.4183281,,,,
1,0.1444445,0.4776645,1.249384,-0.1165833,-0.3862631,0.6238827,-0.5206649,0.4364394,,,,
1,0.1555556,0.4794007,1.250841,-0.1062172,-0.3695639,0.6241788,-0.5150234,0.4566996,,,,
1,0.1666667,0.4809933,1.25223,-0.09546585,-0.3535571,0.6236379,-0.5096546,0.4757368,,,,
1,0.1777778,0.4822212,1.253906,-0.08456603,-0.3395554,0.6237631,-0.4984781,0.4971331,,,,
1,0.1888889,0.4830705,1.255798,-0.07343939,-0.3246561,0.6237581,-0.4846792,0.5202023,,,,
1,0.2,0.4840072,1.258033,-0.06272455,-0.3102498,0.6219898,-0.471182,0.5430114,,,,
1,0.2111111,0.4849826,1.260306,-0.05210733,-0.2959612,0.6200672,-0.4573785,0.5645605,,,,
1,0.2222222,0.4856979,1.262942,-0.04146717,-0.2820653,0.6171836,-0.4458602,0.5837228,,,,
1,0.2333333,0.4856049,1.265738,-0.03055519,-0.2705171,0.613442,-0.4356544,0.6005952,,,,
1,0.2444444,0.4857528,1.268633,-0.0201123,-0.2591562,0.6094692,-0.4265805,0.6159663,,,,
1,0.2555556,0.4853423,1.271911,-0.009419188,-0.2504306,0.6052308,-0.4192927,0.6286285,,,,
1,0.2666667,0.4848403,1.275273,0.000590183,-0.242091,0.6008874,-0.4119277,0.6408134,,,,
1,0.2777778,0.4844527,1.278991,0.01028393,-0.2321487,0.5961628,-0.4027451,0.6545941,,,,
1,0.2888889,0.4834694,1.282619,0.02026585,-0.2222295,0.58978,-0.3932984,0.6693952,,,,
1,0.3,0.482739,1.286079,0.02950302,-0.2123187,0.5825577,-0.3836127,0.6843892,,,,
1,0.3111111,0.4819841,1.290007,0.03898495,-0.2026082,0.5752249,-0.3740579,0.6986752,,,,
1,0.3222222,0.4812566,1.293939,0.04773188,-0.1938742,0.5670813,-0.36444,0.7127517,,,,
1,0.3333333,0.4803846,1.298565,0.05632898,-0.1834951,0.5600343,-0.352141,0.7271092,,,,
1,0.3444445,0.4794763,1.303217,0.06464011,-0.1727214,0.5537969,-0.3366225,0.7417287,,,,
1,0.3555556,0.4784883,1.307725,0.07310233,-0.1632926,0.5470661,-0.3225118,0.7550102,,,,
1,0.3666667,0.4769314,1.312335,0.08164582,-0.155911,0.5416461,-0.3064867,0.7670574,,,,
1,0.3777778,0.4752164,1.317393,0.09015062,-0.1479352,0.5351504,-0.2915144,0.7789407,,,,
1,0.3888889,0.4734511,1.32249,0.0979236,-0.1436046,0.5290313,-0.2743624,0.7900816,,,,
1,0.4,0.4734511,1.32249,0.0979236,-0.1436046,0.5290313,-0.2743624,0.7900816,,,,
1,0.4111111,0.4704469,1.332988,0.1135754,-0.1294689,0.5118628,-0.2390638,0.8149128,,,,
1,0.4222222,0.4690917,1.338833,0.1207233,-0.121208,0.5016689,-0.2176508,0.8284112,,,,
1,0.4333333,0.4678259,1.344729,0.1276562,0.1132196,-0.4899261,0.1933812,-0.842471,,,,
1,0.4444444,0.4656748,1.350288,0.1347486,0.1080636,-0.4792354,0.1655503,-0.8551309,,,,
1,0.4555556,0.4630691,1.355773,0.1421504,0.1034906,-0.4699708,0.1361947,-0.8659493,,,,
1,0.4666667,0.4606225,1.361533,0.1492111,0.09922899,-0.4601382,0.1057751,-0.8759213,,,,
1,0.4777778,0.4578938,1.367223,0.1560791,0.09567788,-0.4480732,0.07678702,-0.8855393,,,,
1,0.4888889,0.455074,1.373757,0.1625459,0.09061557,-0.4348292,0.05186013,-0.89444,,,,
1,0.5,0.452234,1.380353,0.1689765,0.08539718,-0.4208125,0.03229986,-0.9025412,,,,
1,0.5111111,0.4490669,1.387165,0.1750338,0.08033422,-0.4070042,0.01266853,-0.9097986,,,,
1,0.5222223,0.4454935,1.394127,0.1810265,0.07615218,-0.3935623,-0.009737587,-0.9160866,,,,
1,0.5333334,0.4412701,1.400677,0.1870519,0.07399874,-0.3816549,-0.03523835,-0.9206639,,,,
1,0.5444446,0.436849,1.407225,0.1930416,0.07287318,-0.3700945,-0.06384036,-0.9239286,,,,
1,0.5555557,0.4326858,1.413916,0.198951,0.07136229,-0.3577953,-0.08918805,-0.9267877,,,,
1,0.5666668,0.4272695,1.420676,0.2047777,0.07197674,-0.3463586,-0.1119314,-0.9286153,,,,
1,0.577778,0.4222982,1.42727,0.210129,0.07496888,-0.3348449,-0.1327696,-0.9298553,,,,
