Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.5643165,1.318963,0.1991168,-0.6881139,0.3300924,-0.3357315,0.5521075,,,,
1,0.02222222,0.5639542,1.317401,0.2043618,-0.6951606,0.3312702,-0.3576681,0.5282853,,,,
1,0.03333334,0.5620534,1.317757,0.2099737,-0.6973631,0.3340548,-0.3984919,0.4932506,,,,
1,0.04444445,0.5604559,1.31776,0.2154505,-0.6965635,0.3383175,-0.4311665,0.4630723,,,,
1,0.05555556,0.559803,1.318281,0.2204597,-0.6948487,0.3435856,-0.4579715,0.435197,,,,
1,0.06666667,0.5586503,1.319403,0.2256643,-0.6888055,0.3502815,-0.4857684,0.4085082,,,,
1,0.07777778,0.5574362,1.320418,0.2314904,-0.6802043,0.3555722,-0.5131581,0.3841344,,,,
1,0.08888889,0.5567824,1.321498,0.2368926,-0.6707587,0.3577416,-0.5397511,0.3616246,,,,
1,0.1,0.5555732,1.322089,0.2430174,-0.6620678,0.3568487,-0.5652691,0.3388156,,,,
1,0.1111111,0.5545938,1.32278,0.249583,-0.6542709,0.3500863,-0.5907651,0.3168056,,,,
1,0.1222222,0.5525158,1.323362,0.258018,0.6475241,-0.3364003,0.6178338,-0.2929654,,,,
1,0.1333333,0.5508907,1.324435,0.2654462,0.637859,-0.3294385,0.6428458,-0.2671245,,,,
1,0.1444445,0.5487516,1.325922,0.2728904,0.625662,-0.3244948,0.6669671,-0.2416713,,,,
1,0.1555556,0.5467086,1.328154,0.2801867,0.6092426,-0.3220625,0.691222,-0.2175116,,,,
1,0.1666667,0.5439994,1.331271,0.2875048,0.5894103,-0.3239097,0.7139232,-0.1949147,,,,
1,0.1777778,0.5404723,1.334743,0.295729,0.5691797,-0.326081,0.7345539,-0.1735978,,,,
1,0.1888889,0.5376132,1.338094,0.3034119,0.5494461,-0.3220715,0.7558566,-0.1518545,,,,
1,0.2,0.5341106,1.34108,0.3114015,0.5294016,-0.3161852,0.7764989,-0.129655,,,,
1,0.2111111,0.5299831,1.344873,0.3197966,0.5086686,-0.307393,0.7968603,-0.1085326,,,,
1,0.2222222,0.5254467,1.34855,0.3283833,0.487719,-0.2990834,0.8151686,-0.09044,,,,
1,0.2333333,0.5221592,1.351467,0.3368098,0.4666418,-0.2898374,0.8321842,-0.07555872,,,,
1,0.2444444,0.517878,1.355578,0.3450051,0.4435557,-0.2863681,0.8466778,-0.0662447,,,,
1,0.2555556,0.512303,1.360513,0.3538822,0.4220206,-0.2939065,0.8550614,-0.06623794,,,,
1,0.2666667,0.5073702,1.365281,0.3622321,0.4029152,-0.2971301,0.8633475,-0.06327745,,,,
1,0.2777778,0.5000129,1.370664,0.3710838,0.3874496,-0.2994997,0.8693774,-0.06607294,,,,
1,0.2888889,0.493746,1.375699,0.3791766,0.3708881,-0.2958773,0.8779224,-0.06442795,,,,
1,0.3,0.4856436,1.381721,0.3869895,0.3547113,-0.2922947,0.8854407,-0.0688348,,,,
1,0.3111111,0.4783004,1.388294,0.3944309,0.3373207,-0.2877511,0.8931936,-0.07496204,,,,
1,0.3222222,0.4707286,1.394885,0.4016821,0.3207888,-0.2813328,0.9005055,-0.08388129,,,,
1,0.3333333,0.4624751,1.401787,0.4087386,0.3049178,-0.2751454,0.9066207,-0.09674166,,,,
1,0.3444445,0.4549056,1.408817,0.4155933,0.28799,-0.2703274,0.9122263,-0.1087562,,,,
1,0.3555556,0.4461686,1.416232,0.421575,0.272526,-0.2645354,0.9160379,-0.1289389,,,,
1,0.3666667,0.4373747,1.424098,0.4269788,0.2583607,-0.2579122,0.9187434,-0.1504716,,,,
1,0.3777778,0.4284072,1.431797,0.4328986,0.2454321,-0.2525712,0.9202914,-0.1703953,,,,
1,0.3888889,0.41859,1.440237,0.4379031,0.2375908,-0.2473505,0.9191135,-0.1939042,,,,
1,0.4,0.408449,1.448818,0.4426387,0.2313468,-0.240938,0.916952,-0.2182349,,,,
1,0.4111111,0.397882,1.457187,0.4463721,0.2280904,-0.2324714,0.912842,-0.2462749,,,,
1,0.4222222,0.3880772,1.465431,0.4508903,0.2212602,-0.2238898,0.9097252,-0.2707719,,,,
1,0.4333333,0.3779663,1.473975,0.4547485,0.2144861,-0.2158475,0.9047144,-0.2981569,,,,
1,0.4444444,0.3675687,1.482942,0.4573702,0.2109202,-0.2058751,0.8948745,-0.3351533,,,,
1,0.4555556,0.3571798,1.491446,0.4602112,0.2061523,-0.1946413,0.8846568,-0.370133,,,,
1,0.4666667,0.3475235,1.499951,0.4627887,0.1997303,-0.1830081,0.8741332,-0.4031215,,,,
1,0.4777778,0.337328,1.508378,0.4643438,0.1941589,-0.1682913,0.8628724,-0.4352373,,,,
1,0.4888889,0.3274026,1.516417,0.4653208,0.1900541,-0.1521921,0.8526656,-0.4622534,,,,
1,0.5,0.3169635,1.524973,0.466214,0.1859416,-0.1384799,0.8413915,-0.4881693,,,,
1,0.5111111,0.3067361,1.533665,0.4671006,0.1824693,-0.1258833,0.8286414,-0.5140153,,,,
1,0.5222223,0.295837,1.541566,0.4662651,-0.1827869,0.1123996,-0.8139627,0.5398333,,,,
1,0.5333334,0.2860794,1.549201,0.4658042,-0.1810063,0.09549667,-0.7976699,0.5673094,,,,
1,0.5444446,0.2764533,1.556845,0.4647964,-0.1780269,0.0769833,-0.7771924,0.5986251,,,,
1,0.5555557,0.2668698,1.565176,0.4635672,-0.1748506,0.05854612,-0.7565618,0.6273866,,,,
1,0.5666668,0.257466,1.572492,0.4620277,-0.1748581,0.0396961,-0.7345843,0.6543964,,,,
1,0.577778,0.2475241,1.579692,0.4599758,-0.1756169,0.02038402,-0.7130142,0.6784939,,,,
1,0.5888891,0.2382834,1.586919,0.4578044,-0.1751204,0.001714043,-0.6911922,0.70113,,,,
1,0.6000003,0.2286937,1.593843,0.4548321,0.1759257,0.01653788,0.6682503,-0.7226467,,,,
1,0.6111114,0.2192469,1.60025,0.4513336,0.1769455,0.03480213,0.6428137,-0.7444928,,,,
1,0.6222225,0.2105907,1.60646,0.4474949,0.1787061,0.05466009,0.6148018,-0.7662213,,,,
1,0.6333337,0.2022488,1.613042,0.4442052,0.1802583,0.07571015,0.5855755,-0.7866869,,,,
1,0.6444448,0.194616,1.618939,0.4402236,0.183941,0.09859455,0.5544676,-0.8056118,,,,
1,0.655556,0.1865804,1.624602,0.4354481,0.1881423,0.1199127,0.5254644,-0.8210424,,,,
1,0.6666671,0.1786083,1.63068,0.4308112,-0.1915546,-0.1403062,-0.4970006,0.8346325,,,,
1,0.6777782,0.171602,1.63541,0.4247947,-0.1963869,-0.163748,-0.4731688,0.8430481,,,,
1,0.6888894,0.1641842,1.641171,0.419568,-0.1989285,-0.1854224,-0.4470626,0.8521625,,,,
1,0.7000005,0.1578586,1.646605,0.4138449,-0.2005204,-0.208162,-0.4227905,0.8588995,,,,
1,0.7111117,0.1516935,1.652089,0.4077671,-0.2018556,-0.2315331,-0.3970459,0.8648707,,,,
1,0.7222228,0.1454064,1.657022,0.4017616,-0.206653,-0.2532422,-0.3704326,0.8694496,,,,
1,0.7333339,0.1396519,1.661552,0.3957215,-0.2142281,-0.2740691,-0.345536,0.8715489,,,,
1,0.7444451,0.1337832,1.666127,0.3897068,-0.2224021,-0.293874,-0.3203504,0.8726688,,,,
1,0.7555562,0.1285014,1.670812,0.3815918,-0.2360754,-0.3101851,-0.2955324,0.8721893,,,,
1,0.7666674,0.1235666,1.674368,0.3740118,-0.2491411,-0.3266512,-0.2719519,0.8702126,,,,
1,0.7777785,0.1198323,1.678193,0.3677277,-0.2569416,-0.3488959,-0.2545266,0.8645629,,,,
1,0.7888896,0.1168127,1.68185,0.3613537,-0.2618152,-0.3748264,-0.2382667,0.8568471,,,,
1,0.8000008,0.1134862,1.685569,0.3554376,-0.2685565,-0.399269,-0.2191007,0.8487971,,,,
1,0.8111119,0.1107623,1.688938,0.3509477,-0.2779687,-0.4259827,-0.2012355,0.8371239,,,,
1,0.8222231,0.1081086,1.692345,0.345373,-0.2877499,-0.4495795,-0.182733,0.8256433,,,,
1,0.8333342,0.1060502,1.694467,0.3395887,-0.3054704,-0.4644334,-0.1685665,0.8139869,,,,
1,0.8444453,0.1032149,1.696778,0.3332946,-0.3225484,-0.4768896,-0.1526816,0.8032602,,,,
1,0.8555565,0.1007642,1.697802,0.3273633,-0.3452256,-0.4836909,-0.1408423,0.7918496,,,,
1,0.8666676,0.0984692,1.699005,0.3216193,-0.3715922,-0.4880859,-0.1310811,0.778787,,,,
1,0.8777788,0.0967121,1.699373,0.3170079,-0.3982652,-0.4944052,-0.1236695,0.7626625,,,,
1,0.8888899,0.09499985,1.700729,0.3128137,-0.4202977,-0.5036684,-0.1167883,0.7456732,,,,
1,0.900001,0.09380877,1.701316,0.3099461,-0.4394611,-0.5171435,-0.1183971,0.7248577,,,,
1,0.9111122,0.09296221,1.702032,0.3082072,-0.449823,-0.5354404,-0.1302285,0.7028537,,,,
1,0.9222233,0.09199354,1.703374,0.3062283,-0.4585643,-0.5514925,-0.1411503,0.6823866,,,,
1,0.9333345,0.09133102,1.703882,0.3054674,-0.4613178,-0.5667691,-0.1645797,0.6624742,,,,
1,0.9444456,0.09062658,1.70475,0.3045385,-0.464632,-0.5785347,-0.1888928,0.6432218,,,,
1,0.9555568,0.08953512,1.705416,0.3036147,-0.4725888,-0.5876274,-0.2080769,0.6229429,,,,
1,0.9666679,0.08834738,1.705688,0.3045213,-0.4875818,-0.5893655,-0.2316965,0.6010233,,,,
1,0.977779,0.08679722,1.705809,0.3055668,-0.5075781,-0.5875241,-0.2520892,0.5776079,,,,
1,0.9888902,0.08505065,1.70617,0.3075283,-0.531942,-0.5821567,-0.2697366,0.552606,,,,
1,1.000001,0.08327486,1.706224,0.3105618,-0.5568452,-0.5730575,-0.2879472,0.5278399,,,,
1,1.011112,0.08114287,1.706988,0.3125875,-0.5687561,-0.5724488,-0.3084651,0.5036547,,,,
1,1.022224,0.07912634,1.70717,0.3157569,-0.5719138,-0.5739448,-0.3353506,0.4806682,,,,
1,1.033335,0.07727848,1.707468,0.3179862,-0.5749894,-0.5737441,-0.3613873,0.4578254,,,,
1,1.044446,0.07462403,1.707607,0.3206774,-0.5724959,-0.5716622,-0.3925571,0.4374354,,,,
1,1.055557,0.07133555,1.706804,0.3231527,-0.5723997,-0.5627856,-0.4249098,0.4184289,,,,
1,1.066668,0.0675391,1.706435,0.3256438,-0.5747302,-0.5490565,-0.457011,0.399203,,,,
1,1.077779,0.06248624,1.70586,0.3281715,-0.5772227,-0.5329331,-0.4889456,0.3791153,,,,
1,1.08889,0.05766362,1.705335,0.3306528,-0.5756729,-0.5208196,-0.5192312,0.3574166,,,,
1,1.100002,0.05242399,1.705086,0.3332491,-0.5691195,-0.5111439,-0.5497745,0.3355337,,,,
1,1.111113,0.04708665,1.704764,0.3363265,-0.5541427,-0.507264,-0.5800723,0.3148417,,,,
1,1.122224,0.04114019,1.703859,0.3390118,-0.5382648,-0.501256,-0.6088773,0.2971224,,,,
1,1.133335,0.03527378,1.702821,0.3412115,-0.5260105,-0.4891618,-0.6353859,0.2834049,,,,
1,1.144446,0.02908684,1.70176,0.3428267,-0.5151116,-0.4725818,-0.6596392,0.2760485,,,,
1,1.155557,0.02284271,1.70014,0.3441655,-0.5072319,-0.4513476,-0.6811839,0.2738422,,,,
1,1.166668,0.01654129,1.699176,0.3454585,-0.4989932,-0.4319355,-0.7020549,0.2675002,,,,
1,1.17778,0.009008512,1.697168,0.3473359,-0.4842411,-0.421623,-0.7187529,0.266719,,,,
1,1.188891,0.003103063,1.69559,0.3487864,-0.4659329,-0.4141017,-0.7373579,0.2602491,,,,
1,1.200002,-0.004413277,1.693104,0.3495438,-0.445766,-0.4035413,-0.7552494,0.2608554,,,,
