Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.6164137,1.267992,0.2390549,-0.6567456,0.4012001,-0.3912739,0.5046074,,,,
1,0.02222222,0.615354,1.265285,0.2443102,-0.6640532,0.4004698,-0.4200366,0.4714089,,,,
1,0.03333334,0.6153502,1.26256,0.2484584,-0.6690724,0.3941559,-0.4467988,0.4442453,,,,
1,0.04444445,0.6147435,1.260169,0.2530768,-0.6714403,0.388308,-0.4764685,0.4139596,,,,
1,0.05555556,0.6133156,1.258261,0.258559,-0.6678465,0.3790209,-0.5136468,0.3827416,,,,
1,0.06666667,0.613178,1.256385,0.2627188,-0.6639209,0.3703856,-0.5454976,0.3527831,,,,
1,0.07777778,0.611879,1.254943,0.2682889,-0.6531379,0.358672,-0.584104,0.3218506,,,,
1,0.08888889,0.6111266,1.253233,0.2730262,0.6455193,-0.3502004,0.6137881,-0.2897043,,,,
1,0.1,0.6090302,1.252092,0.2790885,0.6329213,-0.3516061,0.6383266,-0.2613866,,,,
1,0.1111111,0.6074424,1.251351,0.2847444,0.6209847,-0.363535,0.6519936,-0.2390075,,,,
1,0.1222222,0.6052159,1.251385,0.2918102,0.6070533,-0.3894954,0.6528898,-0.2313315,,,,
1,0.1333333,0.6033775,1.250418,0.2988246,0.5943792,-0.4038817,0.6558376,-0.2312354,,,,
1,0.1444445,0.6009476,1.248555,0.3065066,0.5853703,-0.4014053,0.6640971,-0.2349264,,,,
1,0.1555556,0.5980486,1.24613,0.3136206,0.5770714,-0.3886382,0.6765052,-0.2414322,,,,
1,0.1666667,0.5956766,1.244531,0.3208439,0.5653248,-0.3750407,0.6916502,-0.2477345,,,,
1,0.1777778,0.5924057,1.243732,0.3281721,0.5506608,-0.3653778,0.7083487,-0.2480201,,,,
1,0.1888889,0.589317,1.243849,0.3354866,0.5336351,-0.3543663,0.7275684,-0.2455651,,,,
1,0.2,0.5845809,1.24707,0.3423265,0.5107527,-0.3376204,0.755501,-0.2331571,,,,
1,0.2111111,0.5805142,1.248347,0.3499261,0.4914308,-0.3250748,0.7773829,-0.2202228,,,,
1,0.2222222,0.5751785,1.251789,0.35818,0.4698142,-0.3129189,0.800308,-0.2021472,,,,
1,0.2333333,0.5701874,1.255106,0.3665869,0.4476105,-0.3048134,0.8194815,-0.1875734,,,,
1,0.2444444,0.5652626,1.258457,0.3746351,0.4256898,-0.2956377,0.8370147,-0.1754793,,,,
1,0.2555556,0.5597746,1.263529,0.3826454,0.4042505,-0.2848127,0.8531272,-0.1662441,,,,
1,0.2666667,0.5545568,1.26734,0.3907268,0.3830328,-0.2730101,0.8681481,-0.1583354,,,,
1,0.2777778,0.5489103,1.271924,0.3987885,0.3615901,-0.2629994,0.8804829,-0.1575876,,,,
1,0.2888889,0.5428637,1.277341,0.4067255,0.3409134,-0.2603508,0.8875923,-0.1678548,,,,
1,0.3,0.5371617,1.282593,0.4149004,0.3204744,-0.2572339,0.8940477,-0.1783411,,,,
1,0.3111111,0.5300933,1.288869,0.4228941,0.3037562,-0.2553161,0.8962069,-0.1983911,,,,
1,0.3222222,0.5223707,1.295592,0.4310056,0.2913018,-0.2514179,0.8967768,-0.2184575,,,,
1,0.3333333,0.5140808,1.303159,0.4383594,0.2811375,-0.2454829,0.8968951,-0.2372321,,,,
1,0.3444445,0.5049788,1.310763,0.4456401,0.272969,-0.2394163,0.8952766,-0.2581619,,,,
1,0.3555556,0.4967052,1.318528,0.452654,0.2621769,-0.232444,0.8946066,-0.27733,,,,
