Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.4884467,1.263678,0.1255858,0.4043416,-0.5125723,0.2566297,-0.7126842,,,,
1,0.02222222,0.4888228,1.264015,0.1259733,0.3984884,-0.5196959,0.2539617,-0.7117772,,,,
1,0.03333334,0.4892977,1.264292,0.1260566,0.396438,-0.5217764,0.2596378,-0.7093478,,,,
1,0.04444445,0.4902955,1.265116,0.1259593,0.3970048,-0.5231905,0.2643405,-0.7062456,,,,
1,0.05555556,0.491481,1.266827,0.1251206,0.4011324,-0.5211352,0.2750614,-0.7013217,,,,
1,0.06666667,0.4920735,1.26909,0.1249415,0.4043272,-0.5190042,0.2878505,-0.695914,,,,
1,0.07777778,0.4924728,1.272029,0.124909,0.4070631,-0.5193424,0.2967272,-0.6903159,,,,
1,0.08888889,0.4927982,1.275838,0.1253372,0.4094295,-0.5216734,0.3011929,-0.6852058,,,,
1,0.1,0.4926754,1.280818,0.1260577,0.4140788,-0.5262738,0.2981288,-0.680216,,,,
1,0.1111111,0.4927663,1.285601,0.1266343,0.4215334,-0.529497,0.2915714,-0.675965,,,,
1,0.1222222,0.4924342,1.291478,0.1269673,0.4314532,-0.5284903,0.2870819,-0.6724061,,,,
1,0.1333333,0.4924751,1.297099,0.1274892,0.4429223,-0.5242498,0.2847936,-0.6692344,,,,
1,0.1444445,0.4917422,1.304528,0.1278832,0.4523053,-0.5207409,0.2835588,-0.6662155,,,,
1,0.1555556,0.4909043,1.312872,0.1283473,0.4626143,-0.5148118,0.2826165,-0.6641422,,,,
1,0.1666667,0.4903373,1.32034,0.1285986,0.471432,-0.5082378,0.2801984,-0.6640294,,,,
1,0.1777778,0.4893768,1.328895,0.1292281,0.479068,-0.5034062,0.2777256,-0.6632832,,,,
1,0.1888889,0.4884172,1.337128,0.1298703,0.4865567,-0.4967804,0.2738631,-0.6644326,,,,
1,0.2,0.4873233,1.346091,0.1305913,0.4938571,-0.4908293,0.2703202,-0.6649202,,,,
1,0.2111111,0.4858984,1.355453,0.1312991,0.5010304,-0.4830424,0.2667271,-0.6667047,,,,
1,0.2222222,0.4841959,1.364349,0.1324489,0.5084062,-0.4743378,0.2637225,-0.6685636,,,,
1,0.2333333,0.4822955,1.37377,0.1335805,0.5160894,-0.4652695,0.2610362,-0.6701015,,,,
1,0.2444444,0.4803453,1.382559,0.1349,0.5238035,-0.4555463,0.2587022,-0.6716997,,,,
1,0.2555556,0.4781077,1.391529,0.1364515,0.5314694,-0.4460184,0.2562051,-0.6730281,,,,
1,0.2666667,0.4751931,1.400741,0.1380875,0.5392579,-0.4346904,0.2540125,-0.6750725,,,,
1,0.2777778,0.4724992,1.409043,0.1399021,0.5468339,-0.4233654,0.2511273,-0.6772515,,,,
1,0.2888889,0.4697382,1.417987,0.1416366,0.5539091,-0.411559,0.2483141,-0.6798118,,,,
1,0.3,0.4668753,1.425986,0.1436318,0.560762,-0.3994563,0.2458108,-0.6823179,,,,
1,0.3111111,0.4635193,1.43444,0.1458379,0.5673736,-0.3862039,0.2438581,-0.6851766,,,,
1,0.3222222,0.4604258,1.442202,0.1479658,0.5735964,-0.3723965,0.2440421,-0.6875693,,,,
1,0.3333333,0.4574136,1.450337,0.1502566,0.5797784,-0.3570277,0.2470162,-0.6894718,,,,
1,0.3444445,0.4543962,1.457517,0.1524033,0.5860199,-0.3405926,0.2502116,-0.6913548,,,,
1,0.3555556,0.4510914,1.464886,0.1544483,0.5921765,-0.3205039,0.2568308,-0.6932836,,,,
1,0.3666667,0.4481446,1.472093,0.1566537,0.597738,-0.2997702,0.2635887,-0.6952468,,,,
1,0.3777778,0.4453062,1.478676,0.1587001,0.6025634,-0.2783946,0.2702655,-0.6974025,,,,
1,0.3888889,0.442583,1.485703,0.1607654,0.6069106,-0.2573501,0.2762123,-0.6993835,,,,
1,0.4,0.4394363,1.491806,0.162808,0.6111033,-0.2370336,0.2812307,-0.7009116,,,,
1,0.4111111,0.4364636,1.497792,0.1652223,0.6149759,-0.2151354,0.2878833,-0.7018864,,,,
1,0.4222222,0.4335086,1.503591,0.1676466,0.6187522,-0.1919532,0.296913,-0.7015285,,,,
1,0.4333333,0.4299343,1.508162,0.1710894,0.6223299,-0.1679388,0.3071154,-0.7001301,,,,
1,0.4444444,0.4270707,1.513207,0.1740882,0.6259702,-0.1385629,0.3241653,-0.6956137,,,,
1,0.4555556,0.4242083,1.517578,0.177378,-0.6293031,0.1110667,-0.3378374,0.6910194,,,,
1,0.4666667,0.4210342,1.521545,0.1812107,-0.6322036,0.08068624,-0.354413,0.6842512,,,,
1,0.4777778,0.4181511,1.524783,0.1851923,-0.6340212,0.04933295,-0.3719595,0.6761876,,,,
1,0.4888889,0.4151322,1.528254,0.1892123,-0.6351967,0.01704705,-0.3900213,0.6664217,,,,
1,0.5,0.4116909,1.530357,0.1936823,-0.6355116,-0.01548848,-0.4079742,0.6553183,,,,
1,0.5111111,0.4083399,1.533284,0.1983886,-0.6343539,-0.05390114,-0.4323608,0.6385561,,,,
1,0.5222223,0.4048064,1.534961,0.2038326,-0.6324602,-0.08932003,-0.4519337,0.6227133,,,,
1,0.5333334,0.4008472,1.537144,0.2095232,-0.6309534,-0.1244175,-0.4717556,0.603212,,,,
1,0.5444446,0.3965108,1.538485,0.2160282,-0.629106,-0.1567323,-0.4883481,0.5841033,,,,
1,0.5555557,0.3918436,1.539618,0.2225165,-0.6298898,-0.1857471,-0.5029758,0.5619184,,,,
1,0.5666668,0.387241,1.54063,0.229315,-0.6316658,-0.2121509,-0.5151619,0.5390719,,,,
1,0.577778,0.3827406,1.5419,0.2363852,-0.6325304,-0.2380581,-0.5258837,0.5164108,,,,
1,0.5888891,0.3782524,1.542294,0.243312,-0.6318957,-0.2634993,-0.5356791,0.4942912,,,,
1,0.6000003,0.3736812,1.542656,0.2508415,-0.6314181,-0.2858088,-0.5426246,0.4745345,,,,
1,0.6111114,0.3688771,1.542931,0.258351,-0.6308561,-0.3061591,-0.5485328,0.4554107,,,,
1,0.6222225,0.363395,1.54315,0.2667845,-0.629896,-0.3267453,-0.5540807,0.4352736,,,,
1,0.6333337,0.3574611,1.543588,0.2757562,-0.627937,-0.3489416,-0.5606365,0.4118515,,,,
1,0.6444448,0.351102,1.544167,0.2847267,-0.6249957,-0.3720972,-0.5680098,0.3850829,,,,
1,0.655556,0.3440813,1.544519,0.2943659,-0.6208759,-0.3957444,-0.5749727,0.3567996,,,,
1,0.6666671,0.3364662,1.544963,0.3040513,-0.6153394,-0.4192989,-0.582915,0.3252014,,,,
1,0.6777782,0.3279945,1.545327,0.3127257,-0.6086148,-0.4399354,-0.5918396,0.2928666,,,,
1,0.6888894,0.3200695,1.545678,0.3215396,-0.6003373,-0.4569194,-0.6024394,0.2605507,,,,
1,0.7000005,0.3109448,1.545732,0.3296073,-0.5905639,-0.4724109,-0.6123595,0.2303867,,,,
1,0.7111117,0.3026391,1.545793,0.3372341,-0.5786297,-0.4827389,-0.625486,0.2022822,,,,
1,0.7222228,0.2937278,1.545949,0.3449304,-0.5659921,-0.4900146,-0.6387842,0.1774635,,,,
1,0.7333339,0.2851057,1.545564,0.351985,-0.5530792,-0.4971074,-0.6509197,0.1526146,,,,
1,0.7444451,0.276187,1.545199,0.3590743,-0.537931,-0.5003257,-0.6654,0.1324665,,,,
1,0.7555562,0.2670012,1.544648,0.3660622,-0.5205672,-0.5032924,-0.6802152,0.114078,,,,
1,0.7666674,0.2577508,1.544084,0.3729978,-0.5020033,-0.504719,-0.6955156,0.09751603,,,,
1,0.7777785,0.2480981,1.543572,0.3802218,-0.4820505,-0.5060962,-0.7104685,0.08202723,,,,
1,0.7888896,0.2385105,1.54298,0.3873702,-0.4615014,-0.5074862,-0.7245604,0.06698069,,,,
1,0.8000008,0.2285431,1.541874,0.3941822,-0.4414581,-0.5089092,-0.7372429,0.05098054,,,,
1,0.8111119,0.2190876,1.540436,0.4004928,-0.4217597,-0.5058844,-0.7513946,0.04007134,,,,
1,0.8222231,0.2093797,1.539017,0.4070743,-0.4045163,-0.5004258,-0.7647225,0.03376345,,,,
1,0.8333342,0.1995643,1.537178,0.4133641,-0.3867631,-0.4952947,-0.7774019,0.02727024,,,,
1,0.8444453,0.189622,1.534701,0.4194375,-0.3703145,-0.4881248,-0.7898542,0.02705283,,,,
1,0.8555565,0.1794715,1.531704,0.4251028,-0.3536412,-0.4804282,-0.8020465,0.02912328,,,,
1,0.8666676,0.169236,1.52832,0.4308038,-0.3361031,-0.4730517,-0.8137222,0.03336094,,,,
1,0.8777788,0.1589182,1.525149,0.4362993,-0.3164686,-0.4675431,-0.8245178,0.03770255,,,,
1,0.8888899,0.1479595,1.521109,0.4416606,-0.2962888,-0.4627423,-0.8345511,0.04008497,,,,
1,0.900001,0.1368274,1.516813,0.4465522,-0.2747049,-0.4587718,-0.8438455,0.04461487,,,,
