Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.495970,1.268345,0.128117,0.4276948,-0.5477425,0.1387488,-0.7055524,,,,
1,0.02222222,0.493736,1.268211,0.130674,0.4282525,-0.5475163,0.1414256,-0.7048578,,,,
1,0.03333334,0.491501,1.268078,0.133231,0.4261356,-0.5469392,0.1460434,-0.7056468,,,,
1,0.04444445,0.489267,1.267944,0.135788,0.421765,-0.5486452,0.1521035,-0.7056679,,,,
1,0.05555556,0.487033,1.267810,0.138345,0.417175,-0.5519765,0.1554929,-0.7050595,,,,
1,0.06666667,0.484798,1.267677,0.140902,0.4102774,-0.5570018,0.1603114,-0.7040752,,,,
1,0.07777778,0.482564,1.267543,0.143458,0.4028621,-0.5602483,0.1685086,-0.703867,,,,
1,0.08888889,0.480330,1.267410,0.146015,0.3953232,-0.5623168,0.1783576,-0.7040653,,,,
1,0.1,0.478095,1.267276,0.148572,0.3869509,-0.5649635,0.1883134,-0.7040052,,,,
1,0.1111111,0.475861,1.267142,0.151129,0.3791437,-0.5678136,0.196834,-0.7036293,,,,
1,0.1222222,0.473627,1.267009,0.153686,0.3679023,-0.571011,0.2080159,-0.7037923,,,,
1,0.1333333,0.471392,1.266875,0.156243,0.3526304,-0.5754363,0.218957,-0.7046862,,,,
1,0.1444445,0.469158,1.266741,0.158799,0.3330881,-0.5830237,0.2241236,-0.7063316,,,,
1,0.1555556,0.466924,1.266608,0.161356,0.3090337,-0.5909706,0.2267025,-0.7098295,,,,
1,0.1666667,0.464689,1.266474,0.163913,0.2850875,-0.5971847,0.230041,-0.713566,,,,
1,0.1777778,0.462455,1.266340,0.166470,0.2540353,-0.6012081,0.2349786,-0.7202777,,,,
1,0.1888889,0.460221,1.266207,0.169027,0.2251649,-0.5992444,0.2471776,-0.7273996,,,,
1,0.2,0.457986,1.266073,0.171584,-0.1975199,0.5953239,-0.2633234,0.7329639,,,,
1,0.2111111,0.455752,1.265940,0.174141,-0.1734606,0.5929831,-0.2763177,0.7361596,,,,
1,0.2222222,0.453518,1.265806,0.176697,-0.1481403,0.5912384,-0.2825885,0.7406992,,,,
1,0.2333333,0.451284,1.265672,0.179254,-0.120474,0.5902504,-0.2822865,0.7465956,,,,
1,0.2444444,0.449049,1.265539,0.181811,-0.0897596,0.5863453,-0.2816849,0.7541857,,,,
1,0.2555556,0.446815,1.265405,0.184368,-0.05738117,0.5793982,-0.2817585,0.7626384,,,,
1,0.2666667,0.444581,1.265271,0.186925,-0.02603775,0.5708192,-0.2862541,0.7691203,,,,
1,0.2777778,0.442346,1.265138,0.189482,0.005669251,0.5580154,-0.2959069,0.7752585,,,,
1,0.2888889,0.440112,1.265004,0.192038,0.03606112,0.5426639,-0.3120011,0.7790191,,,,
1,0.3,0.437878,1.264871,0.194595,0.06382822,0.5269113,-0.3301033,0.780591,,,,
1,0.3111111,0.435643,1.264737,0.197152,0.08828375,0.508955,-0.3567407,0.7784002,,,,
1,0.3222222,0.433409,1.264603,0.199709,0.1155441,0.4941545,-0.3746514,0.7759492,,,,
1,0.3333333,0.431175,1.264470,0.202266,0.1434198,0.4802925,-0.3880091,0.7734331,,,,
1,0.3444445,0.428940,1.264336,0.204823,0.1708716,0.4660787,-0.3946378,0.7731977,,,,
1,0.3555556,0.426706,1.264202,0.207379,0.1963496,0.4502932,-0.4004421,0.7735172,,,,
1,0.3666667,0.424472,1.264069,0.209936,0.2194882,0.432334,-0.4031155,0.7761508,,,,
1,0.3777778,0.422237,1.263935,0.212493,0.2411994,0.4117031,-0.4081126,0.7783107,,,,
1,0.3888889,0.420003,1.263801,0.215050,0.2640815,0.3881222,-0.4116562,0.7811282,,,,
1,0.4,0.417769,1.263668,0.217607,0.2885961,0.360578,-0.4143945,0.7842022,,,,
1,0.4111111,0.415534,1.263534,0.220164,0.3130241,0.3332715,-0.41655,0.7857685,,,,
1,0.4222222,0.413300,1.263401,0.222720,0.3365857,0.303998,-0.4179121,0.7871752,,,,
1,0.4333333,0.411066,1.263267,0.225277,0.3585456,0.27876,-0.4228255,0.7841917,,,,
1,0.4444444,0.408831,1.263133,0.227834,0.376294,0.254393,-0.4338861,0.7780938,,,,
1,0.4555556,0.406597,1.263000,0.230391,0.3899001,0.2306818,-0.4442671,0.7729105,,,,
1,0.4666667,0.404363,1.262866,0.232948,-0.4028395,-0.2045918,0.4510698,-0.7696743,,,,
1,0.4777778,0.402129,1.262732,0.235505,-0.4104007,-0.1741896,0.4521721,-0.7725087,,,,
1,0.4888889,0.399894,1.262599,0.238061,-0.4218783,-0.145195,0.4551351,-0.770577,,,,
1,0.5,0.397660,1.262465,0.240618,-0.4311559,-0.1160287,0.4564855,-0.7695862,,,,
1,0.5111111,0.395426,1.262332,0.243175,-0.4404904,-0.09092835,0.4569137,-0.7674179,,,,
1,0.5222223,0.393191,1.262198,0.245732,-0.4496978,-0.06693463,0.4573542,-0.7642767,,,,
1,0.5333334,0.390957,1.262064,0.248289,-0.4564422,-0.04587182,0.4574329,-0.7617818,,,,
1,0.5444446,0.388723,1.261931,0.250846,-0.4603924,-0.02409329,0.4566722,-0.7608607,,,,
1,0.5555557,0.386488,1.261797,0.253403,-0.4612311,-0.002137035,0.4567426,-0.7606888,,,,
1,0.5666668,0.384254,1.261663,0.255959,-0.4627266,0.02015279,0.458339,-0.7585534,,,,
1,0.577778,0.382020,1.261530,0.258516,-0.4599324,0.04175255,0.4602547,-0.7582113,,,,
1,0.5888891,0.379785,1.261396,0.261073,-0.459528,0.06486602,0.4599127,-0.7570382,,,,
1,0.6000003,0.377551,1.261262,0.263630,-0.4560232,0.08927345,0.4575909,-0.7580789,,,,
1,0.6111114,0.375317,1.261129,0.266187,-0.453751,0.113288,0.455798,-0.7573136,,,,
1,0.6222225,0.373082,1.260995,0.268744,-0.4522009,0.1356967,0.4562339,-0.7542886,,,,
1,0.6333337,0.370848,1.260862,0.271300,-0.4517869,0.1533608,0.4582842,-0.7498964,,,,
1,0.6444448,0.368614,1.260728,0.273857,-0.4498482,0.1694113,0.4604089,-0.7462976,,,,
1,0.655556,0.366379,1.260594,0.276414,-0.4439132,0.1863657,0.4606166,-0.7456818,,,,
1,0.6666671,0.364145,1.260461,0.278971,-0.436705,0.2047186,0.4583275,-0.7465352,,,,
1,0.6777782,0.361911,1.260327,0.281528,-0.4265389,0.2221721,0.4542007,-0.7499373,,,,
1,0.6888894,0.359676,1.260193,0.284085,-0.4173196,0.2379634,0.4514821,-0.7519186,,,,
1,0.7000005,0.357442,1.260060,0.286641,-0.4091047,0.252803,0.4500947,-0.752422,,,,
1,0.7111117,0.355208,1.259926,0.289198,-0.4022231,0.268036,0.4500636,-0.7508769,,,,
1,0.7222228,0.352974,1.259792,0.291755,-0.3976136,0.281342,0.4528156,-0.7467986,,,,
1,0.7333339,0.350739,1.259659,0.294312,-0.3927282,0.2943966,0.4558923,-0.7424672,,,,
1,0.7444451,0.348505,1.259525,0.296869,-0.3858736,0.3077902,0.4575773,-0.7395876,,,,
1,0.7555562,0.346271,1.259392,0.299426,-0.3744793,0.3193361,0.4581252,-0.7402101,,,,
1,0.7666674,0.344036,1.259258,0.301982,-0.3637213,0.3312659,0.4572626,-0.7408648,,,,
1,0.7777785,0.341802,1.259124,0.304539,-0.3523336,0.3412113,0.4565536,-0.7422901,,,,
1,0.7888896,0.339568,1.258991,0.307096,-0.3429931,0.3499753,0.4578022,-0.7418154,,,,
1,0.8000008,0.337333,1.258857,0.309653,-0.3335391,0.3583148,0.4594648,-0.7411169,,,,
1,0.8111119,0.335099,1.258723,0.312210,-0.3232138,0.3674733,0.4608344,-0.7403567,,,,
1,0.8222231,0.332865,1.258590,0.314767,-0.311946,0.3756384,0.4633689,-0.7395098,,,,
1,0.8333342,0.330630,1.258456,0.317324,-0.3005798,0.3833508,0.4663801,-0.7383654,,,,
1,0.8444453,0.328396,1.258323,0.319880,-0.2886581,0.3903731,0.4692284,-0.7376382,,,,
1,0.8555565,0.326162,1.258189,0.322437,-0.275574,0.3971978,0.471046,-0.7378404,,,,
1,0.8666676,0.323927,1.258055,0.324994,-0.2584,0.4024265,0.4723504,-0.7403833,,,,
1,0.8777788,0.321693,1.257922,0.327551,0.2394372,-0.4057653,-0.4747982,0.7433647,,,,
1,0.8888899,0.319459,1.257788,0.330108,0.2208612,-0.4075269,-0.4804283,0.744534,,,,
1,0.900001,0.317224,1.257654,0.332665,0.2018085,-0.4081558,-0.4870436,0.7452991,,,,
1,0.9111122,0.314990,1.257521,0.335221,0.1827096,-0.409791,-0.4924378,0.7457837,,,,
1,0.9222233,0.312756,1.257387,0.337778,0.160905,-0.4104625,-0.4955977,0.7483401,,,,
1,0.9333345,0.310521,1.257253,0.340335,0.1390596,-0.4130698,-0.4948367,0.7517794,,,,
1,0.9444456,0.308287,1.257120,0.342892,0.1167816,-0.4154471,-0.4924077,0.7558441,,,,
1,0.9555568,0.306053,1.256986,0.345449,0.09075288,-0.4172506,-0.4833951,0.7641957,,,,
1,0.9666679,0.303819,1.256853,0.348006,0.06509355,-0.4185556,-0.4748035,0.7714505,,,,
1,0.977779,0.301584,1.256719,0.350562,0.04301767,-0.4195326,-0.4710222,0.7747774,,,,
1,0.9888902,0.299350,1.256585,0.353119,0.0214521,-0.4208794,-0.4701404,0.7754794,,,,
1,1.000001,0.297116,1.256452,0.355676,-0.001087219,-0.4219843,-0.468886,0.7759344,,,,
1,1.011112,0.294881,1.256318,0.358233,-0.02543373,-0.4227296,-0.4633219,0.7784508,,,,
1,1.022224,0.292647,1.256184,0.360790,-0.05565177,-0.4226885,-0.4488986,0.7853198,,,,
1,1.033335,0.290413,1.256051,0.363347,-0.09186892,-0.4203517,-0.4274429,0.7950831,,,,
1,1.044446,0.288178,1.255917,0.365903,-0.1278012,-0.4165398,-0.4069546,0.8028383,,,,
1,1.055557,0.285944,1.255783,0.368460,-0.1702295,-0.4081765,-0.3839177,0.8105683,,,,
1,1.066668,0.283710,1.255650,0.371017,-0.2175083,-0.3933089,-0.3616432,0.8168308,,,,
1,1.077779,0.281475,1.255516,0.373574,-0.2629797,-0.3751021,-0.3416066,0.820637,,,,
1,1.08889,0.279241,1.255383,0.376131,-0.3042767,-0.3565128,-0.3235323,0.821974,,,,
1,1.100002,0.277007,1.255249,0.378688,-0.3450126,-0.3365201,-0.3017226,0.822608,,,,
1,1.111113,0.274772,1.255115,0.381245,-0.387082,-0.3165985,-0.2751207,0.8211222,,,,
1,1.122224,0.272538,1.254982,0.383801,-0.4358969,-0.2886578,-0.2407736,0.8177399,,,,
1,1.133335,0.270304,1.254848,0.386358,-0.4812522,-0.2616706,-0.2076917,0.8104252,,,,
1,1.144446,0.268069,1.254714,0.388915,-0.5277796,-0.2307076,-0.1719758,0.7991538,,,,
1,1.155557,0.265835,1.254581,0.391472,-0.5657981,-0.2053277,-0.1425855,0.7857369,,,,
1,1.166668,0.263601,1.254447,0.394029,-0.5972021,-0.1874422,-0.1210711,0.7704265,,,,
1,1.17778,0.261366,1.254314,0.396586,-0.6220458,-0.1786293,-0.1077961,0.7546725,,,,
1,1.188891,0.259132,1.254180,0.399142,-0.6422324,-0.1748138,-0.1006022,0.7394978,,,,
1,1.200002,0.256898,1.254046,0.401699,-0.6615883,-0.1698801,-0.09327678,0.7243903,,,,
1,1.211113,0.254663,1.253913,0.404256,-0.6742481,-0.1702403,-0.09415996,0.7124196,,,,
1,1.222224,0.252429,1.253779,0.406813,-0.6837393,-0.1690754,-0.09696862,0.7032149,,,,
1,1.233335,0.250195,1.253645,0.409370,-0.6963911,-0.160072,-0.09656242,0.6928868,,,,
1,1.244446,0.247961,1.253512,0.411927,-0.7113851,-0.1491827,-0.09397209,0.6803271,,,,
1,1.255558,0.245726,1.253378,0.414483,-0.7237177,-0.1403092,-0.09536079,0.6689188,,,,
1,1.266669,0.243492,1.253244,0.417040,-0.7335267,-0.1371806,-0.09957521,0.658183,,,,
1,1.27778,0.241258,1.253111,0.419597,-0.7421395,-0.1377529,-0.1050005,0.6474782,,,,
1,1.288891,0.239023,1.252977,0.422154,-0.7513506,-0.1383943,-0.1103257,0.635726,,,,
1,1.300002,0.236789,1.252844,0.424711,-0.7622062,-0.1342602,-0.112328,0.6232161,,,,
1,1.311113,0.234555,1.252710,0.427268,-0.7741653,-0.1254576,-0.1104295,0.6105194,,,,
1,1.322224,0.232320,1.252576,0.429824,-0.7880589,-0.1104907,-0.1041584,0.5965787,,,,
1,1.333336,0.230086,1.252443,0.432381,-0.8037215,-0.09398068,-0.09654239,0.5795506,,,,
1,1.344447,0.227852,1.252309,0.434938,-0.8176442,-0.08371663,-0.09286544,0.5619835,,,,
1,1.355558,0.225617,1.252175,0.437495,-0.8274356,-0.07965478,-0.09350431,0.547962,,,,
1,1.366669,0.223383,1.252042,0.440052,-0.8321485,-0.08141031,-0.0984859,0.5396311,,,,
1,1.37778,0.221149,1.251908,0.442609,-0.8377159,-0.07681552,-0.1009963,0.5311602,,,,
1,1.388891,0.218914,1.251774,0.445165,-0.8433449,-0.06379221,-0.1022408,0.5236858,,,,
1,1.400002,0.216680,1.251641,0.447722,-0.8521108,-0.04163206,-0.100387,0.5119535,,,,
1,1.411114,0.214446,1.251507,0.450279,-0.859988,-0.02688283,-0.1009354,0.4995098,,,,
1,1.422225,0.212211,1.251374,0.452836,-0.864777,-0.018598,-0.1063085,0.4904217,,,,
1,1.433336,0.209977,1.251240,0.455393,-0.8683719,-0.0140147,-0.1131779,0.4826227,,,,
1,1.444447,0.207743,1.251106,0.457950,-0.8722571,-0.002795465,-0.1178303,0.4746322,,,,
1,1.455558,0.205508,1.250973,0.460507,-0.8758693,0.01259337,-0.120344,0.4671313,,,,
1,1.466669,0.203274,1.250839,0.463063,-0.8765228,0.02949287,-0.1241942,0.4641268,,,,
1,1.47778,0.201040,1.250705,0.465620,-0.8762605,0.04378897,-0.1292167,0.4621181,,,,
1,1.488891,0.198806,1.250572,0.468177,-0.8774044,0.0614865,-0.1327307,0.4569064,,,,
1,1.500003,0.196571,1.250438,0.470734,-0.8777598,0.08252276,-0.1349758,0.4522269,,,,
1,1.511114,0.194337,1.250304,0.473291,-0.87758,0.09978643,-0.137757,0.4482396,,,,
1,1.522225,0.192103,1.250171,0.475848,-0.8758085,0.1134879,-0.1406479,0.4475469,,,,
1,1.533336,0.189868,1.250037,0.478404,-0.8732131,0.1286525,-0.1433927,0.4476451,,,,
1,1.544447,0.187634,1.249904,0.480961,-0.869532,0.1410751,-0.1473066,0.4497917,,,,
1,1.555558,0.185400,1.249770,0.483518,-0.8651293,0.1528181,-0.1529375,0.4525572,,,,
1,1.566669,0.183165,1.249636,0.486075,-0.8579507,0.1665715,-0.1625047,0.4580029,,,,
1,1.577781,0.180931,1.249503,0.488632,-0.8489485,0.179241,-0.1735472,0.4658761,,,,
1,1.588892,0.178697,1.249369,0.491189,-0.8400522,0.1917344,-0.1822949,0.473623,,,,
1,1.600003,0.176462,1.249235,0.493745,-0.8293528,0.2064046,-0.1885813,0.4837438,,,,
1,1.611114,0.174228,1.249102,0.496302,-0.8177353,0.2182046,-0.1938974,0.4960842,,,,
1,1.622225,0.171994,1.248968,0.498859,-0.8057778,0.2257612,-0.200783,0.5093527,,,,
1,1.633336,0.169759,1.248835,0.501416,-0.7941552,0.2348863,-0.2088843,0.5201088,,,,
1,1.644447,0.167525,1.248701,0.503973,-0.7823975,0.247223,-0.2204818,0.5273735,,,,
1,1.655559,0.165291,1.248567,0.506530,-0.7701079,0.2540951,-0.2337873,0.5363886,,,,
1,1.66667,0.163056,1.248434,0.509086,-0.7553263,0.2574681,-0.2507349,0.5480187,,,,
1,1.677781,0.160822,1.248300,0.511643,-0.7367048,0.2672511,-0.2642898,0.5621332,,,,
1,1.688892,0.158588,1.248166,0.514200,-0.7204166,0.2761597,-0.2762671,0.5730727,,,,
1,1.700003,0.156353,1.248033,0.516757,-0.6987382,0.281444,-0.2965692,0.5870273,,,,
1,1.711114,0.154119,1.247899,0.519314,-0.6744414,0.2877028,-0.3238335,0.5979028,,,,
1,1.722225,0.151885,1.247765,0.521871,-0.6513885,0.2957558,-0.3517618,0.603726,,,,
1,1.733337,0.149651,1.247632,0.524428,-0.6297716,0.3021308,-0.3800909,0.6063295,,,,
1,1.744448,0.147416,1.247498,0.526984,-0.6080848,0.307434,-0.4045219,0.6099829,,,,
1,1.755559,0.145182,1.247365,0.529541,-0.5845171,0.3063264,-0.432172,0.6145985,,,,
