Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.495970,1.268345,0.128117,0.4276948,-0.5477425,0.1387488,-0.7055524,,,,
1,0.02222222,0.491157,1.271622,0.131870,0.4282525,-0.5475163,0.1414256,-0.7048578,,,,
1,0.03333334,0.486344,1.274898,0.135622,0.4261356,-0.5469392,0.1460434,-0.7056468,,,,
1,0.04444445,0.481531,1.278175,0.139375,0.421765,-0.5486452,0.1521035,-0.7056679,,,,
1,0.05555556,0.476718,1.281451,0.143128,0.417175,-0.5519765,0.1554929,-0.7050595,,,,
1,0.06666667,0.471905,1.284728,0.146880,0.4102774,-0.5570018,0.1603114,-0.7040752,,,,
1,0.07777778,0.467092,1.288005,0.150633,0.4028621,-0.5602483,0.1685086,-0.703867,,,,
1,0.08888889,0.462279,1.291281,0.154385,0.3953232,-0.5623168,0.1783576,-0.7040653,,,,
1,0.1,0.457467,1.294558,0.158138,0.3869509,-0.5649635,0.1883134,-0.7040052,,,,
1,0.1111111,0.452654,1.297835,0.161890,0.3791437,-0.5678136,0.196834,-0.7036293,,,,
1,0.1222222,0.447841,1.301111,0.165643,0.3679023,-0.571011,0.2080159,-0.7037923,,,,
1,0.1333333,0.443028,1.304388,0.169395,0.3526304,-0.5754363,0.218957,-0.7046862,,,,
1,0.1444445,0.438215,1.307664,0.173148,0.3330881,-0.5830237,0.2241236,-0.7063316,,,,
1,0.1555556,0.433402,1.310941,0.176901,0.3090337,-0.5909706,0.2267025,-0.7098295,,,,
1,0.1666667,0.428589,1.314218,0.180653,0.2850875,-0.5971847,0.230041,-0.713566,,,,
1,0.1777778,0.423776,1.317494,0.184406,0.2540353,-0.6012081,0.2349786,-0.7202777,,,,
1,0.1888889,0.418963,1.320771,0.188158,0.2251649,-0.5992444,0.2471776,-0.7273996,,,,
1,0.2,0.414150,1.324047,0.191911,-0.1975199,0.5953239,-0.2633234,0.7329639,,,,
1,0.2111111,0.409337,1.327324,0.195663,-0.1734606,0.5929831,-0.2763177,0.7361596,,,,
1,0.2222222,0.404524,1.330601,0.199416,-0.1481403,0.5912384,-0.2825885,0.7406992,,,,
1,0.2333333,0.399711,1.333877,0.203168,-0.120474,0.5902504,-0.2822865,0.7465956,,,,
1,0.2444444,0.394899,1.337154,0.206921,-0.0897596,0.5863453,-0.2816849,0.7541857,,,,
1,0.2555556,0.390086,1.340430,0.210674,-0.05738117,0.5793982,-0.2817585,0.7626384,,,,
1,0.2666667,0.385273,1.343707,0.214426,-0.02603775,0.5708192,-0.2862541,0.7691203,,,,
1,0.2777778,0.380460,1.346984,0.218179,0.005669251,0.5580154,-0.2959069,0.7752585,,,,
1,0.2888889,0.375647,1.350260,0.221931,0.03606112,0.5426639,-0.3120011,0.7790191,,,,
1,0.3,0.370834,1.353537,0.225684,0.06382822,0.5269113,-0.3301033,0.780591,,,,
1,0.3111111,0.366021,1.356814,0.229436,0.08828375,0.508955,-0.3567407,0.7784002,,,,
1,0.3222222,0.361208,1.360090,0.233189,0.1155441,0.4941545,-0.3746514,0.7759492,,,,
1,0.3333333,0.356395,1.363367,0.236941,0.1434198,0.4802925,-0.3880091,0.7734331,,,,
1,0.3444445,0.351582,1.366643,0.240694,0.1708716,0.4660787,-0.3946378,0.7731977,,,,
1,0.3555556,0.346769,1.369920,0.244446,0.1963496,0.4502932,-0.4004421,0.7735172,,,,
1,0.3666667,0.341956,1.373197,0.248199,0.2194882,0.432334,-0.4031155,0.7761508,,,,
