Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.011111,0.495970,1.268345,0.128117,0.427695,-0.547742,0.138749,-0.705552,,,,
1,0.022222,0.491157,1.271622,0.131870,0.425648,-0.538701,0.144502,-0.712561,,,,
1,0.033333,0.486344,1.274898,0.135622,0.423530,-0.529570,0.150230,-0.719450,,,,
1,0.044444,0.481531,1.278175,0.139375,0.421341,-0.520349,0.155934,-0.726219,,,,
1,0.055556,0.476718,1.281451,0.143128,0.419081,-0.511041,0.161611,-0.732865,,,,
1,0.066667,0.471905,1.284728,0.146880,0.416750,-0.501647,0.167261,-0.739387,,,,
1,0.077778,0.467092,1.288005,0.150633,0.414349,-0.492168,0.172882,-0.745786,,,,
1,0.088889,0.462279,1.291281,0.154385,0.411879,-0.482607,0.178475,-0.752059,,,,
1,0.100000,0.457467,1.294558,0.158138,0.409339,-0.472965,0.184038,-0.758206,,,,
1,0.111111,0.452654,1.297835,0.161890,0.406731,-0.463243,0.189570,-0.764225,,,,
1,0.122222,0.447841,1.301111,0.165643,0.404054,-0.453443,0.195070,-0.770115,,,,
1,0.133333,0.443028,1.304388,0.169395,0.401309,-0.443567,0.200537,-0.775877,,,,
1,0.144445,0.438215,1.307664,0.173148,0.398497,-0.433616,0.205970,-0.781507,,,,
1,0.155556,0.433402,1.310941,0.176901,0.395617,-0.423593,0.211369,-0.787007,,,,
1,0.166667,0.428589,1.314218,0.180653,0.392671,-0.413498,0.216732,-0.792373,,,,
1,0.177778,0.423776,1.317494,0.184406,0.389660,-0.403334,0.222059,-0.797607,,,,
1,0.188889,0.418963,1.320771,0.188158,0.386582,-0.393102,0.227348,-0.802707,,,,
1,0.200000,0.414150,1.324047,0.191911,0.383440,-0.382803,0.232600,-0.807671,,,,
1,0.211111,0.409337,1.327324,0.195663,0.380233,-0.372441,0.237812,-0.812500,,,,
1,0.222222,0.404524,1.330601,0.199416,0.376962,-0.362016,0.242984,-0.817192,,,,
1,0.233333,0.399711,1.333877,0.203168,0.373628,-0.351529,0.248115,-0.821747,,,,
1,0.244444,0.394899,1.337154,0.206921,0.370231,-0.340984,0.253204,-0.826164,,,,
1,0.255556,0.390086,1.340430,0.210674,0.366772,-0.330382,0.258251,-0.830441,,,,
1,0.266667,0.385273,1.343707,0.214426,0.363251,-0.319724,0.263255,-0.834579,,,,
1,0.277778,0.380460,1.346984,0.218179,0.359669,-0.309012,0.268214,-0.838577,,,,
1,0.288889,0.375647,1.350260,0.221931,0.356026,-0.298248,0.273128,-0.842434,,,,
1,0.300000,0.370834,1.353537,0.225684,0.352324,-0.287434,0.277997,-0.846149,,,,
1,0.311111,0.366021,1.356814,0.229436,0.348562,-0.276572,0.282818,-0.849721,,,,
1,0.322222,0.361208,1.360090,0.233189,0.344742,-0.265663,0.287592,-0.853151,,,,
1,0.333333,0.356395,1.363367,0.236941,0.340864,-0.254709,0.292318,-0.856438,,,,
1,0.344444,0.351582,1.366643,0.240694,0.336928,-0.243713,0.296994,-0.859580,,,,
1,0.355556,0.346769,1.369920,0.244446,0.332936,-0.232676,0.301620,-0.862578,,,,
1,0.366667,0.341956,1.373197,0.248199,0.328888,-0.221599,0.306196,-0.865431,,,,
1,0.377778,0.337144,1.376473,0.251952,0.324785,-0.210486,0.310720,-0.868138,,,,
1,0.388889,0.332331,1.379750,0.255704,0.320627,-0.199337,0.315192,-0.870699,,,,
1,0.400000,0.327518,1.383026,0.259457,0.316415,-0.188154,0.319612,-0.873114,,,,
1,0.411111,0.322705,1.386303,0.263209,0.312149,-0.176940,0.323977,-0.875382,,,,
1,0.422222,0.317892,1.389580,0.266962,0.307832,-0.165696,0.328288,-0.877503,,,,
1,0.433333,0.313079,1.392856,0.270714,0.303462,-0.154424,0.332543,-0.879476,,,,
1,0.444444,0.308266,1.396133,0.274467,0.299042,-0.143126,0.336743,-0.881302,,,,
1,0.455556,0.303453,1.399409,0.278219,0.294571,-0.131804,0.340886,-0.882979,,,,
1,0.466667,0.298640,1.402686,0.281972,0.290051,-0.120460,0.344972,-0.884508,,,,
1,0.477778,0.293827,1.405963,0.285724,0.285482,-0.109096,0.348999,-0.885888,,,,
1,0.488889,0.289014,1.409239,0.289477,0.280865,-0.097714,0.352968,-0.887119,,,,
1,0.500000,0.284201,1.412516,0.293230,0.276201,-0.086314,0.356878,-0.888201,,,,
1,0.511111,0.279388,1.415793,0.296982,0.271490,-0.074901,0.360728,-0.889134,,,,
1,0.522222,0.274576,1.419069,0.300735,0.266733,-0.063475,0.364517,-0.889917,,,,
1,0.533333,0.269763,1.422346,0.304487,0.261932,-0.052038,0.368245,-0.890550,,,,
1,0.544445,0.264950,1.425622,0.308240,0.257087,-0.040592,0.371910,-0.891034,,,,
1,0.555556,0.260137,1.428899,0.311992,0.252199,-0.029140,0.375514,-0.891368,,,,
1,0.566667,0.255324,1.432176,0.315745,0.247268,-0.017683,0.379054,-0.891552,,,,
1,0.577778,0.250511,1.435452,0.319497,0.242295,-0.006222,0.382530,-0.891586,,,,
1,0.588889,0.245698,1.438729,0.323250,0.237282,0.005239,0.385942,-0.891470,,,,
1,0.600000,0.240885,1.442005,0.327003,0.232229,0.016700,0.389290,-0.891204,,,,
1,0.611111,0.236072,1.445282,0.330755,0.227137,0.028157,0.392571,-0.890788,,,,
1,0.622223,0.231259,1.448559,0.334508,0.222006,0.039610,0.395787,-0.890223,,,,
1,0.633334,0.226446,1.451835,0.338260,0.216839,0.051056,0.398936,-0.889508,,,,
1,0.644445,0.221633,1.455112,0.342013,0.211634,0.062494,0.402018,-0.888643,,,,
1,0.655556,0.216821,1.458388,0.345765,0.206395,0.073921,0.405033,-0.887629,,,,
1,0.666667,0.212008,1.461665,0.349518,0.201120,0.085336,0.407979,-0.886466,,,,
1,0.677778,0.207195,1.464942,0.353270,0.195812,0.096736,0.410857,-0.885153,,,,
1,0.688889,0.202382,1.468218,0.357023,0.190471,0.108120,0.413666,-0.883692,,,,
1,0.700001,0.197569,1.471495,0.360776,0.185098,0.119486,0.416405,-0.882082,,,,
1,0.711112,0.192756,1.474772,0.364528,0.179693,0.130832,0.419074,-0.880324,,,,
1,0.722223,0.187943,1.478048,0.368281,0.174259,0.142156,0.421672,-0.878418,,,,
1,0.733334,0.183130,1.481325,0.372033,0.168795,0.153456,0.424200,-0.876364,,,,
1,0.744445,0.178317,1.484601,0.375786,0.163303,0.164730,0.426657,-0.874163,,,,
1,0.755556,0.173504,1.487878,0.379538,0.157783,0.175977,0.429041,-0.871814,,,,
1,0.766667,0.168691,1.491155,0.383291,0.152237,0.187193,0.431354,-0.869320,,,,
1,0.777779,0.163878,1.494431,0.387043,0.146665,0.198379,0.433594,-0.866679,,,,
1,0.788890,0.159065,1.497708,0.390796,0.141068,0.209531,0.435761,-0.863892,,,,
1,0.800001,0.154253,1.500984,0.394548,0.135448,0.220648,0.437855,-0.860960,,,,
1,0.811112,0.149440,1.504261,0.398301,0.129805,0.231727,0.439875,-0.857883,,,,
1,0.822223,0.144627,1.507538,0.402054,0.124140,0.242768,0.441821,-0.854662,,,,
1,0.833334,0.139814,1.510814,0.405806,0.118455,0.253768,0.443693,-0.851297,,,,
1,0.844445,0.135001,1.514091,0.409559,0.112749,0.264725,0.445490,-0.847789,,,,
1,0.855557,0.130188,1.517367,0.413311,0.107024,0.275638,0.447213,-0.844139,,,,
1,0.866668,0.125375,1.520644,0.417064,0.101282,0.286504,0.448860,-0.840346,,,,
1,0.877779,0.120562,1.523921,0.420816,0.095522,0.297322,0.450432,-0.836413,,,,
1,0.888890,0.115749,1.527197,0.424569,0.089747,0.308090,0.451928,-0.832338,,,,
1,0.900001,0.110936,1.530474,0.428321,0.083956,0.318807,0.453348,-0.828124,,,,
1,0.911112,0.106123,1.533751,0.432074,0.078151,0.329470,0.454691,-0.823771,,,,
1,0.922223,0.101310,1.537027,0.435827,0.072333,0.340077,0.455959,-0.819279,,,,
1,0.933334,0.096498,1.540304,0.439579,0.066503,0.350627,0.457149,-0.814649,,,,
1,0.944446,0.091685,1.543580,0.443332,0.060662,0.361118,0.458263,-0.809882,,,,
1,0.955557,0.086872,1.546857,0.447084,0.054810,0.371549,0.459300,-0.804979,,,,
1,0.966668,0.082059,1.550134,0.450837,0.048949,0.381917,0.460259,-0.799941,,,,
1,0.977779,0.077246,1.553410,0.454589,0.043080,0.392221,0.461141,-0.794768,,,,
1,0.988890,0.072433,1.556687,0.458342,0.037204,0.402459,0.461946,-0.789461,,,,
1,1.000001,0.067620,1.559963,0.462094,0.031321,0.412629,0.462673,-0.784022,,,,
1,1.011112,0.062807,1.563240,0.465847,-0.025434,-0.422730,-0.463322,0.778451,,,,
1,1.022224,0.063151,1.559696,0.467208,-0.025131,-0.417162,-0.469024,0.778049,,,,
1,1.033335,0.063496,1.556152,0.468569,-0.024827,-0.411567,-0.474697,0.777598,,,,
1,1.044446,0.063840,1.552608,0.469930,-0.024521,-0.405947,-0.480339,0.777098,,,,
1,1.055557,0.064184,1.549064,0.471291,-0.024214,-0.400300,-0.485950,0.776547,,,,
1,1.066668,0.064528,1.545521,0.472653,-0.023905,-0.394628,-0.491531,0.775948,,,,
1,1.077779,0.064873,1.541977,0.474014,-0.023594,-0.388931,-0.497080,0.775298,,,,
1,1.088890,0.065217,1.538433,0.475375,-0.023282,-0.383209,-0.502598,0.774600,,,,
1,1.100002,0.065561,1.534889,0.476736,-0.022969,-0.377462,-0.508083,0.773852,,,,
1,1.111113,0.065906,1.531345,0.478097,-0.022654,-0.371692,-0.513536,0.773054,,,,
1,1.122224,0.066250,1.527801,0.479458,-0.022338,-0.365897,-0.518957,0.772207,,,,
1,1.133335,0.066594,1.524257,0.480819,-0.022020,-0.360080,-0.524344,0.771311,,,,
1,1.144446,0.066938,1.520713,0.482180,-0.021701,-0.354239,-0.529698,0.770366,,,,
1,1.155557,0.067283,1.517170,0.483542,-0.021380,-0.348376,-0.535018,0.769372,,,,
1,1.166668,0.067627,1.513626,0.484903,-0.021058,-0.342491,-0.540303,0.768329,,,,
1,1.177780,0.067971,1.510082,0.486264,-0.020735,-0.336583,-0.545555,0.767236,,,,
