Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.4900828,1.28334,-0.2232905,-0.3268671,-0.7048267,-0.1454745,-0.6125476,0,2,5,45
1,0.02222222,0.4902044,1.280164,-0.2203887,-0.3279458,-0.7084472,-0.1504999,-0.606551,0,2,5,45
1,0.03333334,0.4908414,1.277335,-0.2183821,-0.3334453,-0.7121143,-0.1540978,-0.5982988,0,2,5,45
1,0.04444445,0.4913343,1.275144,-0.2164627,-0.3388283,-0.7109755,-0.1564923,-0.5960029,0,2,5,45
1,0.05555556,0.4913343,1.275144,-0.2164627,-0.3388283,-0.7109755,-0.1564923,-0.5960029,0,2,5,45
1,0.06666667,0.4928319,1.27361,-0.2141497,-0.3526005,-0.7054117,-0.1530961,-0.5955073,0,2,5,45
1,0.07777778,0.493888,1.272213,-0.2121859,-0.3626669,-0.7003883,-0.1517613,-0.5957328,0,2,5,45
1,0.08888889,0.4965883,1.268664,-0.2074091,-0.3775887,-0.6857474,-0.1377945,-0.6067866,0,2,5,45
1,0.1,0.4977994,1.26616,-0.2048202,-0.3809547,-0.6799232,-0.1292914,-0.6130757,0,2,5,45
1,0.1111111,0.4988323,1.263612,-0.2011939,-0.3829037,-0.6746907,-0.1190703,-0.6196769,0,2,5,45
1,0.1222222,0.4999717,1.261376,-0.1968208,-0.3888136,-0.6692088,-0.1121981,-0.6232135,0,2,5,45
1,0.1333333,0.5013276,1.259029,-0.1914553,-0.3982897,-0.6628004,-0.1090064,-0.6246427,0,2,5,45
1,0.1444445,0.5030557,1.2572,-0.1859784,-0.4092175,-0.6560853,-0.1079938,-0.6248444,0,2,5,45
1,0.1555556,0.5046591,1.255437,-0.1792445,-0.4229691,-0.6470133,-0.11028,-0.6247474,0,2,5,45
1,0.1666667,0.5062797,1.253724,-0.1724882,-0.4330944,-0.6365702,-0.1113917,-0.6283309,0,2,5,45
1,0.1777778,0.5062797,1.253724,-0.1724882,-0.4330944,-0.6365702,-0.1113917,-0.6283309,0,2,5,45
1,0.1888889,0.5104568,1.250589,-0.158651,-0.4390719,-0.6137938,-0.103999,-0.6478096,0,2,5,45
1,0.2,0.5120223,1.24905,-0.1516101,-0.4401105,-0.6030312,-0.09915737,-0.6578937,0,2,5,45
1,0.2111111,0.5135445,1.24808,-0.1431916,-0.4389536,-0.5922556,-0.09297938,-0.6692593,0,2,5,45
1,0.2222222,0.5150411,1.247256,-0.1347246,-0.439824,-0.581217,-0.08862001,-0.6788876,0,2,5,45
