Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.4709491,1.234951,-0.1728935,-0.449378,0.6479905,-0.4524177,0.4165166,,,,
1,0.02222222,0.4706709,1.233943,-0.1713958,-0.4494351,0.6476315,-0.4564586,0.4125858,,,,
1,0.03333334,0.4697179,1.233047,-0.1707587,-0.4494593,0.6468968,-0.4602463,0.4094926,,,,
1,0.04444445,0.4694987,1.231665,-0.1688287,-0.4479835,0.646733,-0.4651451,0.4058167,,,,
1,0.05555556,0.4687266,1.230845,-0.1671481,-0.4445115,0.6473351,-0.4697517,0.4033608,,,,
1,0.06666667,0.4687917,1.229614,-0.1650676,-0.4407814,0.6478109,-0.4745965,0.4010125,,,,
1,0.07777778,0.4678949,1.228328,-0.1625545,-0.433239,0.648971,-0.4804598,0.4003734,,,,
1,0.08888889,0.4646244,1.227251,-0.16175,-0.4268818,0.6490607,-0.4862906,0.400017,,,,
1,0.1,0.4645478,1.225804,-0.1584168,-0.4202793,0.6487575,-0.4923518,0.400086,,,,
1,0.1111111,0.4665392,1.224509,-0.1545255,-0.414018,0.6487616,-0.4978749,0.3997724,,,,
1,0.1222222,0.4663863,1.223297,-0.1507471,-0.4063474,0.650019,-0.5019636,0.4004867,,,,
1,0.1333333,0.4681828,1.222306,-0.144861,-0.3950922,0.6527584,-0.5045177,0.4040671,,,,
1,0.1444445,0.4681764,1.221426,-0.1405693,-0.3852838,0.6529792,-0.5096577,0.4067229,,,,
1,0.1555556,0.4765352,1.220463,-0.1327662,-0.3736417,0.6515067,-0.5168419,0.4108595,,,,
1,0.1666667,0.4768797,1.220175,-0.1277076,-0.3618227,0.6488924,-0.5247695,0.4154997,,,,
1,0.1777778,0.4772447,1.219391,-0.122548,-0.3533708,0.6445912,-0.5321872,0.4200096,,,,
1,0.1888889,0.4774091,1.218845,-0.1169674,-0.3455702,0.641521,-0.5374016,0.4245368,,,,
1,0.2,0.4778234,1.218612,-0.110574,-0.3382316,0.6400932,-0.5393122,0.4301425,,,,
1,0.2111111,0.478097,1.218734,-0.1034821,-0.3295121,0.6392425,-0.5400343,0.4372112,,,,
