Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.433928,1.20589,-0.2311525,0.1798906,-0.6078306,0.04594711,-0.7720559,0,2,5,45
1,0.02222222,0.4337888,1.206203,-0.2312889,0.1753702,-0.6076774,0.0427946,-0.7733965,0,2,5,45
1,0.03333334,0.4337578,1.206288,-0.2309732,0.1726158,-0.6086903,0.04068719,-0.7733334,0,2,5,45
1,0.04444445,0.4334647,1.206542,-0.2305784,0.1716035,-0.6092701,0.03994819,-0.7731407,0,2,5,45
1,0.05555556,0.4335652,1.206529,-0.2302744,0.1720581,-0.6089107,0.03966746,-0.7733371,0,2,5,45
1,0.06666667,0.4338597,1.206433,-0.2299776,0.1711575,-0.6088362,0.03849272,-0.7736549,0,2,5,45
1,0.07777778,0.4337246,1.206376,-0.23028,0.1695154,-0.6084359,0.03739495,-0.7743849,0,2,5,45
1,0.08888889,0.4341403,1.20645,-0.2305931,0.1656549,-0.6081698,0.03457078,-0.7755597,0,2,5,45
1,0.1,0.4347577,1.206615,-0.2313056,0.1618177,-0.6069104,0.03178367,-0.7774733,0,2,5,45
1,0.1111111,0.4349197,1.206909,-0.231751,0.1586836,-0.6054203,0.02952187,-0.7793679,0,2,5,45
1,0.1222222,0.4354293,1.206719,-0.2318719,0.1580714,-0.6034608,0.02892015,-0.7810328,0,2,5,45
1,0.1333333,0.4359631,1.206832,-0.232042,0.1588172,-0.6021057,0.0292093,-0.7819161,0,2,5,45
1,0.1444445,0.4362815,1.206383,-0.2313939,0.1614953,-0.6025806,0.03090719,-0.7809358,0,2,5,45
1,0.1555556,0.4361342,1.206092,-0.2305611,0.163131,-0.6054109,0.03181927,-0.7783659,0,2,5,45
1,0.1666667,0.4358884,1.205769,-0.2295864,0.1637788,-0.6089098,0.03276518,-0.775456,0,2,5,45
1,0.1777778,0.4358515,1.205456,-0.2291475,0.1635853,-0.6111996,0.03357073,-0.7736589,0,2,5,45
1,0.1888889,0.4358986,1.205259,-0.2287206,0.1633032,-0.6127859,0.03465769,-0.7724146,0,2,5,45
