Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.5312024,1.318756,0.2060672,-0.6932095,0.2065542,-0.6554729,0.2171435,,,,
1,0.02222222,0.5313693,1.31681,0.2165557,0.6800717,-0.2287998,0.6680093,-0.197273,,,,
1,0.03333334,0.5336538,1.314319,0.2280557,0.6685076,-0.2274059,0.6862965,-0.1743024,,,,
1,0.04444445,0.5347861,1.31135,0.2397257,0.6581041,-0.2111201,0.7069259,-0.1502765,,,,
1,0.05555556,0.5361388,1.308272,0.2511763,0.648415,-0.2023862,0.7222657,-0.1301153,,,,
1,0.06666667,0.5375988,1.304182,0.2638783,0.6399427,-0.1874537,0.7352515,-0.1214069,,,,
1,0.07777778,0.5373942,1.300293,0.2761538,0.6303499,-0.1888353,0.7425694,-0.1248629,,,,
1,0.08888889,0.5377371,1.297868,0.2882569,0.6185244,-0.2055264,0.7464904,-0.1339349,,,,
1,0.1,0.5367762,1.295591,0.3007767,0.6066906,-0.219414,0.7512185,-0.1394801,,,,
1,0.1111111,0.5347344,1.29367,0.3131146,0.5937474,-0.2345068,0.755522,-0.1471634,,,,
1,0.1222222,0.531208,1.293119,0.325813,0.5800108,-0.2493052,0.7607509,-0.1506402,,,,
1,0.1333333,0.526626,1.292834,0.3388225,0.5678473,-0.2582102,0.7670912,-0.1498268,,,,
1,0.1444445,0.5217198,1.293091,0.3517502,0.5547069,-0.2638914,0.7751383,-0.1477229,,,,
1,0.1555556,0.5170299,1.293328,0.3641957,0.5408285,-0.2688144,0.7835293,-0.146031,,,,
1,0.1666667,0.5116743,1.294348,0.3761616,0.5243255,-0.2689515,0.7946793,-0.145714,,,,
1,0.1777778,0.5052994,1.296353,0.3872729,0.5022305,-0.2646388,0.8095245,-0.1496693,,,,
1,0.1888889,0.499724,1.297688,0.3984198,0.4814176,-0.2647203,0.8211936,-0.154277,,,,
1,0.2,0.4939143,1.299564,0.4091743,0.4583474,-0.2653245,0.8325701,-0.1623195,,,,
1,0.2111111,0.4870818,1.302669,0.4190433,0.4309505,-0.2687894,0.8426861,-0.1786452,,,,
1,0.2222222,0.4801108,1.306257,0.4286432,0.4059739,-0.2690691,0.8510187,-0.1963526,,,,
1,0.2333333,0.4725134,1.309794,0.4382477,0.3841304,-0.2637142,0.8587412,-0.2132187,,,,
1,0.2444444,0.4639485,1.313298,0.4482995,0.3675097,-0.2525582,0.8663688,-0.2248465,,,,
1,0.2555556,0.4548727,1.317784,0.4580791,0.352294,-0.2445701,0.8719429,-0.2361988,,,,
1,0.2666667,0.4463036,1.322049,0.4674684,0.3355595,-0.2384747,0.8761078,-0.2509277,,,,
1,0.2777778,0.4374862,1.326804,0.4763855,0.3177424,-0.2331132,0.8787133,-0.2693715,,,,
1,0.2888889,0.4281631,1.332388,0.483638,0.2997164,-0.2290367,0.8772908,-0.296771,,,,
1,0.3,0.4182331,1.339334,0.4896358,0.2804376,-0.2256139,0.8716912,-0.3325771,,,,
1,0.3111111,0.4091563,1.345643,0.4965396,0.2609289,-0.2185953,0.8683156,-0.3607771,,,,
1,0.3222222,0.400223,1.351994,0.5019928,0.242191,-0.205861,0.8632031,-0.3922309,,,,
1,0.3333333,0.3907349,1.358657,0.5071314,0.2255118,-0.1877445,0.8595058,-0.4185048,,,,
1,0.3444445,0.3816884,1.364949,0.5124289,0.2101204,-0.1694703,0.8556982,-0.441486,,,,
1,0.3555556,0.3714472,1.37177,0.5167091,0.19869,-0.1475926,0.850908,-0.4633512,,,,
1,0.3666667,0.3616613,1.378459,0.5202363,0.1891504,-0.1286175,0.8425803,-0.4875841,,,,
1,0.3777778,0.351109,1.385947,0.523478,0.1798041,-0.1135852,0.828661,-0.5177739,,,,
1,0.3888889,0.3410712,1.393501,0.5259136,-0.1694154,0.09854578,-0.8109199,0.5513583,,,,
1,0.4,0.3320271,1.400971,0.5286146,-0.1577087,0.08216816,-0.7921869,0.5837948,,,,
1,0.4111111,0.323107,1.409016,0.5300078,-0.1460314,0.06286672,-0.7695739,0.6184486,,,,
1,0.4222222,0.3151625,1.416475,0.5308865,-0.1351162,0.03936152,-0.7469975,0.6497607,,,,
1,0.4333333,0.306725,1.423807,0.5313267,-0.1265441,0.01254962,-0.727245,0.6744952,,,,
1,0.4444444,0.2982608,1.430992,0.5325642,-0.1191065,-0.01356656,-0.7077033,0.6962655,,,,
1,0.4555556,0.2891876,1.438097,0.5323442,0.1157343,0.03997022,0.6896682,-0.7136986,,,,
1,0.4666667,0.2800179,1.445371,0.5318907,0.1120373,0.06461214,0.6695186,-0.7314491,,,,
1,0.4777778,0.2721128,1.452636,0.5308633,0.1079983,0.08827478,0.6472387,-0.7494171,,,,
1,0.4888889,0.2640332,1.460364,0.5297741,-0.1021599,-0.1111251,-0.6222016,0.7681665,,,,
1,0.5,0.2573455,1.467551,0.5270604,-0.09976026,-0.1336855,-0.5916375,0.7887592,,,,
1,0.5111111,0.2496738,1.475332,0.5255398,-0.09727469,-0.1562034,-0.5613339,0.806872,,,,
1,0.5222223,0.2425001,1.482517,0.5231115,-0.09960897,-0.1787829,-0.5284146,0.8239495,,,,
1,0.5333334,0.2354322,1.489372,0.5203889,-0.1045432,-0.2010739,-0.4980145,0.8370315,,,,
1,0.5444446,0.2279232,1.495844,0.5177112,-0.1091212,-0.2229666,-0.4679308,0.8481859,,,,
