Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.3555556,0.5951717,1.325959,0.07364573,0.5617039,-0.2377692,0.3695981,-0.7009649,,,,
1,0.3666667,0.5951137,1.32604,0.07373725,0.5614938,-0.2372945,0.3700126,-0.7010754,,,,
1,0.3777778,0.5949973,1.326226,0.07369878,0.5614046,-0.237107,0.3699765,-0.7012294,,,,
1,0.3888889,0.5948523,1.326324,0.07382467,0.5613239,-0.2371199,0.369934,-0.701312,,,,
1,0.4,0.5948001,1.32647,0.07406154,0.5612932,-0.2371264,0.3698153,-0.7013969,,,,
1,0.4111111,0.5946477,1.32653,0.0742764,0.5616221,-0.2370459,0.3696366,-0.7012551,,,,
1,0.4222222,0.5945399,1.326576,0.07446228,0.5618774,-0.2366356,0.3695451,-0.7012373,,,,
1,0.4333333,0.5944499,1.326585,0.07461451,0.5620977,-0.2362919,0.3693177,-0.7012964,,,,
1,0.4444444,0.5943428,1.326555,0.07470357,0.562059,-0.2363854,0.3690699,-0.7014264,,,,
1,0.4555556,0.5942325,1.326524,0.07491961,0.5620741,-0.2367672,0.3686763,-0.7014926,,,,
1,0.4666667,0.5941056,1.326492,0.07511105,0.56213,-0.2370796,0.3686351,-0.7013638,,,,
1,0.4777778,0.5941126,1.326491,0.07528958,0.5620108,-0.2369999,0.3693056,-0.7011337,,,,
1,0.4888889,0.5939865,1.326342,0.0754706,0.5618831,-0.2369025,0.3701614,-0.7008175,,,,
1,0.5,0.5938864,1.326328,0.07540348,0.5619767,-0.2368892,0.3708805,-0.7003666,,,,
1,0.5111111,0.5938153,1.326193,0.0756326,0.5621223,-0.2372507,0.3711215,-0.6999996,,,,
1,0.5222223,0.5933217,1.325638,0.07627543,0.5634915,-0.2390649,0.3705541,-0.6985807,,,,
1,0.5333334,0.5930569,1.325417,0.07670881,0.5643071,-0.2402559,0.3706901,-0.6974407,,,,
1,0.5444446,0.5920949,1.324661,0.07770061,0.5666299,-0.243482,0.3711995,-0.6941599,,,,
1,0.5555557,0.5907981,1.323433,0.07901917,0.5692195,-0.2451551,0.3753524,-0.6892016,,,,
1,0.5666668,0.5897775,1.322316,0.08000911,0.5707614,-0.245289,0.3798493,-0.6854044,,,,
1,0.577778,0.5880395,1.32073,0.08110879,0.5718343,-0.2449218,0.3873536,-0.6804235,,,,
1,0.5888891,0.5860733,1.319118,0.08238284,0.5731587,-0.2457637,0.3940038,-0.6751668,,,,
1,0.6000003,0.5828788,1.316588,0.08424326,0.5748066,-0.2480304,0.4038998,-0.6670407,,,,
1,0.6111114,0.5781863,1.313412,0.08697728,-0.5777855,0.2517754,-0.4160028,0.6555262,,,,
1,0.6222225,0.5723951,1.30939,0.09012891,-0.5813959,0.2538838,-0.4330885,0.6402781,,,,
1,0.6333337,0.5657163,1.304931,0.09373133,-0.584216,0.2542855,-0.4546913,0.6223233,,,,
1,0.6444448,0.5578691,1.299569,0.09748112,-0.5844281,0.2537404,-0.4796329,0.603334,,,,
