Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.5823461,1.34757,0.04670753,0.160659,-0.6122899,-0.3548258,-0.6880324,0,2,45,5
1,0.02222222,0.582504,1.34739,0.04715626,0.1624008,-0.6159985,-0.3537159,-0.6848774,0,2,45,5
1,0.03333334,0.5822927,1.346388,0.04790606,0.1639567,-0.6204547,-0.3526316,-0.6810324,0,2,45,5
1,0.04444445,0.5826585,1.346085,0.04830423,0.1662919,-0.622918,-0.3505294,-0.6793008,0,2,45,5
1,0.05555556,0.5836326,1.345766,0.0483446,0.1700855,-0.6211357,-0.3486996,-0.6809333,0,2,45,5
1,0.06666667,0.5839484,1.345843,0.04856559,0.170255,-0.6214924,-0.3426192,-0.6836466,0,2,45,5
1,0.07777778,0.584653,1.345901,0.04846486,0.1695869,-0.6198039,-0.3375224,-0.6878678,0,2,45,5
1,0.08888889,0.5853404,1.345887,0.04857605,0.1692629,-0.6197196,-0.3341473,-0.6896691,0,2,45,5
1,0.1,0.5860376,1.345546,0.04873927,0.1681264,-0.6195155,-0.3316523,-0.6913326,0,2,45,5
1,0.1111111,0.5865518,1.345078,0.04903235,0.168246,-0.6204966,-0.3297662,-0.691326,0,2,45,5
1,0.1222222,0.5870582,1.34449,0.04949319,0.1678099,-0.6227252,-0.3293397,-0.6896293,0,2,45,5
1,0.1333333,0.5875539,1.344089,0.04979333,0.1674193,-0.6245521,-0.3283083,-0.6885632,0,2,45,5
1,0.1444445,0.5879614,1.343652,0.05014972,0.1665575,-0.6260049,-0.3269317,-0.6881077,0,2,45,5
1,0.1555556,0.5885327,1.343234,0.05023141,0.1658682,-0.6260526,-0.3251673,-0.6890663,0,2,45,5
1,0.1666667,0.5890895,1.342853,0.05037524,0.165516,-0.6256307,-0.3235479,-0.6902952,0,2,45,5
1,0.1777778,0.589603,1.342503,0.05048513,0.1649856,-0.6256616,-0.3221473,-0.6910489,0,2,45,5
1,0.1888889,0.5900409,1.342177,0.05076236,0.1641153,-0.6259325,-0.3210305,-0.6915303,0,2,45,5
1,0.2,0.5902587,1.341776,0.05097314,0.163177,-0.6270376,-0.3200424,-0.6912091,0,2,45,5
1,0.2111111,0.590589,1.34139,0.05127214,0.1623641,-0.6281682,-0.3188779,-0.6909121,0,2,45,5
1,0.2222222,0.59051,1.340967,0.05165765,0.1614054,-0.6293273,-0.3174132,-0.6907564,0,2,45,5
1,0.2333333,0.5906585,1.34064,0.05199278,0.1609849,-0.6304154,-0.3161579,-0.6904379,0,2,45,5
1,0.2444444,0.590747,1.340266,0.0524672,0.1612641,-0.6320191,-0.3150712,-0.6894026,0,2,45,5
1,0.2555556,0.590737,1.339872,0.05289441,0.162111,-0.6333269,-0.3133574,-0.6887847,0,2,45,5
1,0.2666667,0.5907419,1.33957,0.05336329,0.1633106,-0.6338522,-0.3104888,-0.6893169,0,2,45,5
1,0.2777778,0.5904958,1.339318,0.05393735,0.1645023,-0.6343492,-0.306982,-0.6901466,0,2,45,5
1,0.2888889,0.5905123,1.338966,0.05453418,0.165373,-0.63511,-0.3037379,-0.6906739,0,2,45,5
1,0.3,0.5901427,1.338965,0.05518698,0.1661596,-0.635851,-0.2996892,-0.6915714,0,2,45,5
1,0.3111111,0.5899243,1.338835,0.05600136,0.1669409,-0.6367295,-0.2958641,-0.6922216,0,2,45,5
1,0.3222222,0.5894979,1.338579,0.05680851,0.1675035,-0.6375102,-0.2924741,-0.6928076,0,2,45,5
1,0.3333333,0.5889094,1.338523,0.05763327,0.1681795,-0.6378459,-0.289147,-0.6937307,0,2,45,5
1,0.3444445,0.588179,1.338295,0.05875932,0.1684974,-0.637742,-0.2869448,-0.6946628,0,2,45,5
1,0.3555556,0.5875423,1.338064,0.05969495,0.1686638,-0.637858,-0.2844918,-0.6955244,0,2,45,5
1,0.3666667,0.5866914,1.337897,0.06107046,0.1685389,-0.6378639,-0.2821593,-0.6964988,0,2,45,5
1,0.3777778,0.5855097,1.338002,0.06268861,0.1684031,-0.6379322,-0.2798241,-0.6974105,0,2,45,5
1,0.3888889,0.5845233,1.337813,0.0642035,0.1684154,-0.6378687,-0.2771289,-0.6985409,0,2,45,5
1,0.4,0.5833822,1.337609,0.0658921,0.1689448,-0.637059,-0.2746274,-0.7001381,0,2,45,5
1,0.4111111,0.5823488,1.337332,0.06750065,0.1696211,-0.6361101,-0.272465,-0.7016805,0,2,45,5
1,0.4222222,0.58102,1.336783,0.06925434,0.1697819,-0.6348825,-0.2709294,-0.703346,0,2,45,5
1,0.4333333,0.5796706,1.336133,0.07125922,0.1698993,-0.6340883,-0.2691454,-0.7047178,0,2,45,5
1,0.4444444,0.578178,1.335323,0.07330175,0.1700471,-0.6332958,-0.2675031,-0.7060188,0,2,45,5
1,0.4555556,0.5759782,1.33342,0.07610703,0.1713195,-0.6328522,-0.2644952,-0.7072411,0,2,45,5
1,0.4666667,0.5735212,1.331417,0.07880971,0.1720554,-0.632678,-0.2599776,-0.7088916,0,2,45,5
1,0.4777778,0.571058,1.329653,0.08151616,0.1722441,-0.6319541,-0.2550249,-0.7112864,0,2,45,5
1,0.4888889,0.5679844,1.326932,0.08427852,0.1721704,-0.6295081,-0.2479735,-0.7159512,0,2,45,5
1,0.5,0.5646352,1.32385,0.08693486,0.1714108,-0.6262506,-0.2403344,-0.7215732,0,2,45,5
1,0.5111111,0.5610273,1.32021,0.08974525,0.1703575,-0.622581,-0.2319637,-0.7277117,0,2,45,5
1,0.5222223,0.5571049,1.31631,0.09263705,0.1691079,-0.6193045,-0.2237309,-0.7333546,0,2,45,5
1,0.5333334,0.5519476,1.310811,0.09629838,0.1663119,-0.6159005,-0.2132061,-0.7399664,0,2,45,5
1,0.5444446,0.5472025,1.30582,0.09987748,0.1639538,-0.6128557,-0.2039831,-0.7455991,0,2,45,5
1,0.5555557,0.5421112,1.299764,0.1036513,0.1612614,-0.6086696,-0.1941654,-0.7522075,0,2,45,5
1,0.5666668,0.5366974,1.292723,0.10798,0.1583092,-0.603717,-0.1862127,-0.7588075,0,2,45,5
1,0.577778,0.5313422,1.285799,0.1118054,0.1552287,-0.5983692,-0.1792091,-0.7653382,0,2,45,5
1,0.5888891,0.5313422,1.285799,0.1118054,0.1552287,-0.5983692,-0.1792091,-0.7653382,0,2,45,5
1,0.6000003,0.518934,1.268329,0.1199237,0.1405536,-0.587356,-0.1710281,-0.7784646,0,2,45,5
1,0.6111114,0.5125093,1.259505,0.1241128,0.1320745,-0.5826382,-0.1672012,-0.7843041,0,2,45,5
1,0.6222225,0.5052505,1.248898,0.1280635,0.121507,-0.5765463,-0.1636052,-0.791242,0,2,45,5
1,0.6333337,0.4981004,1.237802,0.1317447,0.1122322,-0.5691592,-0.1578721,-0.7990859,0,2,45,5
1,0.6444448,0.490515,1.226177,0.1359497,0.1028608,-0.5617708,-0.1502923,-0.8069978,0,2,45,5
1,0.655556,0.4824981,1.213603,0.140143,0.09244639,-0.5560315,-0.143013,-0.8135294,0,2,45,5
1,0.6666671,0.474322,1.20121,0.1444436,0.08079719,-0.5506341,-0.1356025,-0.8196865,0,2,45,5
1,0.6777782,0.4660778,1.18839,0.1482714,0.06784277,-0.5446302,-0.1274869,-0.8261492,0,2,45,5
1,0.6888894,0.4577512,1.175397,0.1525922,0.05509903,-0.5377486,-0.1194521,-0.8327795,0,2,45,5
1,0.7000005,0.4494848,1.162237,0.1557792,0.03969344,-0.5290247,-0.1105029,-0.8404442,0,2,45,5
1,0.7111117,0.4409081,1.148347,0.1594799,0.0219474,-0.5192239,-0.1027047,-0.8481608,0,2,45,5
1,0.7222228,0.4330282,1.135463,0.1623871,0.004701406,-0.5095358,-0.09618624,-0.8550436,0,2,45,5
1,0.7333339,0.4249112,1.121851,0.1652138,-0.01336851,-0.49938,-0.09029377,-0.8615614,0,2,45,5
1,0.7444451,0.4165911,1.108323,0.1679921,-0.03111364,-0.4915807,-0.0842034,-0.8661929,0,2,45,5
1,0.7555562,0.4079714,1.094963,0.1704165,-0.04768026,-0.4843188,-0.07538924,-0.8703323,0,2,45,5
1,0.7666674,0.3988112,1.081291,0.1729756,-0.06247393,-0.4771018,-0.06115442,-0.8744891,0,2,45,5
1,0.7777785,0.3896297,1.068657,0.1751634,-0.07809508,-0.4702346,-0.0463661,-0.8778558,0,2,45,5
1,0.7888896,0.3798347,1.05647,0.1768832,-0.09650379,-0.463489,-0.02813312,-0.8803827,0,2,45,5
1,0.8000008,0.3707669,1.04561,0.1776042,-0.1152997,-0.4549607,-0.009879529,-0.8829604,0,2,45,5
1,0.8111119,0.3610324,1.034879,0.1780097,-0.1326247,-0.4452327,0.006949517,-0.8855113,0,2,45,5
1,0.8222231,0.3518463,1.024414,0.1783217,-0.1484296,-0.4359413,0.02052998,-0.8874133,0,2,45,5
1,0.8333342,0.3424372,1.014353,0.1783973,-0.1636828,-0.4272729,0.03262551,-0.8885839,0,2,45,5
1,0.8444453,0.332931,1.00489,0.1784079,-0.1782503,-0.4206545,0.04193103,-0.8885486,0,2,45,5
1,0.8555565,0.3232085,0.9965249,0.1777709,-0.1929099,-0.4152422,0.04870447,-0.8876867,0,2,45,5
1,0.8666676,0.3127921,0.9888624,0.177201,-0.2085345,-0.4089725,0.05317969,-0.8868071,0,2,45,5
1,0.8777788,0.3034385,0.9821,0.1760877,-0.2248653,-0.3991827,0.05592412,-0.8871084,0,2,45,5
1,0.8888899,0.2941895,0.9749721,0.1750697,-0.2405795,-0.386382,0.05942429,-0.8884252,0,2,45,5
1,0.900001,0.2858886,0.9692624,0.1729928,-0.2548248,-0.3694875,0.05785073,-0.891738,0,2,45,5
1,0.9111122,0.2773087,0.9636275,0.1714003,-0.2692558,-0.3540392,0.05487935,-0.8939496,0,2,45,5
1,0.9222233,0.269583,0.9608755,0.1685341,-0.2823817,-0.3373481,0.04215445,-0.8970395,0,2,45,5
1,0.9333345,0.2613318,0.9566283,0.1664903,-0.2950866,-0.3239395,0.03549666,-0.8981799,0,2,45,5
1,0.9444456,0.2531673,0.9540362,0.1641646,-0.3028292,-0.3115298,0.02990941,-0.900194,0,2,45,5
1,0.9555568,0.2453375,0.9516059,0.1613736,-0.3073641,-0.2995689,0.02829388,-0.9027654,0,2,45,5
1,0.9666679,0.2374312,0.949039,0.1593337,-0.3142104,-0.2872779,0.02607582,-0.9044685,0,2,45,5
1,0.977779,0.2301795,0.9481751,0.156659,-0.3210357,-0.2744437,0.02346902,-0.906127,0,2,45,5
1,0.9888902,0.2237011,0.9485569,0.1545042,-0.3317698,-0.2595558,0.02030097,-0.9067235,0,2,45,5
1,1.000001,0.2181826,0.9494793,0.1523678,-0.3415396,-0.2430782,0.01938574,-0.9076827,0,2,45,5
1,1.011112,0.2134307,0.9501826,0.1500116,-0.3478005,-0.2262105,0.0209591,-0.9096287,0,2,45,5
1,1.022224,0.2087535,0.9514197,0.1478658,-0.3535714,-0.211048,0.02075044,-0.9110519,0,2,45,5
1,1.033335,0.2040593,0.9532549,0.1457743,-0.3587175,-0.1986716,0.01969693,-0.9118462,0,2,45,5
1,1.044446,0.1986805,0.9539558,0.1438153,-0.3644088,-0.1859073,0.01862312,-0.9123036,0,2,45,5
1,1.055557,0.1948137,0.95658,0.1417381,-0.3643371,-0.180099,0.01966762,-0.9134747,0,2,45,5
1,1.066668,0.1911166,0.9589153,0.1397488,-0.3647904,-0.1724355,0.02106007,-0.9147407,0,2,45,5
1,1.077779,0.1874314,0.9607459,0.1379258,-0.3666988,-0.1633555,0.02048654,-0.9156567,0,2,45,5
1,1.08889,0.1849449,0.9639505,0.1364569,-0.3700588,-0.1537722,0.0163136,-0.9160483,0,2,45,5
1,1.100002,0.182716,0.9670873,0.1352741,-0.3743173,-0.1441975,0.01103543,-0.9159541,0,2,45,5
1,1.111113,0.1807595,0.97122,0.1340414,-0.3788035,-0.1348568,0.00763024,-0.9155673,0,2,45,5
1,1.122224,0.178888,0.9754082,0.1329669,-0.3823964,-0.1279617,0.008456849,-0.915056,0,2,45,5
1,1.133335,0.1767157,0.9797536,0.1313088,-0.38559,-0.1219651,0.01029608,-0.9145157,0,2,45,5
1,1.144446,0.1749389,0.9849623,0.1299303,-0.3885639,-0.1197254,0.01473545,-0.9134916,0,2,45,5
1,1.155557,0.1729094,0.9903531,0.1282708,-0.3910376,-0.1186372,0.01978224,-0.9124821,0,2,45,5
1,1.166668,0.1711377,0.9956598,0.1267415,-0.3936145,-0.1155484,0.02250498,-0.9117071,0,2,45,5
1,1.17778,0.1694432,1.001976,0.1253013,-0.3968242,-0.1134434,0.02355137,-0.9105529,0,2,45,5
1,1.188891,0.1687141,1.008379,0.1238882,-0.3969276,-0.1097418,0.02680574,-0.9108714,0,2,45,5
1,1.200002,0.1677903,1.014292,0.1221881,-0.3966806,-0.1050329,0.03156061,-0.9113817,0,2,45,5
1,1.211113,0.1665933,1.021088,0.1203955,-0.3952725,-0.1010507,0.03784334,-0.9122041,0,2,45,5
1,1.222224,0.1655995,1.028493,0.1186763,-0.3961165,-0.09769406,0.04172673,-0.9120343,0,2,45,5
1,1.233335,0.163625,1.037501,0.1170778,-0.3983686,-0.0966423,0.04480308,-0.911019,0,2,45,5
1,1.244446,0.1618471,1.046409,0.1157419,-0.3993041,-0.09586399,0.05123206,-0.9103525,0,2,45,5
1,1.255558,0.1602989,1.054292,0.1140538,-0.3953059,-0.09218378,0.06519471,-0.9115838,0,2,45,5
1,1.266669,0.159595,1.061054,0.1121977,-0.3872636,-0.08452104,0.08155797,-0.914457,0,2,45,5
