Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.4444444,0.595418,1.3586,0.04145351,0.581175,-0.4389475,0.3627954,-0.5813261,,,,
1,0.4555556,0.5953554,1.358669,0.04164444,0.5807278,-0.4394126,0.3623745,-0.5816841,,,,
1,0.4666667,0.5952654,1.358759,0.04182258,0.5805538,-0.4395119,0.3620421,-0.5819898,,,,
1,0.4777778,0.5950196,1.358635,0.04204722,0.5806262,-0.4391848,0.3618633,-0.5822756,,,,
1,0.4888889,0.5949374,1.358587,0.04223868,0.5806756,-0.4388697,0.3618341,-0.582482,,,,
1,0.5,0.594777,1.358624,0.04236055,0.5805743,-0.4388656,0.3619749,-0.5824986,,,,
1,0.5111111,0.5945443,1.358567,0.04257165,0.580428,-0.4387862,0.3620786,-0.5826398,,,,
1,0.5222223,0.594226,1.358632,0.04271241,0.5800592,-0.438531,0.3626598,-0.5828379,,,,
1,0.5333334,0.5940268,1.358411,0.04270758,0.5796237,-0.4384445,0.3628671,-0.5832068,,,,
1,0.5444446,0.5938946,1.358354,0.04280049,0.5792459,-0.4389046,0.3623365,-0.583566,,,,
1,0.5555557,0.5938946,1.358354,0.04280049,0.5792459,-0.4389046,0.3623365,-0.583566,,,,
1,0.5666668,0.5937433,1.358427,0.04290074,0.5789518,-0.4396217,0.3610514,-0.5841143,,,,
1,0.577778,0.5938667,1.358252,0.04287428,0.5792635,-0.4397073,0.3608051,-0.583893,,,,
1,0.5888891,0.5937083,1.358141,0.04315862,0.5797037,-0.4405922,0.3603916,-0.5830438,,,,
1,0.6000003,0.5935334,1.35804,0.0434075,0.5801216,-0.4418093,0.3599466,-0.5819811,,,,
1,0.6111114,0.5931525,1.357869,0.04387963,0.5811656,-0.4428758,0.3600265,-0.5800764,,,,
1,0.6222225,0.5931525,1.357869,0.04387963,0.5811656,-0.4428758,0.3600265,-0.5800764,,,,
1,0.6333337,0.5923228,1.357387,0.04483653,0.5841027,-0.4425528,0.3624797,-0.5758294,,,,
1,0.6444448,0.5917996,1.356981,0.04573663,0.5863688,-0.4421105,0.3649034,-0.5723245,,,,
1,0.655556,0.591018,1.356763,0.04664616,0.5882768,-0.4419093,0.3668992,-0.5692378,,,,
1,0.6666671,0.5901022,1.356437,0.04802459,0.5905514,-0.4422387,0.3700167,-0.5645899,,,,
1,0.6777782,0.5893288,1.35597,0.04950155,0.5926863,-0.4423578,0.3731833,-0.5601578,,,,
1,0.6888894,0.5880103,1.355354,0.05153271,0.5955009,-0.4425262,0.3770195,-0.5544415,,,,
1,0.7000005,0.5880103,1.355354,0.05153271,0.5955009,-0.4425262,0.3770195,-0.5544415,,,,
1,0.7111117,0.5853541,1.353584,0.05611889,-0.6022174,0.4396334,-0.3864887,0.5428474,,,,
1,0.7222228,0.5834668,1.352199,0.05918178,-0.6056958,0.4367644,-0.3925239,0.5369306,,,,
1,0.7333339,0.5818117,1.350824,0.06239591,-0.6087711,0.4336758,-0.398817,0.531289,,,,
1,0.7444451,0.5797738,1.349309,0.0661374,-0.6108906,0.4325736,-0.4035337,0.5261686,,,,
1,0.7555562,0.57779,1.34811,0.06964682,-0.6118497,0.4331563,-0.4067892,0.5220519,,,,
1,0.7666674,0.5753703,1.346533,0.07389214,-0.6106423,0.4355284,-0.4089961,0.5197628,,,,
1,0.7777785,0.5729552,1.345015,0.07786469,-0.6095693,0.436507,-0.4117211,0.5180472,,,,
1,0.7888896,0.570249,1.342811,0.08240952,-0.606724,0.4362536,-0.4150061,0.5189785,,,,
1,0.8000008,0.5675095,1.340732,0.08696154,-0.6030671,0.4339551,-0.4193417,0.5216756,,,,
1,0.8111119,0.5675095,1.340732,0.08696154,-0.6030671,0.4339551,-0.4193417,0.5216756,,,,
1,0.8222231,0.5619536,1.335957,0.09604463,-0.5941884,0.4291234,-0.4268993,0.5296699,,,,
1,0.8333342,0.5619536,1.335957,0.09604463,-0.5941884,0.4291234,-0.4268993,0.5296699,,,,
1,0.8444453,0.5549604,1.330385,0.107225,-0.5839106,0.4297047,-0.4270028,0.5404358,,,,
1,0.8555565,0.5513812,1.327811,0.1129391,-0.5801978,0.430574,-0.4274684,0.5433668,,,,
1,0.8666676,0.5474067,1.325171,0.1190493,-0.5766693,0.4308614,-0.428701,0.545918,,,,
1,0.8777788,0.5474067,1.325171,0.1190493,-0.5766693,0.4308614,-0.428701,0.545918,,,,
1,0.8888899,0.542636,1.321644,0.1258031,-0.5734826,0.4274418,-0.4336121,0.54808,,,,
1,0.900001,0.5335419,1.31498,0.1384599,-0.5624541,0.4195314,-0.446619,0.5551308,,,,
1,0.9111122,0.5335419,1.31498,0.1384599,-0.5624541,0.4195314,-0.446619,0.5551308,,,,
1,0.9222233,0.523702,1.307672,0.1512355,-0.5494261,0.414966,-0.4565632,0.5634575,,,,
1,0.9333345,0.5178101,1.303499,0.1581143,-0.5444468,0.4128976,-0.4610401,0.5661584,,,,
1,0.9444456,0.512141,1.299122,0.1651426,-0.54038,0.4099975,-0.4660138,0.5680868,,,,
1,0.9555568,0.512141,1.299122,0.1651426,-0.54038,0.4099975,-0.4660138,0.5680868,,,,
1,0.9666679,0.5053794,1.29408,0.1729293,-0.5375548,0.407009,-0.4716882,0.5682331,,,,
1,0.977779,0.492375,1.284036,0.1886128,-0.5289403,0.4019913,-0.484428,0.5691702,,,,
1,0.9888902,0.4854271,1.278813,0.1960403,-0.5205168,0.3990224,-0.4925187,0.5720742,,,,
1,1.000001,0.4788075,1.273435,0.2032178,-0.5100765,0.3951076,-0.5005453,0.5772057,,,,
1,1.011112,0.4721145,1.268129,0.2102301,-0.5003592,0.3911245,-0.5078024,0.5820646,,,,
1,1.022224,0.4721145,1.268129,0.2102301,-0.5003592,0.3911245,-0.5078024,0.5820646,,,,
1,1.033335,0.4574141,1.255939,0.2248099,-0.4840383,0.3834309,-0.5197449,0.5903838,,,,
1,1.044446,0.4489051,1.249571,0.2322153,-0.4785507,0.3816144,-0.5242128,0.5920817,,,,
1,1.055557,0.4402308,1.242972,0.2399904,-0.4726895,0.3801374,-0.528872,0.5935948,,,,
