Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.6253144,1.339687,0.07100573,0.4569384,-0.3752297,0.3636546,-0.719837,,,,
1,0.02222222,0.6250106,1.339023,0.07121348,0.4624776,-0.3771669,0.3636653,-0.7152671,,,,
1,0.03333334,0.6250808,1.338493,0.07120421,0.4674377,-0.3774472,0.3635964,-0.7119222,,,,
1,0.04444445,0.6253883,1.337735,0.07151947,0.4745311,-0.3752642,0.3667675,-0.7067381,,,,
1,0.05555556,0.6251724,1.337033,0.07169461,0.4804142,-0.3739119,0.3682547,-0.7026951,,,,
1,0.06666667,0.6247738,1.33631,0.0719839,0.4871362,-0.3730894,0.3706402,-0.6972291,,,,
1,0.07777778,0.625119,1.335714,0.07246444,0.4932473,-0.3721198,0.373098,-0.6921213,,,,
1,0.08888889,0.6252103,1.335321,0.07282161,0.498861,-0.3713216,0.3752919,-0.6873237,,,,
1,0.1,0.6252103,1.335321,0.07282161,0.498861,-0.3713216,0.3752919,-0.6873237,,,,
1,0.1111111,0.62513,1.333946,0.07412033,0.5129984,-0.3721876,0.3752296,-0.6763963,,,,
1,0.1222222,0.6249439,1.333353,0.07504882,0.5206385,-0.3742853,0.3734239,-0.6703736,,,,
1,0.1333333,0.6246408,1.332932,0.07653299,0.5295422,-0.3789089,0.3712816,-0.6619388,,,,
1,0.1444445,0.6243041,1.332466,0.07777175,0.5374542,-0.3812471,0.3714702,-0.6540669,,,,
1,0.1555556,0.6237547,1.331833,0.07926334,0.5458425,-0.3817402,0.3748466,-0.6448414,,,,
1,0.1666667,0.6234329,1.33113,0.08080793,0.5551955,-0.3804435,0.3800051,-0.6345209,,,,
1,0.1777778,0.6233236,1.330233,0.08237212,0.5653674,-0.3779985,0.3860629,-0.6232434,,,,
1,0.1888889,0.62288,1.329243,0.08413102,0.5762127,-0.3754838,0.3910056,-0.6116416,,,,
1,0.2,0.6224715,1.329318,0.08650624,-0.5869876,0.3784783,-0.3954271,0.5965211,,,,
1,0.2111111,0.6218125,1.328796,0.08903223,-0.5987506,0.3815874,-0.3988953,0.5803201,,,,
1,0.2222222,0.6210049,1.328459,0.0921331,-0.6118221,0.3843822,-0.4023224,0.5621929,,,,
1,0.2333333,0.6204296,1.328134,0.09516694,-0.624388,0.3870769,-0.4054224,0.5440071,,,,
1,0.2444444,0.6194016,1.32777,0.09877752,-0.6376622,0.3883365,-0.4120207,0.5223224,,,,
1,0.2555556,0.6184406,1.32757,0.1018527,-0.6498454,0.3850522,-0.4232293,0.5003127,,,,
1,0.2666667,0.617534,1.327379,0.1047991,-0.6609985,0.377542,-0.4377692,0.478436,,,,
1,0.2777778,0.6169458,1.327049,0.1079035,-0.6711782,0.3712511,-0.4503556,0.4570254,,,,
1,0.2888889,0.6157992,1.327038,0.1114715,-0.6802588,0.3672557,-0.4633237,0.4332465,,,,
1,0.3,0.6146116,1.327396,0.1152902,-0.6888566,0.3686783,-0.4723074,0.4080181,,,,
1,0.3111111,0.6135041,1.327936,0.1195391,-0.6968734,0.3711464,-0.4798107,0.3826219,,,,
1,0.3222222,0.6122144,1.32819,0.123155,-0.7048898,0.3697792,-0.4881638,0.3578966,,,,
1,0.3333333,0.6114773,1.328412,0.1274397,-0.7125679,0.3663967,-0.497238,0.3327986,,,,
1,0.3444445,0.610235,1.328544,0.1314863,-0.7174923,0.3610607,-0.5088001,0.3097781,,,,
1,0.3555556,0.6092887,1.32885,0.1349983,-0.7199502,0.3545728,-0.5218995,0.2890863,,,,
1,0.3666667,0.6092887,1.32885,0.1349983,-0.7199502,0.3545728,-0.5218995,0.2890863,,,,
1,0.3777778,0.6073595,1.328805,0.142128,0.7193287,-0.3500743,0.543726,-0.2537247,,,,
1,0.3888889,0.6060312,1.328929,0.1465731,0.7166694,-0.3574373,0.5483847,-0.2406193,,,,
1,0.4,0.6048683,1.329476,0.1508477,0.7151002,-0.3668478,0.5496789,-0.2278321,,,,
