Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.08888889,0.630499,1.327747,0.06497008,0.4692789,-0.3515201,0.5226387,-0.6189183,,,,
1,0.1,0.6297927,1.326846,0.06502851,0.4707029,-0.353551,0.5232384,-0.6161672,,,,
1,0.1111111,0.6281796,1.325788,0.06527746,0.4727622,-0.3620547,0.5172867,-0.6146761,,,,
1,0.1222222,0.6275788,1.324926,0.06532618,0.474543,-0.3648966,0.5173104,-0.6115956,,,,
1,0.1333333,0.6259387,1.323159,0.06544464,0.4770509,-0.3684076,0.5150425,-0.6094502,,,,
1,0.1444445,0.6247737,1.321375,0.06537152,0.4782187,-0.3669899,0.517247,-0.6075202,,,,
1,0.1555556,0.6236898,1.319688,0.06504565,0.4781768,-0.3654023,0.5203637,-0.6058462,,,,
1,0.1666667,0.6224036,1.317337,0.06426707,-0.4742941,0.3633446,-0.5251347,0.6060191,,,,
1,0.1777778,0.6211194,1.315513,0.06376208,-0.4723522,0.3642048,-0.5272642,0.6051701,,,,
1,0.1888889,0.6190999,1.312982,0.06359637,-0.4703935,0.3660636,-0.52864,0.6043734,,,,
1,0.2,0.6170127,1.310545,0.06362438,-0.4703039,0.3687208,-0.5292832,0.6022612,,,,
1,0.2111111,0.6140394,1.307338,0.06417861,-0.4720059,0.3717892,-0.5297651,0.5986086,,,,
1,0.2222222,0.6109965,1.304046,0.06465248,-0.474304,0.3733416,-0.5319759,0.5938462,,,,
1,0.2333333,0.6078977,1.300716,0.06498599,-0.4747886,0.3742638,-0.5356784,0.5895346,,,,
1,0.2444444,0.6038526,1.296768,0.06528762,-0.4712961,0.372785,-0.545359,0.5843757,,,,
1,0.2555556,0.6038526,1.296768,0.06528762,-0.4712961,0.372785,-0.545359,0.5843757,,,,
1,0.2666667,0.5959595,1.289053,0.06632377,-0.4623956,0.3712917,-0.5645267,0.5741448,,,,
1,0.2777778,0.5920451,1.285291,0.0669663,-0.4593893,0.3715231,-0.5713999,0.5695912,,,,
1,0.2888889,0.5866581,1.281012,0.06824616,-0.4551163,0.3742939,-0.5772207,0.5653225,,,,
1,0.3,0.5806639,1.276989,0.06954273,-0.4502979,0.3806392,-0.5783117,0.5638274,,,,
1,0.3111111,0.5753455,1.272983,0.07065984,-0.4463488,0.3844709,-0.5801609,0.5624662,,,,
1,0.3222222,0.5693466,1.269106,0.07191523,-0.4426067,0.3869354,-0.5813727,0.5624821,,,,
1,0.3333333,0.5627488,1.265442,0.07330604,-0.4391263,0.3886994,-0.5837706,0.5615092,,,,
1,0.3444445,0.5556347,1.262173,0.07469085,-0.4360321,0.3897431,-0.5879089,0.5588733,,,,
1,0.3555556,0.5483462,1.258536,0.07617164,-0.4331785,0.3895493,-0.593559,0.5552437,,,,
1,0.3666667,0.540599,1.254979,0.07770523,-0.4305802,0.3871394,-0.6010878,0.550833,,,,
1,0.3777778,0.5324438,1.252047,0.07917487,0.4272477,-0.3878479,0.6059267,-0.5476189,,,,
1,0.3888889,0.5240914,1.248745,0.08109874,0.4231388,-0.3900278,0.6098945,-0.5448491,,,,
1,0.4,0.5147394,1.245925,0.08321733,0.4171726,-0.3889846,0.616021,-0.543301,,,,
1,0.4111111,0.5061712,1.242273,0.08500911,0.4113008,-0.3834465,0.6237794,-0.5428624,,,,
1,0.4222222,0.4975467,1.23884,0.08679497,0.405441,-0.3814302,0.6283458,-0.5434243,,,,
1,0.4333333,0.4881503,1.235464,0.08894691,0.3984498,-0.3811367,0.6303259,-0.5464996,,,,
1,0.4444444,0.4784984,1.231565,0.0907794,0.3918305,-0.379598,0.6333546,-0.5488499,,,,
1,0.4555556,0.4687675,1.227759,0.09261862,0.3855087,-0.3774867,0.6371428,-0.5503961,,,,
1,0.4666667,0.4583165,1.223945,0.09459709,0.3791683,-0.3756979,0.6412616,-0.5512406,,,,
1,0.4777778,0.4478618,1.220321,0.09618953,0.3703964,-0.3748382,0.6464064,-0.5517803,,,,
1,0.4888889,0.4372794,1.21719,0.09834083,0.3598323,-0.3755586,0.6521086,-0.5515712,,,,
1,0.5,0.4272144,1.213489,0.1002021,0.3503178,-0.3734184,0.6591483,-0.5507808,,,,
1,0.5111111,0.4172038,1.209461,0.102106,0.3410031,-0.3678711,0.6684936,-0.5490939,,,,
1,0.5222223,0.4172038,1.209461,0.102106,0.3410031,-0.3678711,0.6684936,-0.5490939,,,,
1,0.5333334,0.3966737,1.2011,0.1055149,0.3218888,-0.3657939,0.6765247,-0.5521745,,,,
1,0.5444446,0.3862752,1.197513,0.1068432,0.3110357,-0.3663766,0.680607,-0.552991,,,,
1,0.5555557,0.3760675,1.193701,0.1081746,0.3011268,-0.3645583,0.687414,-0.5512549,,,,
1,0.5666668,0.3654635,1.189831,0.1095719,0.2930003,-0.3622578,0.6959733,-0.5463893,,,,
1,0.577778,0.3547265,1.185864,0.1111246,0.2866202,-0.3614949,0.7029929,-0.5412681,,,,
1,0.5888891,0.3445942,1.181971,0.112223,0.2788911,-0.3610072,0.708707,-0.5381708,,,,
1,0.6000003,0.3345555,1.177718,0.1135207,0.2692335,-0.359496,0.713836,-0.5373213,,,,
1,0.6111114,0.324919,1.173655,0.1142437,0.2581906,-0.3595717,0.7158592,-0.539992,,,,
1,0.6222225,0.3155059,1.169971,0.1149302,0.2463523,-0.3616725,0.7156197,-0.5444189,,,,
1,0.6333337,0.3059148,1.166198,0.1155986,0.2360223,-0.3619881,0.7177064,-0.5460362,,,,
1,0.6444448,0.2968236,1.162369,0.1160867,0.2283327,-0.3623223,0.7206107,-0.5452586,,,,
1,0.655556,0.2878352,1.159055,0.1167851,0.2225978,-0.3636581,0.7230671,-0.5434859,,,,
1,0.6666671,0.2792665,1.155671,0.1173995,0.2171531,-0.3646737,0.7250069,-0.5424228,,,,
1,0.6777782,0.2710482,1.152117,0.1183382,0.2101603,-0.3650422,0.7267903,-0.5425427,,,,
1,0.6888894,0.2636283,1.148771,0.1186369,0.2020863,-0.3641207,0.7278951,-0.5447438,,,,
1,0.7000005,0.256828,1.145396,0.1188079,0.1921483,-0.3622005,0.7283593,-0.5489832,,,,
1,0.7111117,0.256828,1.145396,0.1188079,0.1921483,-0.3622005,0.7283593,-0.5489832,,,,
1,0.7222228,0.2441056,1.13894,0.1189977,0.1726327,-0.3586324,0.7269895,-0.5595241,,,,
1,0.7333339,0.2383125,1.135801,0.1191517,0.1652997,-0.3576166,0.7243609,-0.5657629,,,,
1,0.7444451,0.2325634,1.132647,0.1192255,0.1575272,-0.3559427,0.7227135,-0.5711174,,,,
1,0.7555562,0.2278201,1.129974,0.1191585,0.1474187,-0.3549235,0.7202511,-0.5775254,,,,
1,0.7666674,0.222978,1.127427,0.1190622,0.1357778,-0.3538604,0.7185439,-0.583131,,,,
1,0.7777785,0.2196475,1.125926,0.1186071,0.1196809,-0.3526338,0.7194592,-0.586263,,,,
1,0.7888896,0.2160134,1.124634,0.1181626,0.1036391,-0.3514449,0.7220884,-0.5867997,,,,
1,0.8000008,0.2127104,1.123723,0.1174464,0.08617391,-0.3506501,0.7249486,-0.5865732,,,,
1,0.8111119,0.2091235,1.122629,0.1170218,0.07078886,-0.349894,0.7264563,-0.5872176,,,,
1,0.8222231,0.2062759,1.121986,0.1160305,0.05509166,-0.3488348,0.7283955,-0.5871281,,,,
1,0.8333342,0.2062759,1.121986,0.1160305,0.05509166,-0.3488348,0.7283955,-0.5871281,,,,
1,0.8444453,0.2003749,1.120459,0.1142787,0.03086008,-0.3476413,0.726205,-0.5923002,,,,
1,0.8555565,0.1930072,1.116347,0.1152195,0.02055684,-0.3460567,0.7229355,-0.5976507,,,,
1,0.8666676,0.1909988,1.115772,0.1143114,0.008191004,-0.3427627,0.7189066,-0.6046653,,,,
1,0.8777788,0.1891288,1.115431,0.1132679,-0.007236034,-0.3388118,0.7119129,-0.6150889,,,,
1,0.8888899,0.1875108,1.11513,0.1126119,0.02409486,0.3346484,-0.7055867,0.6241613,,,,
1,0.900001,0.1865351,1.115118,0.1116394,0.04370137,0.3274338,-0.6984937,0.6348101,,,,
1,0.9111122,0.1854191,1.115111,0.1106904,0.05860433,0.3213908,-0.6937728,0.6418356,,,,
1,0.9222233,0.1854191,1.115111,0.1106904,0.05860433,0.3213908,-0.6937728,0.6418356,,,,
1,0.9333345,0.183482,1.114887,0.1095614,0.07023422,0.3171405,-0.6897002,0.6471497,,,,
1,0.9444456,0.1795011,1.114807,0.1068765,0.08412047,0.3136804,-0.6817255,0.655575,,,,
1,0.9555568,0.1784598,1.11499,0.1058538,0.09591236,0.3095915,-0.6753381,0.6624745,,,,
1,0.9666679,0.1777052,1.114938,0.1047717,0.1102403,0.3040997,-0.6683943,0.6697907,,,,
1,0.977779,0.1776422,1.115462,0.1041027,0.1285445,0.2969637,-0.6586927,0.6792737,,,,
1,0.9888902,0.1776422,1.115462,0.1041027,0.1285445,0.2969637,-0.6586927,0.6792737,,,,
1,1.000001,0.1780489,1.11697,0.1034782,0.1730991,0.2816409,-0.6356262,0.6976349,,,,
1,1.011112,0.1775495,1.117585,0.1027492,0.1889296,0.2765861,-0.6318366,0.6989908,,,,
1,1.022224,0.1763451,1.117861,0.1018426,0.1997373,0.2744071,-0.6290147,0.6993899,,,,
1,1.033335,0.1745979,1.118258,0.1006162,0.2050576,0.2771017,-0.6260974,0.6994056,,,,
1,1.044446,0.1734921,1.118566,0.09984247,0.2144521,0.276841,-0.6200137,0.7021056,,,,
1,1.055557,0.173493,1.118907,0.09959239,0.2276804,0.2734938,-0.61133,0.7068512,,,,
1,1.066668,0.1737419,1.119074,0.09957851,0.2440511,0.2664473,-0.602275,0.7118355,,,,
1,1.077779,0.1746631,1.11939,0.100354,0.2648795,0.2558138,-0.5910454,0.7176793,,,,
1,1.08889,0.176006,1.119978,0.1012611,0.2879767,0.2442095,-0.5762784,0.7247996,,,,
1,1.100002,0.176006,1.119978,0.1012611,0.2879767,0.2442095,-0.5762784,0.7247996,,,,
1,1.111113,0.176324,1.120882,0.1019648,-0.3194619,-0.2313211,0.5569787,-0.7308962,,,,
1,1.122224,0.1759138,1.120994,0.1017278,-0.3291583,-0.2289725,0.5524876,-0.730742,,,,
1,1.133335,0.1752369,1.121139,0.1013743,-0.333534,-0.230569,0.5497184,-0.7303442,,,,
