Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,-0.1102418,1.288082,0.4345716,0.1922386,0.2938237,-0.2990384,-0.8872925,0,18,45,5
1,0.02222222,-0.1109258,1.286673,0.4347782,0.192186,0.2931445,-0.2971976,-0.8881466,0,18,45,5
1,0.03333334,-0.1113822,1.285356,0.435729,0.1946093,0.2970606,-0.2937342,-0.8874697,0,18,45,5
1,0.04444445,-0.1119221,1.28422,0.4361013,0.1910291,0.2965783,-0.2919597,-0.8889931,0,18,45,5
1,0.05555556,-0.1118921,1.283914,0.4367121,0.1882553,0.3034613,-0.287527,-0.8887066,0,18,45,5
1,0.06666667,-0.1113351,1.283498,0.4372623,0.1868078,0.3098731,-0.2854257,-0.887476,0,18,45,5
1,0.07777778,-0.1110427,1.283779,0.43744,0.1856982,0.3131559,-0.286226,-0.8862981,0,18,45,5
1,0.08888889,-0.1108408,1.283706,0.4374161,0.1861943,0.3118958,-0.2889619,-0.8857504,0,18,45,5
1,0.1,-0.110907,1.283753,0.4368199,0.1885905,0.3068678,-0.2932142,-0.8856022,0,18,45,5
1,0.1111111,-0.110604,1.283412,0.4360529,0.1915634,0.3012363,-0.2966398,-0.8857567,0,18,45,5
1,0.1222222,-0.1101947,1.28332,0.4355835,0.1937147,0.2983617,-0.2983454,-0.885689,0,18,45,5
1,0.1333333,-0.1094086,1.283298,0.4352742,0.1951894,0.2976603,-0.2982108,-0.8856465,0,18,45,5
1,0.1444445,-0.1086793,1.283484,0.4352148,0.1959371,0.2986303,-0.2974229,-0.8854198,0,18,45,5
1,0.1555556,-0.1075763,1.283857,0.4352682,0.1955272,0.3010917,-0.2957055,-0.8852521,0,18,45,5
1,0.1666667,-0.1064456,1.284288,0.4349189,0.195579,0.300755,-0.2967819,-0.8849948,0,18,45,5
1,0.1777778,-0.1052545,1.284769,0.4345292,0.1957799,0.2987175,-0.2993692,-0.884769,0,18,45,5
