Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.1369445,1.46725,0.4560784,-0.2850184,-0.3823166,-0.5663766,0.6721727,,,,
1,0.02222222,0.1359934,1.46631,0.4569248,-0.2889324,-0.3819959,-0.5669416,0.6702048,,,,
1,0.03333334,0.1349489,1.465362,0.457551,-0.2935618,-0.3818393,-0.5680752,0.6673161,,,,
1,0.04444445,0.1341379,1.46418,0.4584196,-0.2960868,-0.3827771,-0.5696713,0.6642957,,,,
1,0.05555556,0.1334154,1.463605,0.4584137,-0.2928476,-0.3782984,-0.5738447,0.664705,,,,
1,0.06666667,0.133329,1.462555,0.4600606,-0.2951404,-0.3832546,-0.5704393,0.6637824,,,,
1,0.07777778,0.1330264,1.461749,0.4601563,-0.2937763,-0.3820682,-0.5691834,0.6661453,,,,
1,0.08888889,0.132535,1.461075,0.4603856,-0.2926383,-0.3799769,-0.5674702,0.6692966,,,,
1,0.1,0.1319827,1.46021,0.4606047,-0.2929169,-0.3768545,-0.5655863,0.672527,,,,
1,0.1111111,0.1302465,1.457948,0.4621231,-0.2935979,-0.3764297,-0.5650197,0.6729441,,,,
1,0.1222222,0.1302465,1.457948,0.4621231,-0.2935979,-0.3764297,-0.5650197,0.6729441,,,,
1,0.1333333,0.1283035,1.455179,0.4638809,-0.292945,-0.378642,-0.5671525,0.6701877,,,,
1,0.1444445,0.1274285,1.453927,0.4645203,-0.2917118,-0.3791261,-0.5677481,0.6699476,,,,
1,0.1555556,0.1263873,1.452446,0.465287,-0.2899735,-0.3786636,-0.5680297,0.6707246,,,,
1,0.1666667,0.1263873,1.452446,0.465287,-0.2899735,-0.3786636,-0.5680297,0.6707246,,,,
1,0.1777778,0.1241863,1.449303,0.465511,-0.291398,-0.3721209,-0.5664376,0.6751012,,,,
1,0.1888889,0.1226717,1.446771,0.4655238,-0.2931034,-0.3676453,-0.566879,0.6764433,,,,
1,0.2,0.1226717,1.446771,0.4655238,-0.2931034,-0.3676453,-0.566879,0.6764433,,,,
1,0.2111111,0.1212255,1.444435,0.465844,-0.2918935,-0.3659973,-0.5685872,0.6764264,,,,
1,0.2222222,0.1178815,1.438121,0.4663261,-0.2811325,-0.3648728,-0.5776122,0.673941,,,,
1,0.2333333,0.1178815,1.438121,0.4663261,-0.2811325,-0.3648728,-0.5776122,0.673941,,,,
1,0.2444444,0.1160237,1.43463,0.4664079,-0.2742058,-0.3641395,-0.5824848,0.6729971,,,,
1,0.2555556,0.1122179,1.427137,0.4670983,-0.2612007,-0.3625605,-0.5889463,0.6733992,,,,
1,0.2666667,0.1122179,1.427137,0.4670983,-0.2612007,-0.3625605,-0.5889463,0.6733992,,,,
1,0.2777778,0.1081593,1.418039,0.467502,-0.2518582,-0.3589658,-0.5911167,0.6769727,,,,
1,0.2888889,0.1057155,1.412691,0.4673958,-0.2489813,-0.3555793,-0.5909894,0.6799288,,,,
1,0.3,0.1029736,1.407056,0.4673285,-0.2460177,-0.3519607,-0.5911664,0.6827307,,,,
1,0.3111111,0.1003393,1.401103,0.4672404,-0.241105,-0.3495501,-0.5919554,0.6850343,,,,
1,0.3222222,0.1003393,1.401103,0.4672404,-0.241105,-0.3495501,-0.5919554,0.6850343,,,,
1,0.3333333,0.09784943,1.395363,0.4673639,-0.2335104,-0.3489223,-0.5929614,0.6871121,,,,
1,0.3444445,0.09534876,1.389549,0.4675894,-0.2246824,-0.3487568,-0.5930679,0.6900414,,,,
1,0.3555556,0.09296204,1.38385,0.4677137,-0.2159947,-0.3480226,-0.5930908,0.6931593,,,,
1,0.3666667,0.09048434,1.377774,0.4675469,-0.2066223,-0.3465788,-0.5923811,0.6973342,,,,
1,0.3777778,0.08734421,1.371116,0.4671579,-0.1994187,-0.3430235,-0.5925396,0.7010449,,,,
1,0.3888889,0.08342102,1.363561,0.4663953,-0.193813,-0.3372889,-0.5943569,0.7038556,,,,
1,0.4,0.08008631,1.356833,0.4661568,-0.1865726,-0.3347923,-0.5960581,0.7055632,,,,
1,0.4111111,0.07677968,1.349938,0.4661086,-0.1772987,-0.3337539,-0.5974188,0.7072936,,,,
1,0.4222222,0.07370886,1.34326,0.46601,-0.1681039,-0.3329855,-0.5975748,0.7097648,,,,
1,0.4333333,0.07089266,1.33611,0.4662191,-0.157688,-0.3337398,-0.595746,0.7133294,,,,
1,0.4444444,0.06806216,1.329076,0.4657846,-0.1474609,-0.3331438,-0.5927323,0.7182888,,,,
1,0.4555556,0.06514162,1.322031,0.4652122,-0.138046,-0.3312533,-0.5903925,0.7229462,,,,
1,0.4666667,0.06180978,1.314488,0.46426,-0.1282599,-0.3281227,-0.5885142,0.7276922,,,,
1,0.4777778,0.05798906,1.3067,0.4634047,-0.1189747,-0.3246524,-0.5880526,0.7311908,,,,
1,0.4888889,0.05415818,1.298768,0.4621948,-0.1095534,-0.3207563,-0.58807,0.7343618,,,,
1,0.5,0.0504944,1.291154,0.4610118,-0.09987532,-0.3167283,-0.5870861,0.7382668,,,,
1,0.5111111,0.04346967,1.27538,0.458534,-0.07466832,-0.3128945,-0.5854028,0.7441943,,,,
1,0.5222223,0.04346967,1.27538,0.458534,-0.07466832,-0.3128945,-0.5854028,0.7441943,,,,
1,0.5333334,0.0360533,1.258735,0.4553166,-0.05264065,-0.3086605,-0.5834418,0.7493686,,,,
1,0.5444446,0.03198621,1.250389,0.4532981,-0.04205,-0.3054748,-0.5822588,0.7522577,,,,
1,0.5555557,0.03198621,1.250389,0.4532981,-0.04205,-0.3054748,-0.5822588,0.7522577,,,,
1,0.5666668,0.02838623,1.242122,0.4513454,-0.02685821,-0.3047343,-0.5805104,0.7546014,,,,
1,0.577778,0.02164748,1.226597,0.447592,-0.002207428,-0.3006934,-0.5702267,0.7644738,,,,
1,0.5888891,0.01800229,1.218768,0.4454249,0.008158177,-0.2981691,-0.5648223,0.7694182,,,,
