Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.3912719,1.409283,0.4870312,0.2825622,0.2246384,0.6363751,-0.6817059,,,,
1,0.02222222,0.390315,1.408691,0.4875568,0.2881961,0.2211998,0.6357187,-0.681084,,,,
1,0.03333334,0.3885034,1.407064,0.4864061,0.2915046,0.2153432,0.6374847,-0.6799012,,,,
1,0.04444445,0.3877225,1.406337,0.4873558,0.2902213,0.2139724,0.6405697,-0.6779808,,,,
1,0.05555556,0.3865931,1.404513,0.4878799,0.2847573,0.2151949,0.6466092,-0.6741669,,,,
1,0.06666667,0.3851776,1.402135,0.4876734,-0.277984,-0.2172752,-0.6520727,0.671057,,,,
1,0.07777778,0.3836641,1.399674,0.4881054,-0.270964,-0.2197616,-0.6563517,0.6689438,,,,
1,0.08888889,0.3821253,1.397171,0.4885841,-0.266126,-0.2213632,-0.6589,0.6678517,,,,
1,0.1,0.3800327,1.394097,0.4889356,-0.2632155,-0.2223369,-0.6594469,0.668142,,,,
1,0.1111111,0.3772447,1.390167,0.4892224,-0.263113,-0.2207829,-0.6580697,0.6700527,,,,
1,0.1222222,0.3744424,1.386362,0.4893683,-0.2632882,-0.2185636,-0.6568921,0.6718646,,,,
1,0.1333333,0.3703123,1.381163,0.4889632,0.2644956,0.2123569,0.6533962,-0.6767718,,,,
1,0.1444445,0.3669495,1.376821,0.4885738,0.2619102,0.2087194,0.653375,-0.6789259,,,,
1,0.1555556,0.3632706,1.371887,0.4881989,0.2550972,0.2063243,0.6553935,-0.6803051,,,,
1,0.1666667,0.3599746,1.367198,0.4881536,0.2475251,0.2058267,0.6575815,-0.6811412,,,,
1,0.1777778,0.3568297,1.362183,0.4882234,0.2374103,0.2077053,0.659849,-0.6819781,,,,
1,0.1888889,0.3534701,1.356731,0.4884865,0.2271712,0.2104663,0.6615813,-0.6829403,,,,
1,0.2,0.349761,1.350815,0.4887844,-0.2185144,-0.2128396,-0.6626825,0.683961,,,,
1,0.2111111,0.34544,1.344406,0.4888231,-0.2127696,-0.2138468,-0.6638707,0.6843058,,,,
1,0.2222222,0.3404405,1.337399,0.4888519,-0.2085181,-0.2130711,-0.6651236,0.6846397,,,,
1,0.2333333,0.3351516,1.330477,0.4882302,-0.2037426,-0.2097712,-0.6661891,0.6860592,,,,
1,0.2444444,0.329652,1.323756,0.4872555,-0.1971788,-0.20422,-0.6671731,0.6886907,,,,
1,0.2555556,0.3243265,1.317411,0.4865737,-0.1897297,-0.1992932,-0.6682044,0.6912219,,,,
1,0.2666667,0.3188007,1.310494,0.4857639,-0.1797189,-0.1954737,-0.6692636,0.6939577,,,,
1,0.2777778,0.3136474,1.303411,0.4855103,-0.1695765,-0.1947938,-0.6708497,0.6951689,,,,
1,0.2888889,0.3079919,1.295587,0.4850415,-0.1581399,-0.1966862,-0.6737493,0.6945274,,,,
1,0.3,0.3018999,1.287192,0.4844092,-0.147142,-0.1983844,-0.6779241,0.6923957,,,,
1,0.3111111,0.2954326,1.278688,0.483386,-0.1363322,-0.1987765,-0.683273,0.689231,,,,
1,0.3222222,0.2889118,1.270457,0.4823644,-0.1261199,-0.1974641,-0.6874141,0.6874325,,,,
1,0.3333333,0.2820699,1.262133,0.4809448,-0.1168329,-0.193928,-0.6898892,0.6876009,,,,
1,0.3444445,0.2754084,1.253916,0.4791939,-0.1078164,-0.1901499,-0.6900491,0.6899645,,,,
1,0.3555556,0.2687586,1.245602,0.4774377,-0.0981767,-0.1861061,-0.6887487,0.6937947,,,,
1,0.3666667,0.2622417,1.237184,0.4756708,-0.08765503,-0.1836308,-0.6882808,0.6963231,,,,
1,0.3777778,0.2555326,1.228106,0.4734094,-0.07425138,-0.1833919,-0.6888533,0.6973773,,,,
1,0.3888889,0.2487751,1.219389,0.4714627,-0.0623103,-0.1825447,-0.6904175,0.697222,,,,
1,0.4,0.2417602,1.210371,0.469439,-0.04967073,-0.1823501,-0.6928041,0.6959194,,,,
1,0.4111111,0.2348512,1.201468,0.4671644,-0.03727675,-0.1822478,-0.6949853,0.6945441,,,,
1,0.4222222,0.2275744,1.192085,0.4647011,-0.02416501,-0.1827894,-0.6974308,0.6925275,,,,
1,0.4333333,0.2204972,1.18287,0.4619924,-0.01091469,-0.1820448,-0.6990055,0.6914708,,,,
1,0.4444444,0.2134408,1.174046,0.459093,0.001933955,-0.180282,-0.6994904,0.6915257,,,,
