Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,-0.1180774,1.271394,0.4574439,0.1752781,-0.4511019,-0.6144643,0.6230718,,,,
1,0.02222222,-0.1185687,1.271042,0.4582371,0.1723203,-0.4569013,-0.6108052,0.6232687,,,,
1,0.03333334,-0.1184529,1.271243,0.4582164,0.1711545,-0.4589809,-0.6053122,0.6274071,,,,
1,0.04444445,-0.1182861,1.272336,0.456979,0.166928,-0.4579138,-0.5992868,0.6350633,,,,
1,0.05555556,-0.1181748,1.272632,0.4562065,0.1645209,-0.4575123,-0.5940701,0.6408557,,,,
1,0.06666667,-0.1181019,1.27329,0.4556396,0.1653797,-0.457846,-0.5883757,0.6456318,,,,
1,0.07777778,-0.1180614,1.27382,0.4555637,0.1694196,-0.4609042,-0.5829934,0.6472889,,,,
1,0.08888889,-0.1180808,1.274202,0.4557321,0.173786,-0.4653535,-0.5782635,0.6471906,,,,
1,0.1,-0.1180983,1.274671,0.4553761,0.1760489,-0.4679511,-0.5741889,0.6483329,,,,
1,0.1111111,-0.1182018,1.275313,0.4544968,0.1773152,-0.4674909,-0.5713859,0.6507916,,,,
1,0.1222222,-0.1179944,1.276115,0.4534038,0.1788922,-0.4657843,-0.5697356,0.6530267,,,,
1,0.1333333,-0.1177362,1.27672,0.4526337,0.1816463,-0.4649685,-0.5677654,0.6545619,,,,
1,0.1444445,-0.1170767,1.277866,0.4517332,0.1852551,-0.4635321,-0.5661582,0.65596,,,,
1,0.1555556,-0.1163413,1.279322,0.450783,0.187782,-0.4622826,-0.5632077,0.6586576,,,,
1,0.1666667,-0.1154063,1.280845,0.4497339,0.1906917,-0.4610579,-0.5600849,0.6613374,,,,
1,0.1777778,-0.1135212,1.283203,0.4484034,0.1969881,-0.459298,-0.5567425,0.6635351,,,,
1,0.1888889,-0.1119404,1.28539,0.447319,0.2026994,-0.4588552,-0.5527773,0.6654338,,,,
1,0.2,-0.1097377,1.288129,0.4461814,0.2069246,-0.4596584,-0.5469053,0.6684244,,,,
1,0.2111111,-0.1076875,1.290812,0.4448821,0.2070897,-0.4610437,-0.5401549,0.6728933,,,,
1,0.2222222,-0.1041307,1.294771,0.4436071,0.2000157,-0.466246,-0.5282814,0.6808282,,,,
1,0.2333333,-0.1010801,1.29831,0.4423023,0.1959395,-0.4695526,-0.5186003,0.6871548,,,,
