Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0.01111111,0.5087233,1.435107,0.125618,0.3309605,-0.5262752,-0.5018202,-0.6013951
4,0.02222222,0.5097549,1.434306,0.1255867,0.3360847,-0.5340925,-0.4834645,-0.606675
4,0.03333334,0.5104756,1.43356,0.1253951,0.3429119,-0.5411749,-0.4658697,-0.6103333
4,0.04444445,0.5101726,1.433122,0.1255655,0.3572091,-0.5470114,-0.4384093,-0.6172337
4,0.05555556,0.509829,1.432781,0.1268916,0.3699767,-0.5487055,-0.4138229,-0.6251322
4,0.06666667,0.5083938,1.432063,0.130518,0.3714259,-0.5498271,-0.4090932,-0.6263991
4,0.07777778,0.5054355,1.431236,0.1366639,0.3643324,-0.5494006,-0.4240102,-0.6209962
4,0.08888889,0.5025392,1.430577,0.1423287,0.3597845,-0.5476419,-0.4360354,-0.6168604
4,0.1,0.4969189,1.429899,0.1514766,0.3594315,-0.5378717,-0.4527308,-0.6136268
4,0.1111111,0.493402,1.429574,0.1578515,0.3645956,-0.5322001,-0.4533904,-0.6150368
4,0.1222222,0.4891047,1.429078,0.1650264,0.3754005,-0.5243556,-0.4458057,-0.6207922
4,0.1333333,0.4855158,1.428446,0.1716352,0.3828666,-0.5197595,-0.4380811,-0.6255783
4,0.1444445,0.4822943,1.427404,0.1794116,0.3883579,-0.5165004,-0.4268962,-0.6325862
4,0.1555556,0.479233,1.426011,0.1879885,0.391447,-0.5124355,-0.4166734,-0.6407515
4,0.1666667,0.4758155,1.424159,0.1968725,0.3924723,-0.5072837,-0.4103451,-0.6482636
4,0.1777778,0.4721014,1.422748,0.2067945,0.3939192,-0.500057,-0.405046,-0.6562837
4,0.1888889,0.4681292,1.421323,0.2161376,0.3963212,-0.4925056,-0.4001192,-0.6635303
4,0.2,0.4636528,1.419725,0.2263632,0.3987121,-0.4841103,-0.396033,-0.6706891
4,0.2111111,0.4636528,1.419725,0.2263632,0.3987121,-0.4841103,-0.396033,-0.6706891
4,0.2222222,0.4542279,1.417021,0.246048,0.4046853,-0.4700401,-0.3862002,-0.6827456
4,0.2333333,0.4484727,1.415738,0.2561731,0.4083592,-0.463391,-0.3808139,-0.6881078
4,0.2444444,0.443399,1.414512,0.2656655,0.4123492,-0.4560161,-0.3746289,-0.694025
4,0.2555556,0.4374673,1.413318,0.2752569,0.4172405,-0.4474947,-0.367683,-0.7003344
4,0.2666667,0.431283,1.412235,0.2850206,0.4209407,-0.438696,-0.3619912,-0.7066239
4,0.2777778,0.4252059,1.410854,0.2949872,0.4234933,-0.4302883,-0.3574966,-0.7125319
4,0.2888889,0.4184244,1.40967,0.3050873,0.423565,-0.4230647,-0.3565573,-0.7172698
4,0.3,0.4119873,1.40834,0.3148103,0.4254052,-0.4159051,-0.3533658,-0.7219322
4,0.3111111,0.4047356,1.407149,0.3242264,0.4284739,-0.4084503,-0.3497046,-0.7261441
4,0.3222222,0.3974929,1.40629,0.3334746,0.4324258,-0.4000495,-0.3441025,-0.7311374
4,0.3333333,0.3903275,1.405321,0.3425481,0.4360075,-0.3913773,-0.3383411,-0.736374
4,0.3444445,0.3823955,1.404356,0.3515706,0.4392476,-0.3831115,-0.332137,-0.741601
4,0.3555556,0.3823955,1.404356,0.3515706,0.4392476,-0.3831115,-0.332137,-0.741601
4,0.3666667,0.3670526,1.402402,0.3691022,0.4435364,-0.3685567,-0.324783,-0.7496383
4,0.3777778,0.3591809,1.401453,0.3778613,0.4451054,-0.3613972,-0.3228052,-0.7530407
4,0.3888889,0.3507597,1.400474,0.3860612,0.4466963,-0.3540621,-0.3217768,-0.7560173
4,0.4,0.3422201,1.399699,0.3939309,0.4495123,-0.3459866,-0.3175257,-0.7598746
4,0.4111111,0.3337262,1.399145,0.4012139,0.4535083,-0.3381278,-0.3098601,-0.7641901
4,0.4222222,0.3254702,1.39848,0.408685,0.4566499,-0.3306381,-0.3017278,-0.7688367
4,0.4333333,0.3171697,1.398067,0.4155748,0.4588977,-0.3229345,-0.2900005,-0.7752587
4,0.4444444,0.3087337,1.397577,0.4232402,0.4604471,-0.3146299,-0.2819047,-0.7807217
4,0.4555556,0.3000398,1.397104,0.4303918,0.4612336,-0.3065849,-0.2774847,-0.7850297
4,0.4666667,0.2908051,1.396787,0.437501,0.4624598,-0.2981798,-0.2763991,-0.7879235
4,0.4777778,0.2813208,1.396572,0.4442687,0.4646645,-0.2895838,-0.275391,-0.7901823
4,0.4888889,0.2718632,1.396367,0.4508512,0.4673135,-0.2806872,-0.2727307,-0.7927488
