Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.011111,0.481775,1.255961,0.129921,0.357262,-0.575714,0.199389,-0.707928,,,,
1,0.022222,0.478877,1.258435,0.133335,0.360074,-0.569728,0.199069,-0.711427,,,,
1,0.033333,0.475979,1.260908,0.136748,0.362865,-0.563711,0.198738,-0.714886,,,,
1,0.044444,0.473081,1.263382,0.140161,0.365636,-0.557662,0.198396,-0.718306,,,,
1,0.055556,0.470182,1.265856,0.143575,0.368386,-0.551581,0.198042,-0.721685,,,,
1,0.066667,0.467284,1.268330,0.146988,0.371116,-0.545470,0.197678,-0.725023,,,,
1,0.077778,0.464386,1.270803,0.150402,0.373825,-0.539328,0.197302,-0.728321,,,,
1,0.088889,0.461488,1.273277,0.153815,0.376513,-0.533156,0.196916,-0.731578,,,,
1,0.100000,0.458590,1.275751,0.157228,0.379180,-0.526954,0.196518,-0.734794,,,,
1,0.111111,0.455692,1.278225,0.160642,0.381826,-0.520722,0.196110,-0.737969,,,,
1,0.122222,0.452794,1.280698,0.164055,0.384450,-0.514461,0.195690,-0.741102,,,,
1,0.133333,0.449896,1.283172,0.167468,0.387053,-0.508172,0.195259,-0.744194,,,,
1,0.144445,0.446997,1.285646,0.170882,0.389634,-0.501854,0.194818,-0.747244,,,,
1,0.155556,0.444099,1.288120,0.174295,0.392193,-0.495507,0.194365,-0.750253,,,,
1,0.166667,0.441201,1.290593,0.177709,0.394730,-0.489133,0.193902,-0.753219,,,,
1,0.177778,0.438303,1.293067,0.181122,0.397245,-0.482732,0.193428,-0.756143,,,,
1,0.188889,0.435405,1.295541,0.184535,0.399738,-0.476303,0.192942,-0.759024,,,,
1,0.200000,0.432507,1.298015,0.187949,0.402208,-0.469848,0.192447,-0.761863,,,,
1,0.211111,0.429609,1.300488,0.191362,0.404656,-0.463367,0.191940,-0.764659,,,,
1,0.222222,0.426711,1.302962,0.194775,0.407081,-0.456859,0.191422,-0.767413,,,,
1,0.233333,0.423812,1.305436,0.198189,0.409483,-0.450326,0.190894,-0.770123,,,,
1,0.244444,0.420914,1.307910,0.201602,0.411863,-0.443767,0.190355,-0.772790,,,,
1,0.255556,0.418016,1.310383,0.205015,0.414219,-0.437184,0.189806,-0.775414,,,,
1,0.266667,0.415118,1.312857,0.208429,0.416552,-0.430576,0.189245,-0.777994,,,,
1,0.277778,0.412220,1.315331,0.211842,0.418862,-0.423944,0.188674,-0.780531,,,,
1,0.288889,0.409322,1.317805,0.215256,0.421148,-0.417288,0.188093,-0.783024,,,,
1,0.300000,0.406424,1.320278,0.218669,0.423410,-0.410609,0.187501,-0.785473,,,,
1,0.311111,0.403525,1.322752,0.222082,0.425649,-0.403907,0.186899,-0.787878,,,,
1,0.322222,0.400627,1.325226,0.225496,0.427864,-0.397182,0.186286,-0.790238,,,,
1,0.333333,0.397729,1.327700,0.228909,0.430055,-0.390435,0.185662,-0.792555,,,,
1,0.344444,0.394831,1.330173,0.232322,0.432221,-0.383666,0.185028,-0.794827,,,,
1,0.355556,0.391933,1.332647,0.235736,0.434364,-0.376875,0.184384,-0.797054,,,,
1,0.366667,0.389035,1.335121,0.239149,0.436482,-0.370064,0.183730,-0.799237,,,,
1,0.377778,0.386137,1.337595,0.242563,0.438576,-0.363231,0.183065,-0.801375,,,,
1,0.388889,0.383239,1.340068,0.245976,0.440645,-0.356378,0.182390,-0.803468,,,,
1,0.400000,0.380340,1.342542,0.249389,0.442689,-0.349505,0.181704,-0.805516,,,,
1,0.411111,0.377442,1.345016,0.252803,0.444709,-0.342613,0.181009,-0.807518,,,,
1,0.422222,0.374544,1.347490,0.256216,0.446704,-0.335701,0.180303,-0.809476,,,,
1,0.433333,0.371646,1.349963,0.259629,0.448673,-0.328771,0.179587,-0.811388,,,,
1,0.444444,0.368748,1.352437,0.263043,0.450618,-0.321822,0.178861,-0.813255,,,,
1,0.455556,0.365850,1.354911,0.266456,0.452537,-0.314855,0.178125,-0.815075,,,,
1,0.466667,0.362952,1.357385,0.269869,0.454431,-0.307871,0.177379,-0.816851,,,,
1,0.477778,0.360053,1.359858,0.273283,0.456299,-0.300869,0.176624,-0.818580,,,,
1,0.488889,0.357155,1.362332,0.276696,0.458141,-0.293850,0.175858,-0.820264,,,,
1,0.500000,0.354257,1.364806,0.280110,0.459958,-0.286815,0.175082,-0.821901,,,,
1,0.511111,0.351359,1.367279,0.283523,0.461750,-0.279764,0.174297,-0.823493,,,,
1,0.522222,0.348461,1.369753,0.286936,0.463515,-0.272697,0.173502,-0.825038,,,,
1,0.533333,0.345563,1.372227,0.290350,0.465254,-0.265614,0.172697,-0.826537,,,,
1,0.544445,0.342665,1.374701,0.293763,0.466968,-0.258517,0.171882,-0.827990,,,,
1,0.555556,0.339767,1.377174,0.297176,0.468655,-0.251406,0.171058,-0.829396,,,,
1,0.566667,0.336868,1.379648,0.300590,0.470315,-0.244280,0.170224,-0.830755,,,,
1,0.577778,0.333970,1.382122,0.304003,0.471950,-0.237140,0.169381,-0.832069,,,,
