Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.4758019,1.263345,0.1368739,0.3572311,-0.5532355,0.1794643,-0.7308277,,,,
1,0.02222222,0.4759319,1.263157,0.1373163,0.3572287,-0.555245,0.1809959,-0.7289246,,,,
1,0.03333334,0.4758185,1.262984,0.1377799,0.3566708,-0.5568949,0.1827185,-0.727508,,,,
1,0.04444445,0.4755809,1.262834,0.1387311,0.353421,-0.559333,0.1840602,-0.7268852,,,,
1,0.05555556,0.4752205,1.262353,0.1401554,0.3504676,-0.5618105,0.1848418,-0.7262058,,,,
1,0.06666667,0.474822,1.262032,0.1414358,0.3462042,-0.5644298,0.1851945,-0.7261299,,,,
1,0.07777778,0.474162,1.261089,0.1434869,0.3438222,-0.5663173,0.1871105,-0.7253004,,,,
1,0.08888889,0.4730787,1.260297,0.1462082,0.3424186,-0.5670753,0.1918492,-0.7241332,,,,
1,0.1,0.4730787,1.260297,0.1462082,0.3420545,-0.5677149,0.197076,-0.7223985,,,,
1,0.1111111,0.4697579,1.258314,0.153958,0.3416166,-0.5690692,0.1998263,-0.7207829,,,,
1,0.1222222,0.4678699,1.25733,0.1583407,0.3406017,-0.5706695,0.20045,-0.719824,,,,
1,0.1333333,0.4657953,1.256364,0.1628414,0.3388562,-0.5707662,0.2014678,-0.7202868,,,,
1,0.1444445,0.4630913,1.255359,0.1683128,0.3369174,-0.5699626,0.2031353,-0.7213635,,,,
1,0.1555556,0.4603899,1.254458,0.1739843,0.3339831,-0.5669668,0.2056899,-0.7243587,,,,
1,0.1666667,0.4573285,1.253489,0.1802999,0.3298998,-0.5627902,0.2090467,-0.7285141,,,,
1,0.1777778,0.4541315,1.252588,0.1865156,0.3253293,-0.5580502,0.2127194,-0.733138,,,,
1,0.1888889,0.4503467,1.251671,0.1933943,0.3211589,-0.5537773,0.2159405,-0.7372636,,,,
1,0.2,0.4460882,1.250505,0.2010637,0.3170425,-0.5484138,0.2200446,-0.7418267,,,,
1,0.2111111,0.4414293,1.249256,0.2089962,0.314195,-0.5415702,0.2254374,-0.7464323,,,,
1,0.2222222,0.4363989,1.247866,0.2173985,0.3118172,-0.5340684,0.2313769,-0.7510031,,,,
1,0.2333333,0.4313748,1.246468,0.2256494,0.3093365,-0.5273157,0.2355477,-0.7554908,,,,
1,0.2444444,0.4255238,1.245243,0.2346483,0.3060056,-0.521286,0.2387472,-0.7600141,,,,
1,0.2555556,0.4192851,1.244243,0.2437261,0.3013788,-0.5140389,0.2421632,-0.7656969,,,,
1,0.2666667,0.4135037,1.243252,0.2524461,0.2952399,-0.5053336,0.2467694,-0.7723836,,,,
1,0.2777778,0.4067769,1.242583,0.2615963,0.2892523,-0.4966702,0.2518611,-0.7785999,,,,
1,0.2888889,0.399558,1.241923,0.2710673,0.2812789,-0.4858324,0.2585059,-0.7861448,,,,
1,0.3,0.3920303,1.241324,0.2806782,0.2732526,-0.4750112,0.2649435,-0.7934118,,,,
1,0.3111111,0.3841044,1.240879,0.2900165,0.2653002,-0.4642199,0.2711167,-0.8003821,,,,
1,0.3222222,0.3841044,1.240879,0.2900165,0.2572706,-0.4525753,0.2773809,-0.8074943,,,,
1,0.3333333,0.3677983,1.240299,0.3084306,0.2498703,-0.4413253,0.2822653,-0.8143237,,,,
1,0.3444445,0.3677983,1.240299,0.3084306,0.2419397,-0.4287982,0.2858138,-0.822136,,,,
1,0.3555556,0.3499521,1.239169,0.326993,0.2345216,-0.4157699,0.287166,-0.8304641,,,,
1,0.3666667,0.3406164,1.239166,0.3356433,0.2274028,-0.4019682,0.2875073,-0.8390763,,,,
1,0.3777778,0.3308466,1.239359,0.344236,0.2200663,-0.3875575,0.2879543,-0.8476157,,,,
1,0.3888889,0.3210119,1.239373,0.3530532,0.212904,-0.3732648,0.2887099,-0.8555652,,,,
1,0.4,0.3110365,1.239538,0.3616306,0.2056926,-0.3599604,0.2896886,-0.8626701,,,,
1,0.4111111,0.3001675,1.240477,0.3691629,0.198663,-0.3464773,0.2906135,-0.8695001,,,,
1,0.4222222,0.2899302,1.241054,0.3772756,0.192098,-0.3312785,0.293507,-0.8759032,,,,
1,0.4333333,0.2791544,1.242007,0.3845489,0.1858154,-0.3168552,0.295609,-0.8818677,,,,
1,0.4444444,0.2681325,1.243124,0.3917331,0.1807681,-0.3025889,0.2958043,-0.8878416,,,,
1,0.4555556,0.2570055,1.244371,0.3984386,0.1761651,-0.2883709,0.2950927,-0.893716,,,,
1,0.4666667,0.246316,1.245685,0.4050378,0.171993,-0.2735472,0.2948157,-0.8992631,,,,
1,0.4777778,0.2349447,1.247449,0.4113218,0.1674578,-0.2585204,0.2948398,-0.9045411,,,,
1,0.4888889,0.2349447,1.247449,0.4113218,0.1631522,-0.2431887,0.2952246,-0.9094411,,,,
1,0.5,0.2129306,1.251637,0.4228895,0.158064,-0.2269133,0.2964794,-0.9141259,,,,
1,0.5111111,0.2021519,1.254038,0.4284633,0.1528327,-0.2108302,0.2976158,-0.9184867,,,,
1,0.5222223,0.2021519,1.254038,0.4284633,0.1475713,-0.1943174,0.2991426,-0.9224843,,,,
1,0.5333334,0.1805132,1.260683,0.4369373,0.1424938,-0.1764517,0.302322,-0.9258302,,,,
1,0.5444446,0.1697853,1.263806,0.4415396,0.1375148,-0.1596172,0.3048904,-0.9287915,,,,
1,0.5555557,0.1587081,1.267747,0.4453594,0.132596,-0.143389,0.3071834,-0.9313948,,,,
1,0.5666668,0.1479528,1.271564,0.4486455,0.1289434,-0.1280403,0.3092203,-0.9334677,,,,
1,0.577778,0.1479528,1.271564,0.4486455,0.126849,-0.1126878,0.3100268,-0.9354647,,,,
1,0.5888891,0.1270262,1.279977,0.4547853,0.125376,-0.09578265,0.3109486,-0.9372393,,,,
1,0.6000003,0.1171114,1.285505,0.456376,0.1230599,-0.07832558,0.3116787,-0.9389237,,,,
1,0.6111114,0.1069813,1.290548,0.458823,0.1214813,-0.06044091,0.3120683,-0.9403205,,,,
1,0.6222225,0.09731746,1.29615,0.4600621,0.118768,-0.04306236,0.3134318,-0.9411697,,,,
1,0.6333337,0.08843405,1.302295,0.4610803,0.1158125,-0.02405299,0.3169042,-0.941053,,,,
1,0.6444448,0.0801755,1.308645,0.4618357,0.1108166,-0.00268729,0.3240477,-0.9395241,,,,
1,0.655556,0.0719974,1.315176,0.462787,0.1052344,0.02074753,0.3319911,-0.9371644,,,,
1,0.6666671,0.0719974,1.315176,0.462787,-0.101065,-0.04291999,-0.3369836,0.935086,,,,
1,0.6777782,0.05672138,1.329392,0.4629479,-0.0977304,-0.06466107,-0.3415289,0.9325373,,,,
1,0.6888894,0.05672138,1.329392,0.4629479,-0.09435348,-0.08421595,-0.3452866,0.9299366,,,,
1,0.7000005,0.04332466,1.345952,0.4607798,-0.0906145,-0.1005854,-0.3502341,0.9268267,,,,
1,0.7111117,0.03803575,1.35412,0.4595531,-0.08929071,-0.1164802,-0.3522872,0.9243123,,,,
1,0.7222228,0.03361077,1.362605,0.4584813,-0.0927306,-0.1352737,-0.3554106,0.9202094,,,,
1,0.7333339,0.03083137,1.371497,0.4574495,-0.09870718,-0.154515,-0.3577456,0.9156418,,,,
1,0.7444451,0.03083137,1.371497,0.4574495,-0.1057738,-0.1742902,-0.3600242,0.910394,,,,
1,0.7555562,0.02517447,1.389465,0.4535715,-0.1161208,-0.1881032,-0.3616773,0.9057166,,,,
1,0.7666674,0.02517447,1.389465,0.4535715,-0.1250932,-0.2001839,-0.3646943,0.9007087,,,,
1,0.7777785,0.02438824,1.407468,0.447524,-0.1385906,-0.2074754,-0.3692228,0.8952212,,,,
1,0.7888896,0.02469259,1.416214,0.4451906,-0.1543877,-0.211912,-0.3734293,0.8898361,,,,
1,0.8000008,0.02469259,1.416214,0.4451906,-0.1694116,-0.2176462,-0.3769662,0.8842095,,,,
1,0.8111119,0.03117801,1.432639,0.4409299,-0.1890623,-0.2193438,-0.3834334,0.8769964,,,,
1,0.8222231,0.03568873,1.439885,0.4383326,-0.2049005,-0.2231855,-0.3898162,0.8696249,,,,
1,0.8333342,0.03568873,1.439885,0.4383326,-0.2232346,-0.2218513,-0.3984679,0.8614938,,,,
1,0.8444453,0.04604847,1.453237,0.4337894,-0.2405237,-0.2182189,-0.4089849,0.8527955,,,,
1,0.8555565,0.05349837,1.458646,0.4314517,-0.2561384,-0.2157938,-0.4185463,0.8441831,,,,
1,0.8666676,0.06173277,1.462746,0.429688,-0.2714719,-0.2098116,-0.429,0.8356082,,,,
1,0.8777788,0.07072174,1.466381,0.4276823,-0.2869378,-0.201567,-0.4381911,0.827663,,,,
1,0.8888899,0.08014894,1.468472,0.4260843,-0.3030003,-0.1918441,-0.4449245,0.8206271,,,,
1,0.900001,0.08978951,1.469911,0.4243205,-0.3195665,-0.1795078,-0.4498243,0.81444,,,,
1,0.9111122,0.09988307,1.469991,0.423305,0.3356869,0.1653452,0.4534988,-0.8088968,,,,
1,0.9222233,0.09988307,1.469991,0.423305,0.35055,0.14997,0.456189,-0.8040617,,,,
1,0.9333345,0.1211477,1.468781,0.4203073,0.3643943,0.13583,0.4588402,-0.7988947,,,,
1,0.9444456,0.1324102,1.465611,0.4188432,0.3765667,0.118179,0.4595573,-0.795637,,,,
1,0.9555568,0.1443394,1.462758,0.4170962,0.3888477,0.09849975,0.4589039,-0.7927815,,,,
1,0.9666679,0.1555845,1.457889,0.4159742,0.3996239,0.07857318,0.4580216,-0.7901539,,,,
1,0.977779,0.1555845,1.457889,0.4159742,0.4078985,0.05882543,0.4581821,-0.7875454,,,,
1,0.9888902,0.1792473,1.446882,0.4133671,0.4133222,0.03929575,0.4593082,-0.7852748,,,,
1,1.000001,0.1912525,1.439026,0.4112338,0.4183308,0.02103202,0.4612346,-0.782189,,,,
1,1.011112,0.1912525,1.439026,0.4112338,0.4173125,0.001460895,0.4650742,-0.7807395,,,,
1,1.022224,0.2140166,1.424635,0.4079899,0.4192652,-0.01836275,0.4671159,-0.7782559,,,,
1,1.033335,0.2246618,1.414969,0.4061403,0.4199859,-0.0393317,0.4687871,-0.7760823,,,,
1,1.044446,0.2347829,1.404749,0.404206,0.4178995,-0.06309916,0.4697748,-0.7750421,,,,
1,1.055557,0.2442039,1.395066,0.4024064,0.4148836,-0.08763467,0.4705718,-0.773792,,,,
