Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.011111,0.480541,1.250204,0.138069,0.390677,-0.561819,0.243550,-0.687324,,,,
1,0.022222,0.473926,1.245351,0.141956,0.378494,-0.558659,0.254718,-0.692648,,,,
1,0.033333,0.467311,1.240498,0.145844,0.366192,-0.555325,0.265808,-0.697756,,,,
1,0.044444,0.460695,1.235644,0.149731,0.353777,-0.551818,0.276815,-0.702647,,,,
1,0.055556,0.454080,1.230791,0.153619,0.341251,-0.548139,0.287735,-0.707319,,,,
1,0.066667,0.447465,1.225938,0.157507,0.328619,-0.544290,0.298566,-0.711770,,,,
1,0.077778,0.440850,1.221085,0.161394,0.315885,-0.540271,0.309304,-0.716000,,,,
1,0.088889,0.434234,1.216232,0.165282,0.303052,-0.536083,0.319945,-0.720006,,,,
1,0.100000,0.427619,1.211379,0.169169,0.290125,-0.531729,0.330487,-0.723789,,,,
1,0.111111,0.421004,1.206525,0.173057,0.277107,-0.527209,0.340926,-0.727346,,,,
1,0.122222,0.414389,1.201672,0.176945,0.264003,-0.522525,0.351259,-0.730676,,,,
1,0.133333,0.407774,1.196819,0.180832,0.250817,-0.517678,0.361482,-0.733779,,,,
1,0.144445,0.401158,1.191966,0.184720,0.237553,-0.512670,0.371593,-0.736653,,,,
1,0.155556,0.394543,1.187113,0.188607,0.224214,-0.507502,0.381588,-0.739298,,,,
1,0.166667,0.387928,1.182260,0.192495,0.210806,-0.502176,0.391464,-0.741712,,,,
1,0.177778,0.381313,1.177406,0.196383,0.197332,-0.496693,0.401218,-0.743895,,,,
1,0.188889,0.374697,1.172553,0.200270,0.183797,-0.491056,0.410847,-0.745847,,,,
1,0.200000,0.368082,1.167700,0.204158,0.170205,-0.485266,0.420348,-0.747566,,,,
1,0.211111,0.361467,1.162847,0.208045,0.156559,-0.479324,0.429718,-0.749053,,,,
1,0.222222,0.354852,1.157994,0.211933,0.142865,-0.473234,0.438954,-0.750306,,,,
1,0.233333,0.348237,1.153140,0.215821,0.129126,-0.466996,0.448054,-0.751325,,,,
1,0.244444,0.341621,1.148287,0.219708,0.115347,-0.460612,0.457014,-0.752110,,,,
1,0.255556,0.335006,1.143434,0.223596,0.101532,-0.454085,0.465832,-0.752661,,,,
1,0.266667,0.328391,1.138581,0.227483,0.087685,-0.447417,0.474504,-0.752978,,,,
1,0.277778,0.321776,1.133728,0.231371,0.073812,-0.440609,0.483029,-0.753060,,,,
1,0.288889,0.315160,1.128875,0.235259,0.059915,-0.433664,0.491403,-0.752907,,,,
1,0.300000,0.308545,1.124021,0.239146,0.045999,-0.426584,0.499624,-0.752520,,,,
1,0.311111,0.301930,1.119168,0.243034,0.032069,-0.419371,0.507690,-0.751898,,,,
1,0.322222,0.295315,1.114315,0.246921,0.018129,-0.412027,0.515597,-0.751042,,,,
1,0.333333,0.288700,1.109462,0.250809,0.004184,-0.404555,0.523344,-0.749953,,,,
1,0.344444,0.282084,1.104609,0.254697,-0.009763,-0.396957,0.530928,-0.748629,,,,
1,0.355556,0.275469,1.099755,0.258584,-0.023707,-0.389235,0.538346,-0.747073,,,,
1,0.366667,0.268854,1.094902,0.262472,-0.037643,-0.381392,0.545597,-0.745283,,,,
1,0.377778,0.262239,1.090049,0.266359,-0.051568,-0.373430,0.552677,-0.743262,,,,
1,0.388889,0.255623,1.085196,0.270247,-0.065476,-0.365352,0.559586,-0.741009,,,,
1,0.400000,0.249008,1.080343,0.274135,-0.079365,-0.357160,0.566320,-0.738525,,,,
1,0.411111,0.242393,1.075490,0.278022,-0.093228,-0.348857,0.572878,-0.735811,,,,
1,0.422222,0.235778,1.070636,0.281910,-0.107063,-0.340445,0.579257,-0.732868,,,,
1,0.433333,0.229163,1.065783,0.285797,-0.120864,-0.331927,0.585456,-0.729697,,,,
