Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.011111,0.480541,1.250204,0.138069,0.390677,-0.561819,0.243550,-0.687324,,,,
1,0.022222,0.475068,1.252863,0.141388,0.390078,-0.554132,0.249083,-0.691906,,,,
1,0.033333,0.469594,1.255521,0.144708,0.389435,-0.546385,0.254588,-0.696412,,,,
1,0.044444,0.464121,1.258180,0.148027,0.388749,-0.538576,0.260065,-0.700839,,,,
1,0.055556,0.458647,1.260839,0.151347,0.388020,-0.530708,0.265513,-0.705189,,,,
1,0.066667,0.453174,1.263498,0.154666,0.387248,-0.522781,0.270932,-0.709461,,,,
1,0.077778,0.447700,1.266156,0.157986,0.386433,-0.514795,0.276320,-0.713654,,,,
1,0.088889,0.442227,1.268815,0.161306,0.385575,-0.506753,0.281678,-0.717768,,,,
1,0.100000,0.436753,1.271474,0.164625,0.384674,-0.498654,0.287005,-0.721802,,,,
1,0.111111,0.431280,1.274132,0.167945,0.383731,-0.490500,0.292300,-0.725756,,,,
1,0.122222,0.425806,1.276791,0.171264,0.382745,-0.482291,0.297562,-0.729629,,,,
1,0.133333,0.420333,1.279450,0.174584,0.381716,-0.474029,0.302791,-0.733421,,,,
1,0.144445,0.414859,1.282109,0.177903,0.380645,-0.465715,0.307987,-0.737132,,,,
1,0.155556,0.409386,1.284767,0.181223,0.379532,-0.457348,0.313149,-0.740761,,,,
1,0.166667,0.403912,1.287426,0.184542,0.378376,-0.448931,0.318275,-0.744307,,,,
1,0.177778,0.398439,1.290085,0.187862,0.377179,-0.440464,0.323367,-0.747771,,,,
1,0.188889,0.392965,1.292743,0.191182,0.375939,-0.431948,0.328422,-0.751152,,,,
1,0.200000,0.387492,1.295402,0.194501,0.374658,-0.423384,0.333441,-0.754450,,,,
1,0.211111,0.382019,1.298061,0.197821,0.373335,-0.414773,0.338423,-0.757664,,,,
1,0.222222,0.376545,1.300720,0.201140,0.371971,-0.406116,0.343367,-0.760793,,,,
1,0.233333,0.371072,1.303378,0.204460,0.370566,-0.397414,0.348273,-0.763838,,,,
1,0.244444,0.365598,1.306037,0.207779,0.369119,-0.388667,0.353141,-0.766799,,,,
1,0.255556,0.360125,1.308696,0.211099,0.367632,-0.379878,0.357969,-0.769674,,,,
1,0.266667,0.354651,1.311354,0.214418,0.366103,-0.371046,0.362758,-0.772464,,,,
1,0.277778,0.349178,1.314013,0.217738,0.364534,-0.362173,0.367506,-0.775167,,,,
1,0.288889,0.343704,1.316672,0.221057,0.362924,-0.353260,0.372214,-0.777785,,,,
1,0.300000,0.338231,1.319330,0.224377,0.361275,-0.344308,0.376880,-0.780317,,,,
1,0.311111,0.332757,1.321989,0.227697,0.359585,-0.335318,0.381504,-0.782762,,,,
1,0.322222,0.327284,1.324648,0.231016,0.357855,-0.326290,0.386086,-0.785120,,,,
1,0.333333,0.321810,1.327307,0.234336,0.356085,-0.317226,0.390625,-0.787390,,,,
1,0.344444,0.316337,1.329965,0.237655,0.354276,-0.308127,0.395121,-0.789574,,,,
1,0.355556,0.310863,1.332624,0.240975,0.352427,-0.298993,0.399573,-0.791669,,,,
