ExpNum,TestNum,StartFrame,EndFrame,VecDistance,,,動作1,動作2,動作3,動作4,動作5,動作6
1,1,0,89,0.963382414,,1回目,0.334284826,0.664559549,-0.084185629,0.583762874,0.619120563,0.166031942
1,1,90,179,0.934956208,,2回目,0.271026514,0.822921561,0.254155044,0.635886944,0.706338611,0.932617862
1,1,180,269,0.882932593,,3回目,0.92253067,0.948682425,0.03893392,0.767817504,0.927067644,0.896115589
1,1,270,359,0.829960375,,4回目,0.92025713,0.944760662,0.906414259,0.913598679,,
1,1,360,449,-0.941501656,,5回目,,,0.626378207,,,
1,1,450,539,0.84458343,,6回目,,,0.893078456,,,
1,1,540,629,-0.066217147,,,,,,,,
1,1,630,719,-0.773817606,0.334284826,,,,,,,
1,2,0,89,0.999900804,-1111,,,,,,,
1,2,90,179,0.99948948,-1111,,,,,,,
1,2,180,269,0.992215702,-1111,,,,,,,
1,2,270,359,0.992950737,-1111,,,,,,,
1,2,360,449,-0.879003255,-1111,,,,,,,
1,2,450,539,-0.865239615,-1111,,,,,,,
1,2,540,629,0.332199682,-1111,,,,,,,
1,2,630,719,-0.40430142,0.271026514,,,,,,,
1,3,0,89,0.996535729,-1111,,,,,,,
1,3,90,179,0.995217338,-1111,,,,,,,
1,3,180,269,0.999211695,-1111,,,,,,,
1,3,270,359,0.982401663,-1111,,,,,,,
1,3,360,449,0.743100746,-1111,,,,,,,
1,3,450,539,0.982971108,-1111,,,,,,,
1,3,540,629,0.747803431,-1111,,,,,,,
1,3,630,719,0.933003653,0.92253067,,,,,,,
1,4,0,89,0.970436681,-1111,,,,,,,
1,4,90,179,0.959302848,-1111,,,,,,,
1,4,180,269,0.998101242,-1111,,,,,,,
1,4,270,359,0.999412219,-1111,,,,,,,
1,4,360,449,0.972239324,-1111,,,,,,,
1,4,450,539,0.971154014,-1111,,,,,,,
1,4,540,629,0.530776649,-1111,,,,,,,
1,4,630,719,0.960634063,0.92025713,,,,,,,
2,1,0,89,0.982481964,-1111,,,,,,,
2,1,90,179,0.967336331,-1111,,,,,,,
2,1,180,269,0.987018117,-1111,,,,,,,
2,1,270,359,0.930044564,-1111,,,,,,,
2,1,360,449,0.866391668,-1111,,,,,,,
2,1,450,539,0.593066169,-1111,,,,,,,
2,1,540,629,-0.878522838,-1111,,,,,,,
2,1,630,719,0.868660418,0.664559549,,,,,,,
2,2,0,89,0.866541209,-1111,,,,,,,
2,2,90,179,0.913843824,-1111,,,,,,,
2,2,180,269,0.962401829,-1111,,,,,,,
2,2,270,359,0.905551245,-1111,,,,,,,
2,2,360,449,0.907652895,-1111,,,,,,,
2,2,450,539,0.358007427,-1111,,,,,,,
2,2,540,629,0.702640059,-1111,,,,,,,
2,2,630,719,0.966734003,0.822921561,,,,,,,
2,3,0,89,0.961315877,-1111,,,,,,,
2,3,90,179,0.937888992,-1111,,,,,,,
2,3,180,269,0.981157397,-1111,,,,,,,
2,3,270,359,0.906804836,-1111,,,,,,,
2,3,360,449,0.964196308,-1111,,,,,,,
2,3,450,539,0.872944477,-1111,,,,,,,
2,3,540,629,0.98544153,-1111,,,,,,,
2,3,630,719,0.979709986,0.948682425,,,,,,,
2,4,0,89,0.983196594,-1111,,,,,,,
2,4,90,179,0.966562247,-1111,,,,,,,
2,4,180,269,0.985334805,-1111,,,,,,,
2,4,270,359,0.900818378,-1111,,,,,,,
2,4,360,449,0.95793367,-1111,,,,,,,
2,4,450,539,0.872693452,-1111,,,,,,,
2,4,540,629,0.908911677,-1111,,,,,,,
2,4,630,719,0.982634469,0.944760662,,,,,,,
3,1,0,89,0.944340381,-1111,,,,,,,
3,1,90,179,-0.895957639,-1111,,,,,,,
3,1,180,269,-0.387134737,-1111,,,,,,,
3,1,270,359,0.647124338,-1111,,,,,,,
3,1,360,449,0.976758883,-1111,,,,,,,
3,1,450,539,-0.354915944,-1111,,,,,,,
3,1,540,629,-0.980713269,-1111,,,,,,,
3,1,630,719,-0.622987047,-0.084185629,,,,,,,
3,2,0,89,0.996258034,-1111,,,,,,,
3,2,90,179,0.76149221,-1111,,,,,,,
3,2,180,269,0.919260237,-1111,,,,,,,
3,2,270,359,-0.874864925,-1111,,,,,,,
3,2,360,449,-0.826668765,-1111,,,,,,,
3,2,450,539,-0.722777923,-1111,,,,,,,
3,2,540,629,0.8500537,-1111,,,,,,,
