Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,0.2444444,0.4400845,1.183521,-0.1658399,-0.09241605,-0.6660745,0.03898213,-0.7391106,,,,,,0.15
1,0.2555556,0.4391184,1.179566,-0.1592622,-0.1009536,-0.656945,0.03779617,-0.7461925,,,,,,
1,0.2666667,0.437688,1.175342,-0.1530139,-0.1094094,-0.6479038,0.03611988,-0.7529579,,,,,,
1,0.2777778,0.4367027,1.171259,-0.1462674,-0.1185221,-0.638315,0.03413509,-0.7598298,,,,,,
1,0.2888889,0.4349737,1.166989,-0.1398687,-0.1269271,-0.6292474,0.03268674,-0.7660736,,,,,,
1,0.3,0.433257,1.162534,-0.1336552,-0.1352066,-0.6200308,0.03161436,-0.7721927,,,,,,
1,0.3111111,0.4313463,1.158119,-0.1273884,-0.1432829,-0.6105998,0.03140216,-0.7782363,,,,,,
1,0.3222222,0.4294415,1.153497,-0.1210611,-0.1513669,-0.601101,0.03115721,-0.7840886,,,,,,
1,0.3333333,0.4273349,1.149168,-0.1150011,-0.1602542,-0.59118,0.03143864,-0.7898332,,,,,,
1,0.3444445,0.4250893,1.144995,-0.109066,-0.1707655,-0.580138,0.03164119,-0.7957876,,,,,,
1,0.3555556,0.4233146,1.140892,-0.1027242,-0.1798828,-0.5694927,0.0314367,-0.8014562,,,,,,
1,0.3666667,0.4210436,1.136687,-0.0970121,-0.1890526,-0.5577862,0.03262803,-0.8075081,,,,,,
1,0.3777778,0.419,1.132414,-0.0909808,-0.1973737,-0.5465211,0.03319901,-0.8131766,,,,,,
1,0.3888889,0.4166171,1.128253,-0.0852169,-0.2052179,-0.535586,0.03464374,-0.8184333,,,,,,
1,0.4,0.4142129,1.124235,-0.0795463,-0.2136921,-0.5250128,0.03571929,-0.8230562,,,,,,
1,0.4111111,0.4116084,1.12019,-0.0736973,-0.2218727,-0.5146889,0.03640989,-0.8273706,,,,,,
1,0.4222222,0.4088739,1.11597,-0.067958,-0.2286067,-0.5044463,0.03707505,-0.8318043,,,,,,
1,0.4333333,0.4062685,1.111928,-0.062213,-0.235264,-0.4938853,0.03837289,-0.836215,,,,,,
1,0.4444444,0.4036067,1.108152,-0.0568083,-0.2425351,-0.4830167,0.04019441,-0.8403903,,,,,,
1,0.4555556,0.4010571,1.104824,-0.0514217,-0.251804,-0.4710348,0.04163471,-0.8443859,,,,,,
1,0.4666667,0.3986238,1.10208,-0.0461216,-0.2636418,-0.4579549,0.04266699,-0.847909,,,,,,
1,0.4777778,0.3964042,1.099509,-0.0406177,-0.2766588,-0.4441442,0.04293736,-0.8510888,,,,,,
1,0.4888889,0.3943394,1.096892,-0.0352963,-0.2879425,-0.4302822,0.04346663,-0.8544338,,,,,,
1,0.5,0.3923783,1.094453,-0.0301326,-0.2977465,-0.41518,0.04404953,-0.8585058,,,,,,
1,0.5111111,0.3904652,1.09211,-0.0252358,-0.3054691,-0.4015463,0.04426397,-0.8622586,,,,,,
1,0.5222223,0.3883505,1.089964,-0.0199507,-0.3143715,-0.3883593,0.04352916,-0.8651317,,,,,,
1,0.5333334,0.3865277,1.088499,-0.0149189,-0.3229823,-0.3755885,0.04152894,-0.8676929,,,,,,
1,0.5444446,0.3846499,1.086954,-0.0099901,-0.3307247,-0.3629759,0.03920708,-0.8702486,,,,,,
1,0.5555557,0.3832189,1.086443,-0.0052023,-0.3400026,-0.349518,0.03583021,-0.8723254,,,,,,
1,0.5666668,0.3820685,1.085602,-0.0002319,-0.3494744,-0.3348571,0.03239641,-0.8744648,,,,,,
1,0.577778,0.3815936,1.085626,0.0043742,-0.358685,-0.318476,0.02794865,-0.8770046,,,,,,
