Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.3333333,0.4669122,1.216785,-0.1804694,-0.001927825,-0.6021153,0.07657319,-0.7947264,,,,
1,0.3444445,0.4668866,1.218117,-0.1737502,-0.007341207,-0.5890377,0.07514489,-0.8045707,,,,
1,0.3555556,0.466817,1.219484,-0.1669966,-0.01254209,-0.5759643,0.07327366,-0.8140877,,,,
1,0.3666667,0.4666532,1.220726,-0.1601034,-0.01730164,-0.5633833,0.07189023,-0.8228802,,,,
1,0.3777778,0.4659096,1.222649,-0.153084,-0.02337106,-0.5498517,0.06922691,-0.8320605,,,,
1,0.3888889,0.4653583,1.224731,-0.1464128,-0.03030979,-0.5358759,0.06635114,-0.8411397,,,,
1,0.4,0.4650227,1.226767,-0.1395872,-0.03685834,-0.5213166,0.06346825,-0.8502014,,,,
1,0.4111111,0.4649147,1.22887,-0.1328214,-0.0431435,-0.5053974,0.05932874,-0.859763,,,,
1,0.4222222,0.4645686,1.231105,-0.1261122,-0.04914865,-0.4897099,0.05484331,-0.8687698,,,,
1,0.4333333,0.4640964,1.234097,-0.119466,-0.05644435,-0.4734017,0.04889273,-0.8776755,,,,
1,0.4444444,0.4634384,1.237325,-0.1127523,-0.0650197,-0.4571728,0.04198861,-0.8860037,,,,
1,0.4555556,0.462789,1.241051,-0.1060351,-0.07465866,-0.4406786,0.03377794,-0.893917,,,,
1,0.4666667,0.4623178,1.245038,-0.09967232,-0.08490516,-0.4230853,0.02437071,-0.9017738,,,,
1,0.4777778,0.4620812,1.249207,-0.0932243,-0.0954523,-0.4046846,0.01437506,-0.9093473,,,,
1,0.4888889,0.4620229,1.254126,-0.08697306,-0.106703,-0.3854054,0.001565297,-0.9165559,,,,
1,0.5,0.4617787,1.259284,-0.08072607,-0.1169079,-0.3668479,-0.01261603,-0.9228196,,,,
1,0.5111111,0.4614105,1.26482,-0.07460608,-0.1251422,-0.3494538,-0.02758284,-0.9281491,,,,
1,0.5222223,0.4610116,1.269933,-0.0680515,-0.1315347,-0.3328502,-0.04088493,-0.9328654,,,,
1,0.5333334,0.4600323,1.275802,-0.06198764,-0.1358495,-0.3194345,-0.0566145,-0.9361097,,,,
1,0.5444446,0.4588774,1.282077,-0.05569121,-0.1403496,-0.3072417,-0.07202518,-0.9384652,,,,
1,0.5555557,0.457971,1.289014,-0.0499552,-0.1446932,-0.2949898,-0.08701496,-0.9404644,,,,
1,0.5666668,0.4571829,1.296371,-0.04420514,-0.1481571,-0.2829228,-0.1019184,-0.9421342,,,,
1,0.577778,0.4563918,1.303583,-0.0386481,-0.1506471,-0.2713221,-0.1171083,-0.9433852,,,,
1,0.5888891,0.4554114,1.31147,-0.03338552,-0.1499917,-0.2627689,-0.1347363,-0.9435577,,,,
1,0.6000003,0.4542853,1.319687,-0.02832308,-0.1476666,-0.2567676,-0.1516319,-0.9430127,,,,
1,0.6111114,0.4532217,1.328707,-0.02364917,-0.1452972,-0.2520261,-0.1687963,-0.9417428,,,,
1,0.6222225,0.4524122,1.338037,-0.01916617,-0.142642,-0.2462744,-0.1843229,-0.9407589,,,,
1,0.6333337,0.4516558,1.347417,-0.0146967,-0.1401445,-0.2393778,-0.1996118,-0.9397941,,,,
1,0.6444448,0.4510482,1.357798,-0.01068592,-0.1362377,-0.2340888,-0.2145512,-0.938408,,,,
1,0.655556,0.450276,1.368776,-0.006980494,-0.1315989,-0.2297365,-0.2306173,-0.9363325,,,,
1,0.6666671,0.4496591,1.379727,-0.003898174,-0.1248495,-0.2266456,-0.2459238,-0.9341124,,,,
1,0.6777782,0.4487936,1.390454,-0.000685617,-0.1183715,-0.2237402,-0.2603235,-0.9317511,,,,
1,0.6888894,0.4472057,1.402197,0.001779944,-0.109909,-0.2265301,-0.2737504,-0.9282591,,,,
1,0.7000005,0.4458467,1.413453,0.004591808,-0.1030892,-0.2268969,-0.2875877,-0.9247615,,,,
1,0.7111117,0.4441249,1.42533,0.00654012,-0.09520822,-0.2290795,-0.3013439,-0.9206791,,,,
1,0.7222228,0.4426711,1.437396,0.008330718,-0.08688854,-0.2302614,-0.3162061,-0.9162117,,,,
1,0.7333339,0.4414546,1.449049,0.01000512,-0.07828108,-0.2303706,-0.3310727,-0.9116975,,,,
1,0.7444451,0.4402506,1.461077,0.010855,-0.06761264,-0.2303711,-0.3456355,-0.907135,,,,
1,0.7555562,0.4389346,1.472977,0.01127607,-0.05691905,-0.230202,-0.3587155,-0.9028236,,,,
1,0.7666674,0.4373829,1.484995,0.0114091,-0.04723456,-0.2306556,-0.3702787,-0.8985881,,,,
1,0.7777785,0.4359401,1.496735,0.01166995,-0.0378907,-0.2316683,-0.3818954,-0.893896,,,,
1,0.7888896,0.4342994,1.508528,0.01088828,-0.02837384,-0.233341,-0.3929942,-0.8889896,,,,
1,0.8000008,0.4327678,1.520131,0.009834349,-0.01886079,-0.2351483,-0.405643,-0.8830647,,,,
1,0.8111119,0.4315461,1.531629,0.008307204,-0.008472376,-0.2369494,-0.4191551,-0.8764088,,,,
1,0.8222231,0.4302738,1.542688,0.007023275,0.002662455,-0.2394075,-0.4328424,-0.8690941,,,,
1,0.8333342,0.428638,1.55323,0.004749492,0.01516814,-0.2452148,-0.4470393,-0.8601136,,,,
1,0.8444453,0.4271806,1.563234,0.002318695,0.02820124,-0.2527917,-0.4595112,-0.8509704,,,,
1,0.8555565,0.4255598,1.572505,-0.000333175,0.0411474,-0.2609674,-0.4692459,-0.8426217,,,,
1,0.8666676,0.4239489,1.582081,-0.00286141,0.05355156,-0.268436,-0.4785428,-0.8343088,,,,
1,0.8777788,0.4227845,1.590601,-0.005834788,0.06602301,-0.2771636,-0.4860069,-0.8262075,,,,
1,0.8888899,0.4218173,1.598757,-0.009296343,0.07837067,-0.284858,-0.4936731,-0.8179248,,,,
1,0.900001,0.4210724,1.606305,-0.01296085,0.09085405,-0.292807,-0.5024397,-0.8084331,,,,
1,0.9111122,0.4206651,1.613139,-0.0165198,0.1031734,-0.3023073,-0.5112241,-0.7978819,,,,
1,0.9222233,0.4199304,1.620294,-0.02009726,0.1150967,-0.3119051,-0.5198141,-0.7869316,,,,
1,0.9333345,0.4197429,1.62557,-0.02394491,0.1266437,-0.3236978,-0.5269828,-0.7755451,,,,
